Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S3,2020,6,9,22,42,30,45.41946,-71.907974,151.8,12,49.3,17.3,60,50.4,2915,3.022156,44,32,23,100,UE,,,
S3,2020,6,9,22,42,37,45.419456,-71.907982,152.3,12,49.3,17.3,60,100.8,2929,3.181217,90,66,47,100,UE,,,
S2,2020,6,9,22,42,43,45.41946,-71.90799,152.10001,12,49.4,17.3,60,153.6,3904,2.296441,56,57,37,156,UE,,,Les lignes où R ou G ou B était < ou = 20 ont été effacées
S3,2020,6,9,22,42,45,45.41946,-71.907997,151.7,12,49.4,17.3,60,153.6,2995,3.079319,133,98,71,304,UE,,,
S2,2020,6,9,22,42,52,45.419464,-71.908012,150.7,13,49.3,17.2,60,614.4,3896,3.522949,332,341,219,931,OK,,,
S3,2020,6,9,22,42,54,45.419464,-71.908012,150.7,13,49.3,17.2,60,614.4,2961,3.13151,536,394,283,1221,OK,,,
S5,2020,6,9,22,42,59,45.419472,-71.908028,151.3,13,49.4,17.2,60,614.4,1659,0.208767,66,34,21,115,UE,,,
S2,2020,6,9,22,43,7,45.419479,-71.908035,151.8,12,49.4,17.2,60,614.4,3896,3.522949,332,341,219,931,OK,,,
S3,2020,6,9,22,43,9,45.419479,-71.908035,151.7,12,49.4,17.2,60,614.4,2966,3.157606,536,395,283,1221,OK,,,
S5,2020,6,9,22,43,14,45.419479,-71.908035,150.5,12,49.4,17.1,60,614.4,1760,0.260959,79,43,29,137,UE,,,
S2,2020,6,9,22,43,21,45.419487,-71.908043,149.89999,12,49.4,17.1,60,614.4,3905,3.705621,387,378,255,1014,OK,,,
S3,2020,6,9,22,43,24,45.419483,-71.908051,149.8,12,49.4,17.1,60,614.4,2836,3.862196,678,488,346,1495,OK,,,
S4,2020,6,9,22,43,26,45.419468,-71.908081,149.8,12,49.4,17.1,60,614.4,2835,0.234863,57,38,31,103,UE,,,
S5,2020,6,9,22,43,29,45.419468,-71.908073,150.2,13,49.4,17.1,60,614.4,2630,0.300103,64,43,32,131,UE,,,
S2,2020,6,9,22,43,36,45.419563,-71.908043,150.39999,12,49.5,17.1,60,614.4,4365,2.857503,292,299,215,772,OK,,,
S3,2020,6,9,22,43,39,45.419594,-71.907982,150.60001,12,49.4,17,60,614.4,2145,3.888292,931,568,404,1805,OK,,,
S4,2020,6,9,22,43,41,45.419601,-71.907967,150.60001,12,49.5,17.1,60,614.4,2327,0.156576,46,28,23,70,UE,,,
S5,2020,6,9,22,43,43,45.419605,-71.907951,150.60001,12,49.4,17,60,614.4,3365,0.482775,96,70,57,182,UE,,,
S6,2020,6,9,22,43,46,45.419598,-71.907967,150.39999,12,49.4,17,60,614.4,4229,0.208767,35,29,24,62,UE,,,
S2,2020,6,9,22,43,51,45.419598,-71.907959,150.10001,12,49.4,17,60,614.4,3541,3.275038,441,373,265,1084,OK,,,
S3,2020,6,9,22,43,53,45.419617,-71.907921,150,12,49.4,17,60,614.4,1997,4.005723,1027,603,425,1976,OK,,,
S4,2020,6,9,22,43,56,45.41967,-71.907867,150.10001,13,49.5,17,60,614.4,2635,1.043837,239,157,123,482,OK,,,
S6,2020,6,9,22,44,1,45.419884,-71.907921,150.60001,13,49.5,17,60,614.4,1691,1.226508,380,200,134,663,OK,,,
S1,2020,6,9,22,44,3,45.419971,-71.907982,151.39999,12,49.5,17,60,614.4,2077,15.292209,2924,1828,1043,5829,OK,,,
S2,2020,6,9,22,44,6,45.420059,-71.908127,152.2,13,49.4,16.9,60,614.4,3304,1.839762,1633,593,361,2640,OK,,,
S3,2020,6,9,22,44,8,45.420074,-71.908234,152,13,49.4,16.9,60,614.4,1621,7.724392,2411,1141,582,4166,OK,,,
S4,2020,6,9,22,44,10,45.420063,-71.908409,151.5,12,49.4,16.9,60,614.4,2194,5.075656,1073,675,447,2304,OK,,,
S1,2020,6,9,22,44,18,45.419983,-71.908836,154.7,12,49.5,16.9,60,614.4,1719,1.826714,344,187,59,633,UE,,,
S2,2020,6,9,22,44,20,45.419956,-71.908951,155.2,12,49.6,16.9,60,614.4,1630,3.457709,817,401,139,1515,OK,,,
S3,2020,6,9,22,44,23,45.419945,-71.909096,156.3,12,49.6,16.9,60,614.4,1995,1.043837,495,198,97,796,UE,,,
S4,2020,6,9,22,44,25,45.419975,-71.909164,156.5,12,49.6,16.8,60,614.4,1636,0.287055,99,50,33,167,UE,,,
S6,2020,6,9,22,44,30,45.42012,-71.909256,157.2,11,49.7,16.9,60,614.4,3242,0.521918,46,46,23,116,UE,,,
S2,2020,6,9,22,44,35,45.420265,-71.909233,157.3,12,49.8,16.9,60,614.4,2511,2.218153,295,221,113,652,OK,,,
S3,2020,6,9,22,44,37,45.420326,-71.909279,157.3,11,49.7,16.8,60,614.4,2172,0.352295,65,42,24,131,UE,,,
S4,2020,6,9,22,44,40,45.420326,-71.909348,157.8,12,49.7,16.8,60,614.4,1927,0.300103,78,45,31,136,UE,,,
S5,2020,6,9,22,44,42,45.420269,-71.909378,157.8,12,49.7,16.8,60,614.4,3861,0.287055,37,33,24,87,UE,,,
S2,2020,6,9,22,44,50,45.420055,-71.909279,161.3,12,49.7,16.8,60,614.4,1954,0.260959,98,55,47,137,UE,,,
S3,2020,6,9,22,44,52,45.419987,-71.909256,161.7,12,49.7,16.8,60,614.4,2105,0.326199,170,67,34,267,UE,,,
S4,2020,6,9,22,44,55,45.41993,-71.909248,162.3,12,49.7,16.8,60,614.4,2613,1.200412,753,273,128,1167,OK,,,
S5,2020,6,9,22,44,57,45.419884,-71.909279,162.7,12,49.7,16.7,60,614.4,1689,3.418566,690,365,123,1272,OK,,,
S6,2020,6,9,22,45,0,45.419834,-71.909439,163.2,12,49.7,16.7,60,614.4,1640,0.391439,124,56,24,212,UE,,,
S1,2020,6,9,22,45,2,45.419807,-71.909569,163.10001,12,49.8,16.8,60,614.4,1708,2.648736,509,274,87,980,UE,,,
S2,2020,6,9,22,45,4,45.419758,-71.909782,163.8,12,49.7,16.7,60,614.4,1657,3.248942,988,508,317,1859,OK,,,
S3,2020,6,9,22,45,7,45.41972,-71.909935,163.8,12,49.7,16.7,60,614.4,1627,4.814697,1328,605,211,2295,OK,,,
S4,2020,6,9,22,45,9,45.41967,-71.910149,165,12,49.7,16.7,60,614.4,3280,0.391439,358,132,84,536,UE,,,
S5,2020,6,9,22,45,12,45.41964,-71.910278,166.2,12,49.7,16.7,60,614.4,1686,0.274007,105,55,43,151,UE,,,
S6,2020,6,9,22,45,14,45.419617,-71.9104,167.2,12,49.7,16.7,60,614.4,1620,0.378391,109,52,23,186,UE,,,
S2,2020,6,9,22,45,19,45.419697,-71.910606,168.7,12,49.8,16.7,60,614.4,1621,0.482775,173,85,55,305,UE,,,
S4,2020,6,9,22,45,24,45.419884,-71.910736,166.7,12,49.8,16.6,60,614.4,1687,4.762505,1509,645,222,2562,OK,,,
S5,2020,6,9,22,45,27,45.420033,-71.910797,167.5,11,49.8,16.7,60,614.4,1875,7.933159,1441,854,371,2874,OK,,,
S3,2020,6,9,22,45,36,45.42046,-71.910995,168.5,12,49.9,16.6,60,614.4,1812,8.220215,2128,1188,757,3860,OK,,,
S4,2020,6,9,22,45,39,45.420528,-71.911018,172.2,11,49.9,16.6,60,614.4,1623,0.326199,136,68,52,207,UE,,,
S5,2020,6,9,22,45,41,45.42057,-71.911049,176.2,12,49.9,16.6,60,614.4,2000,0.300103,94,54,43,142,UE,,,
S6,2020,6,9,22,45,44,45.420593,-71.911087,178.10001,12,50,16.6,60,614.4,1620,1.2787,482,237,163,805,OK,,,
S1,2020,6,9,22,45,46,45.420586,-71.911072,179.89999,12,50,16.6,60,614.4,1624,7.489529,2681,1331,896,4702,OK,,,
S2,2020,6,9,22,45,49,45.420609,-71.911079,181,11,50,16.6,60,614.4,1855,0.260959,98,54,45,141,UE,,,
S3,2020,6,9,22,45,51,45.420589,-71.911079,182.3,12,50.1,16.6,60,614.4,1741,0.391439,138,74,57,212,UE,,,
S4,2020,6,9,22,45,54,45.420513,-71.911034,181.3,12,50,16.5,60,614.4,1962,0.13048,48,27,23,69,UE,,,
S1,2020,6,9,22,46,1,45.420208,-71.910881,180.7,12,50,16.5,60,614.4,1715,3.157606,600,325,103,1063,OK,,,
S2,2020,6,9,22,46,3,45.419983,-71.910828,176.5,12,50,16.5,60,614.4,1689,4.658122,1606,699,306,2753,OK,,,
