Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S4,2020,5,12,22,58,45,45.474304,-71.95504,170.39999,12,33.6,12.6,60,614.4,3517,0.391439,113,75,70,143,UE,3.63E-01,4.86E-01,,Les lignes où R ou G ou B était < ou = 20 ont été effacées
S6,2020,5,12,22,58,50,45.474304,-71.955017,170.39999,12,33.6,12.5,60,614.4,8040,0.182671,49,38,40,55,UE,4.51E-01,5.21E-01,,
S2,2020,5,12,22,58,55,45.474304,-71.955002,170.39999,12,33.6,12.5,60,614.4,3015,0.208767,216,90,76,270,UE,1.43E-01,2.80E-01,,
S3,2020,5,12,22,58,58,45.4743,-71.954994,170.2,12,33.6,12.5,60,614.4,5582,0.404487,100,75,74,120,UE,4.31E-01,5.28E-01,,
S4,2020,5,12,22,59,0,45.4743,-71.954987,170.10001,12,33.7,12.4,60,614.4,4172,2.061578,517,366,343,647,OK,3.97E-01,5.14E-01,,
S2,2020,5,12,22,59,10,45.474354,-71.954834,165.39999,13,33.7,12.4,60,614.4,2495,0.208767,69,42,37,95,UE,3.15E-01,4.57E-01,,
S3,2020,5,12,22,59,12,45.474369,-71.954773,165,13,33.7,12.3,60,614.4,2302,0.208767,71,42,37,103,UE,3.01E-01,4.44E-01,,
S4,2020,5,12,22,59,15,45.474361,-71.95472,164.39999,13,33.7,12.2,60,614.4,1628,3.222846,1434,724,587,2374,OK,2.23E-01,3.82E-01,,
S5,2020,5,12,22,59,17,45.474304,-71.954613,164.39999,13,33.8,12.3,60,614.4,2533,0.195719,66,40,36,90,UE,3.14E-01,4.52E-01,,
S6,2020,5,12,22,59,20,45.474262,-71.954529,163.10001,13,33.8,12.3,60,614.4,1741,0.06524,67,33,34,91,UE,1.89E-01,2.91E-01,,
S1,2020,5,12,22,59,22,45.474201,-71.954391,162.60001,13,33.7,12.2,60,614.4,3442,3.275038,680,490,411,1172,OK,3.89E-01,5.33E-01,,
S2,2020,5,12,22,59,25,45.474155,-71.954285,161.8,13,33.8,12.2,60,614.4,2193,6.184733,1946,1148,964,3559,OK,2.96E-01,4.49E-01,,
S3,2020,5,12,22,59,27,45.47411,-71.954185,160.8,13,33.7,12.1,60,614.4,2448,0.365343,111,68,58,166,UE,3.16E-01,4.64E-01,,
S4,2020,5,12,22,59,29,45.474033,-71.954025,160.2,13,33.8,12.1,60,614.4,1975,5.166992,2797,1181,764,4527,OK,1.52E-01,3.14E-01,,
S5,2020,5,12,22,59,32,45.473976,-71.953911,160.39999,13,33.8,12.1,60,614.4,1936,0.247911,91,51,43,137,UE,2.72E-01,4.25E-01,,
S6,2020,5,12,22,59,34,45.4739,-71.953758,160.2,13,33.8,12.1,60,614.4,2338,0.052192,61,28,27,85,UE,1.65E-01,2.84E-01,,
S2,2020,5,12,22,59,39,45.473766,-71.953499,159.89999,13,33.8,12,60,614.4,2612,0.313151,221,85,52,338,UE,1.35E-01,2.80E-01,,
S3,2020,5,12,22,59,42,45.473713,-71.953384,160,13,33.8,12,60,614.4,1767,0.50887,245,109,73,373,UE,1.68E-01,3.35E-01,,
S4,2020,5,12,22,59,44,45.473637,-71.953224,158.7,13,33.8,12,60,614.4,2063,3.144558,1886,798,554,3037,OK,1.56E-01,3.15E-01,,
S5,2020,5,12,22,59,47,45.473576,-71.95311,158.8,13,33.9,11.9,60,614.4,2952,0.195719,67,42,39,91,UE,3.33E-01,4.61E-01,,
S1,2020,5,12,22,59,52,45.473438,-71.952812,158,13,33.9,11.9,60,614.4,3407,6.811035,1377,997,826,2541,OK,3.89E-01,5.34E-01,,
S2,2020,5,12,22,59,54,45.473381,-71.952698,157.39999,12,33.9,11.9,60,614.4,1770,17.392931,5632,3059,2276,10258,OK,2.47E-01,4.18E-01,,
S3,2020,5,12,22,59,57,45.473297,-71.95253,156.8,13,33.8,11.8,60,614.4,2210,0.287055,97,57,49,149,UE,2.96E-01,4.44E-01,,
S4,2020,5,12,22,59,59,45.47324,-71.952408,156.39999,13,33.9,11.8,60,614.4,1691,2.231201,919,482,398,1561,OK,2.41E-01,3.97E-01,,
S5,2020,5,12,23,0,1,45.473183,-71.95224,157.89999,13,33.9,11.8,60,614.4,2440,0.352295,142,83,79,262,UE,2.96E-01,4.20E-01,,
S1,2020,5,12,23,0,6,45.47311,-71.952057,157,13,33.8,11.7,60,614.4,2442,0.208767,54,34,27,94,UE,3.19E-01,4.79E-01,,
S2,2020,5,12,23,0,9,45.473145,-71.951965,156.10001,13,33.8,11.7,60,614.4,1979,0.743734,447,194,142,723,OK,1.64E-01,3.23E-01,,
S3,2020,5,12,23,0,11,45.473171,-71.951775,154.8,12,33.8,11.7,60,614.4,1667,0.378391,158,82,67,240,UE,2.36E-01,3.94E-01,,
S4,2020,5,12,23,0,14,45.473202,-71.951637,154.10001,12,33.8,11.7,60,614.4,1620,0.939453,465,232,195,714,OK,2.19E-01,3.71E-01,,
S5,2020,5,12,23,0,16,45.47324,-71.951393,154.10001,12,33.9,11.7,60,614.4,3676,0.260959,84,55,53,109,UE,3.57E-01,4.72E-01,,
S6,2020,5,12,23,0,19,45.473274,-71.951233,149.10001,12,33.8,11.6,60,614.4,3789,0.300103,447,194,188,668,OK,1.35E-01,2.48E-01,,
S1,2020,5,12,23,0,21,45.473312,-71.951057,147.10001,13,33.8,11.6,60,614.4,2143,0.260959,76,45,36,134,UE,2.92E-01,4.53E-01,,
S2,2020,5,12,23,0,24,45.473366,-71.950775,146,12,33.8,11.6,60,614.4,2048,0.743734,459,196,140,727,OK,1.59E-01,3.18E-01,,
S3,2020,5,12,23,0,26,45.473389,-71.9506,147,12,33.8,11.5,60,614.4,1969,0.326199,113,64,53,169,UE,2.76E-01,4.32E-01,,
S4,2020,5,12,23,0,28,45.473423,-71.950401,145.60001,13,33.8,11.5,60,614.4,1671,19.702419,6157,3202,2110,10694,OK,2.13E-01,3.93E-01,,
S5,2020,5,12,23,0,31,45.473438,-71.95034,146.39999,13,33.8,11.5,60,614.4,1858,4.044868,1633,895,782,3072,OK,2.63E-01,4.09E-01,,
S6,2020,5,12,23,0,33,45.473461,-71.950233,146.60001,12,33.8,11.5,60,614.4,1954,0.234863,206,97,93,305,UE,1.80E-01,3.01E-01,,
S1,2020,5,12,23,0,36,45.47348,-71.950119,144.89999,13,33.8,11.5,60,614.4,2696,1.226508,250,170,127,421,OK,3.40E-01,5.05E-01,,
S2,2020,5,12,23,0,38,45.47353,-71.949913,143.39999,13,33.8,11.4,60,614.4,1748,9.251003,2766,1496,1030,4991,OK,2.34E-01,4.12E-01,,
S3,2020,5,12,23,0,41,45.473549,-71.949745,141.8,13,33.8,11.4,60,614.4,1680,0.365343,159,83,70,236,UE,2.39E-01,3.92E-01,,
S4,2020,5,12,23,0,43,45.473564,-71.949478,141.8,13,33.8,11.4,60,614.4,3092,1.2787,1249,503,396,1913,OK,1.39E-01,2.80E-01,,
S5,2020,5,12,23,0,46,45.473568,-71.949295,140.2,11,33.8,11.4,60,614.4,1706,0.561062,264,139,123,444,OK,2.44E-01,3.87E-01,,
S6,2020,5,12,23,0,48,45.473568,-71.949127,140,12,33.8,11.3,60,614.4,2903,0.13048,183,85,88,269,UE,1.54E-01,2.52E-01,,
S1,2020,5,12,23,0,51,45.473568,-71.948875,140.60001,12,33.8,11.3,60,614.4,2287,3.601237,884,549,414,1578,OK,3.04E-01,4.72E-01,,
S2,2020,5,12,23,0,53,45.473564,-71.948708,140.2,12,33.8,11.3,60,614.4,1682,6.628363,2907,1333,891,5062,OK,1.76E-01,3.47E-01,,
S3,2020,5,12,23,0,55,45.473564,-71.948463,139.89999,13,33.8,11.3,60,614.4,1623,0.691542,295,143,104,476,OK,2.01E-01,3.70E-01,,
S4,2020,5,12,23,0,58,45.473568,-71.948311,140.10001,13,33.8,11.3,60,614.4,1710,0.887261,373,197,166,577,OK,2.45E-01,3.98E-01,,
S5,2020,5,12,23,1,0,45.473583,-71.948105,140.2,12,33.7,11.2,60,614.4,4057,0.221815,69,46,45,83,UE,3.67E-01,4.76E-01,,
S6,2020,5,12,23,1,3,45.473606,-71.948013,140.7,13,33.7,11.2,60,614.4,1640,0.169623,107,55,53,163,UE,2.26E-01,3.48E-01,,
S1,2020,5,12,23,1,5,45.473629,-71.947906,141.8,13,33.7,11.2,60,614.4,3070,4.423258,3988,1554,1118,6276,OK,1.36E-01,2.78E-01,,
