Capteurs,Date,,,Heure,,,Longitude,Latitude,Altitude,,,,,,,,R,G,B,Clear,,,,,,,,,
S1,2019,10,30,4,38,29,45.38134,-71.926941,250.60001,15,63.5,11.1,60,24,2588,45.761803,308,216,142,600,OK,,,,,,,,
S2,2019,10,30,4,38,30,45.38134,-71.926941,250.60001,15,63.5,11.1,60,24,1721,34.404861,404,216,145,741,OK,,,,,,,,
S1,2019,10,30,4,38,31,45.381336,-71.926941,250.7,15,65.6,11.1,60,24,2581,45.09375,306,214,141,597,OK,,,,,,,,
S2,2019,10,30,4,38,32,45.381336,-71.926941,250.7,15,65.6,11.1,60,24,2530,1.002083,7,5,3,13,OK,,,,,,,,
S1,2019,10,30,4,38,33,45.381336,-71.926941,250.7,15,65.6,11,60,50.4,2103,0.477183,8,5,3,14,OK,,,,,,,,
S2,2019,10,30,4,38,34,45.381336,-71.926941,250.7,15,65.6,11,60,50.4,0,0,0,0,0,1,OK,,,,,,,,
S1,2019,10,30,4,38,36,45.381336,-71.926941,250.7,15,65.6,11,60,100.8,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,37,45.381336,-71.926941,250.7,15,65.6,11,60,100.8,40943,0,1,0,0,1,OK,,,,,,,,
S1,2019,10,30,4,38,38,45.381336,-71.926941,250.7,14,65.5,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,40,45.381336,-71.926941,250.7,15,65.5,11,60,153.6,1777,33.611546,2351,1290,858,4368,OK,2360.9,1293.4,860.7,,UDeS Parking D2,,,
S1,2019,10,30,4,38,41,45.381336,-71.926941,251.5,15,65.6,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,43,45.381336,-71.926941,251.5,15,65.6,11,60,153.6,1770,33.715927,2377,1300,866,4408,OK,,,,,,,,
S1,2019,10,30,4,38,44,45.381336,-71.926941,251.5,15,65.6,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,46,45.381336,-71.926941,251.60001,15,65.6,11,60,153.6,1770,33.715927,2375,1299,865,4403,OK,,,,,,,,
S1,2019,10,30,4,38,47,45.381336,-71.926941,251.60001,15,65.6,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,49,0,0,0,0,65.6,11,60,153.6,1774,33.454967,2345,1285,855,4354,OK,,,,,,,,
S1,2019,10,30,4,38,51,45.381336,-71.926941,251.60001,15,65.6,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,52,45.381336,-71.926941,251.60001,15,65.6,11,60,153.6,1774,33.663734,2364,1295,862,4389,OK,,,,,,,,
S1,2019,10,30,4,38,54,45.381336,-71.926941,251.60001,15,65.5,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,55,45.381332,-71.926941,251.7,15,65.5,11,60,153.6,1776,33.50716,2345,1286,855,4360,OK,,,,,,,,
S1,2019,10,30,4,38,57,45.381332,-71.926941,251.7,15,65.5,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,38,58,45.381332,-71.926941,251.7,15,65.5,11,60,153.6,1770,33.50716,2360,1291,860,4379,OK,,,,,,,,
S1,2019,10,30,4,39,0,45.381332,-71.926941,251.7,15,65.5,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,39,1,45.381329,-71.926941,251.3,15,65.5,11,60,153.6,1774,33.715927,2363,1295,861,4388,OK,,,,,,,,
S1,2019,10,30,4,39,3,45.381329,-71.926941,251.3,15,65.4,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,39,5,45.381329,-71.926941,250.39999,15,65.4,11,60,153.6,1778,33.976891,2372,1302,866,4410,OK,,,,,,,,
S1,2019,10,30,4,39,6,45.381329,-71.926941,250.39999,15,65.4,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,39,8,45.381329,-71.926941,250.39999,15,65.4,11,60,153.6,1773,33.559349,2357,1291,859,4376,OK,,,,,,,,
S1,2019,10,30,4,39,9,45.381329,-71.926941,250.39999,15,65.4,11,60,153.6,0,0,0,0,0,0,OK,,,,,,,,
S2,2019,10,30,4,39,11,45.381329,-71.926941,250.39999,15,65.4,11,60,153.6,1779,33.611546,2348,1289,857,4372,OK,,,,,,,,
S1,2019,10,30,4,39,12,45.381329,-71.926941,250.39999,15,65.4,11,60,153.6,2552,44.258678,1921,1338,874,3737,OK,,,,,,,,
S2,2019,10,30,4,39,14,45.381329,-71.926941,250.3,15,65.4,11,60,153.6,1757,33.976891,2435,1324,885,4487,OK,,,,,,,,
S1,2019,10,30,4,39,15,45.381329,-71.926941,250.3,15,65.4,11,60,153.6,2556,44.415253,1925,1342,877,3747,OK,,,,,,,,
S2,2019,10,30,4,39,17,45.381329,-71.926941,250.3,15,65.4,11,60,153.6,1742,35.281681,2580,1393,935,4740,OK,,,,,,,,
S1,2019,10,30,4,42,30,45.381199,-71.926865,266.20001,21,64.4,11,60,614.4,2586,44.480495,7661,5372,3528,14950,OK,,,,,,,,
S2,2019,10,30,4,42,33,45.381199,-71.926865,266.20001,21,66.7,11,60,614.4,1742,35.673122,10422,5629,3780,19107,OK,,,,,,,,
S1,2019,10,30,4,42,36,45.381199,-71.926865,266.10001,21,66.7,11,60,614.4,2584,44.532688,7674,5379,3532,14972,OK,,,,,,,,
S2,2019,10,30,4,42,39,45.381207,-71.926872,265.29999,21,66.6,11,60,614.4,1734,35.229492,10399,5595,3763,19006,OK,,,,,,,,
S1,2019,10,30,4,42,43,45.381207,-71.926872,265.29999,21,66.6,11,60,614.4,2591,44.219536,7611,5342,3513,14844,OK,,,,,,,,
S2,2019,10,30,4,42,46,45.381207,-71.926872,265.29999,21,66.6,11,60,614.4,1736,35.307777,10414,5608,3776,19029,OK,,,,,,,,
S1,2019,10,30,4,42,49,45.381207,-71.926872,265.29999,21,66.6,11,60,614.4,2591,44.284775,7621,5349,3517,14863,OK,,,,,,,,
S2,2019,10,30,4,42,52,45.381214,-71.92688,264.29999,21,66.6,11,60,614.4,1739,36.52124,10718,5780,3885,19277,OK,,,,,,,,
S1,2019,10,30,4,42,55,45.381237,-71.92688,263.10001,21,66.6,11,60,614.4,2630,26.069822,4754,3301,2280,9188,OK,,,,,,,,
S2,2019,10,30,4,42,59,45.381271,-71.926888,261.70001,21,66.6,11,60,614.4,2182,17.471218,3630,2285,1487,6887,OK,,,,,,,,
S1,2019,10,30,4,43,2,45.381306,-71.92688,260.89999,21,66.6,11,60,614.4,3169,4.984321,1132,780,657,2038,OK,,,,,,,,
S2,2019,10,30,4,43,5,0,0,0,0,66.6,11,60,614.4,1717,10.973334,4963,2238,1475,7821,OK,,,,,,,,
