Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S4,2020,5,5,22,52,14,45.453999,-71.971848,169.39999,10,44.5,6.1,60,50.4,3664,1.590608,35,24,22,54,UE,0.378,0.504,,Les lignes où R ou G ou B était < ou = 20 ont été effacées
S4,2020,5,5,22,52,21,45.453991,-71.971832,168.10001,11,44.5,6,60,100.8,3885,1.590608,73,50,47,114,UE,0.380,0.499,,
S3,2020,5,5,22,52,28,45.453968,-71.971779,169.5,11,44.5,6,60,153.6,6823,0.57411,32,26,26,35,UE,0.473,0.559,,
S4,2020,5,5,22,52,29,45.45396,-71.971771,169.5,11,44.5,6,60,153.6,3791,2.087673,138,95,88,214,UE,0.381,0.504,,
S5,2020,5,5,22,52,31,45.453953,-71.971748,170.7,11,44.5,6,60,153.6,7169,0.57411,23,22,21,35,UE,0.545,0.631,,
S2,2020,5,5,22,52,35,45.453903,-71.971809,172,11,44.5,6,60,614.4,5518,0.195719,47,36,35,67,UE,0.440,0.541,,
S3,2020,5,5,22,52,38,45.453888,-71.97184,172.2,11,44.5,6,60,614.4,7062,0.260959,53,44,44,64,UE,0.484,0.568,,
S4,2020,5,5,22,52,40,45.453873,-71.971855,173.8,11,44.5,5.9,60,614.4,3289,1.78757,567,363,344,747,OK,0.345,0.466,,
S5,2020,5,5,22,52,43,45.453857,-71.971893,173.60001,11,44.5,5.9,60,614.4,6156,0.247911,52,42,41,71,UE,0.468,0.562,,
S3,2020,5,5,22,52,52,45.453793,-71.971832,174.89999,11,44.5,5.9,60,614.4,6547,0.13048,29,23,23,38,UE,0.461,0.549,,
S4,2020,5,5,22,52,55,45.453758,-71.971786,175.2,11,44.6,5.9,60,614.4,2726,1.187364,364,227,203,559,OK,0.328,0.466,,
S4,2020,5,5,22,53,10,45.453545,-71.970909,180.5,11,44.5,5.8,60,614.4,4268,0.13048,36,25,24,51,UE,0.388,0.501,,
S4,2020,5,5,22,53,24,45.453377,-71.969376,194.5,11,44.6,5.8,60,614.4,3839,0.143528,39,27,25,57,UE,0.384,0.507,,
S4,2020,5,5,22,53,39,45.452644,-71.967979,205.3,11,44.6,5.8,60,614.4,4211,0.169623,42,30,28,65,UE,0.401,0.519,,
S4,2020,5,5,22,53,54,45.451641,-71.966393,205.3,11,44.7,5.7,60,614.4,4202,0.156576,39,28,26,62,UE,0.403,0.522,,
S5,2020,5,5,22,53,56,45.451454,-71.966087,203.60001,11,44.7,5.7,60,614.4,5900,0.143528,28,23,22,49,UE,0.473,0.573,,
S4,2020,5,5,22,54,9,45.450722,-71.964752,198.8,11,44.8,5.7,60,614.4,3682,0.156576,46,31,29,71,UE,0.371,0.493,,
S5,2020,5,5,22,54,11,45.450596,-71.964531,198.7,11,44.8,5.7,60,614.4,5989,0.404487,62,57,52,137,UE,0.517,0.621,,
S4,2020,5,5,22,54,23,45.449825,-71.963135,196.3,11,44.9,5.7,60,614.4,3597,0.156576,48,32,30,74,UE,0.366,0.487,,
S5,2020,5,5,22,54,26,45.449699,-71.962914,195.2,11,44.9,5.6,60,614.4,7190,0.117432,25,21,21,45,UE,0.490,0.573,,
S4,2020,5,5,22,54,38,45.449032,-71.961693,195.10001,11,45,5.7,60,614.4,1964,0.835069,304,171,146,470,OK,0.275,0.425,,
S5,2020,5,5,22,54,40,45.448902,-71.961487,196.5,11,45,5.6,60,614.4,1691,2.453017,758,399,267,1323,OK,0.219,0.399,,
