# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,
S3,2020,4,25,22,36,5,45.400661,-71.887222,151.3,14,32.9,9.7,60,24,8956,15.699306,66,79,76,29,UE,0.64,0.7,,
S2,2020,4,25,22,36,10,45.400661,-71.887222,151.10001,13,32.9,9.7,60,50.4,7749,7.793982,68,79,73,225,UE,0.62,0.7,,
S3,2020,4,25,22,36,11,45.400661,-71.887222,151.10001,13,32.8,9.6,60,50.4,9146,15.428903,138,164,159,460,OK,0.64,0.7,,
S1,2020,4,25,22,36,16,45.400658,-71.887222,151,14,32.9,9.6,60,100.8,14503,1.352017,23,31,33,84,UE,0.71,0.72,,
S2,2020,4,25,22,36,17,45.400658,-71.887222,150.89999,13,32.9,9.6,60,100.8,7410,8.748346,148,173,157,482,OK,0.61,0.7,,
S3,2020,4,25,22,36,18,45.400654,-71.88723,151,13,32.8,9.5,60,50.4,8403,44.537037,379,454,428,1210,OK,0.64,0.71,,
S4,2020,4,25,22,36,20,45.400639,-71.887253,151.5,14,32.8,9.5,60,100.8,7358,2.783565,65,64,61,179,UE,0.56,0.64,,
S6,2020,4,25,22,36,22,45.400608,-71.887283,151.89999,14,32.9,9.5,60,100.8,3896,5211.7871,29,37,73,94,UE,0.36,-0.29,,
S1,2020,4,25,22,36,23,45.400589,-71.887283,151.89999,14,32.9,9.6,60,153.6,9543,6.054253,149,190,184,475,OK,0.67,0.72,,
S2,2020,4,25,22,36,25,45.400555,-71.887283,151.8,14,32.9,9.6,60,100.8,4682,1.749669,45,39,33,112,UE,0.47,0.6,,
S3,2020,4,25,22,36,26,45.400536,-71.887283,152,14,32.9,9.5,60,50.4,6057,50.740406,504,515,451,1465,OK,0.55,0.66,,
S4,2020,4,25,22,36,27,45.400517,-71.887283,152.2,14,32.9,9.5,60,153.6,4990,2.400825,97,83,73,246,UE,0.48,0.6,,
S5,2020,4,25,22,36,28,45.400497,-71.887276,152.3,14,32.9,9.5,60,153.6,8127,7.045898,194,223,210,551,OK,0.62,0.69,,
S6,2020,4,25,22,36,30,45.40044,-71.887253,152.60001,14,32.9,9.5,60,153.6,7758,1.98329,50,60,55,147,UE,0.63,0.71,,
S1,2020,4,25,22,36,31,45.400414,-71.887245,152.7,14,32.9,9.5,60,153.6,16787,1.461371,48,57,63,155,UE,0.67,0.67,,
S2,2020,4,25,22,36,33,45.400356,-71.887215,152.7,14,32.9,9.5,60,153.6,7269,4.749457,155,159,149,443,OK,0.57,0.66,,
S3,2020,4,25,22,36,34,45.40033,-71.887192,152.5,13,32.9,9.5,60,50.4,7471,48.036377,405,475,432,1254,OK,0.62,0.7,,
S4,2020,4,25,22,36,35,45.400307,-71.887161,152.3,14,32.9,9.5,60,614.4,5964,6.537028,831,826,727,2332,OK,0.54,0.65,,
S5,2020,4,25,22,36,37,45.400276,-71.887085,151.89999,14,32.9,9.4,60,153.6,3328,7.567817,359,264,211,791,OK,0.39,0.54,,
S6,2020,4,25,22,36,39,45.400249,-71.887016,152,14,32.9,9.4,60,614.4,6835,1.122124,121,136,121,356,OK,0.59,0.69,,
S1,2020,4,25,22,36,41,45.400215,-71.886948,152,14,32.9,9.4,60,614.4,8155,26.930988,2565,3211,2966,8256,OK,0.65,0.72,,
S2,2020,4,25,22,36,43,45.400173,-71.886887,152.5,14,33,9.4,60,153.6,8008,56.83691,1556,1787,1675,4936,OK,0.62,0.69,,
S3,2020,4,25,22,36,45,45.400135,-71.886833,152,14,33,9.4,60,50.4,6663,84.620369,740,828,730,2195,OK,0.59,0.68,,
S4,2020,4,25,22,36,46,45.400124,-71.88681,151.60001,14,33,9.4,60,614.4,3503,9.472818,1332,1103,795,3274,OK,0.41,0.57,,
S5,2020,4,25,22,36,48,45.400108,-71.886749,151.2,14,33,9.4,60,153.6,3324,39.50922,1556,1216,897,3545,OK,0.39,0.55,,
S6,2020,4,25,22,36,50,45.400112,-71.886688,151.2,14,33,9.4,60,614.4,5895,0.430583,39,47,38,115,UE,0.59,0.7,,
S1,2020,4,25,22,36,52,45.400143,-71.886604,151.39999,14,33,9.4,60,614.4,5970,3.940484,265,381,291,836,OK,0.62,0.72,,
S2,2020,4,25,22,36,54,45.400177,-71.88652,151.3,14,33,9.3,60,153.6,4561,110.33355,2689,2855,2075,7629,OK,0.5,0.64,,
S3,2020,4,25,22,36,56,45.400223,-71.886452,151.10001,14,33,9.3,60,50.4,5057,48.672615,445,454,363,1233,OK,0.52,0.65,,
S4,2020,4,25,22,36,58,45.400291,-71.886429,151.10001,14,33,9.3,60,614.4,6237,17.184162,2139,2169,1929,6173,OK,0.55,0.65,,
S5,2020,4,25,22,36,59,45.400326,-71.886436,150.89999,14,33,9.3,60,153.6,7739,68.684456,1695,2052,1875,5223,OK,0.63,0.71,,
S6,2020,4,25,22,37,1,45.400387,-71.886475,150.8,14,33,9.3,60,614.4,6394,1.304796,142,156,136,406,OK,0.58,0.68,,
S1,2020,4,25,22,37,3,45.400448,-71.886513,151,14,33,9.3,60,614.4,10305,3.796956,389,490,486,1273,OK,0.67,0.72,,
S2,2020,4,25,22,37,6,45.400524,-71.886597,150.7,14,33,9.3,60,153.6,4223,44.467445,1895,1529,1292,4637,OK,0.44,0.58,,
S3,2020,4,25,22,37,8,45.400566,-71.886658,151,14,33,9.3,60,50.4,5655,24.018188,270,256,225,716,OK,0.52,0.63,,
S4,2020,4,25,22,37,9,45.400593,-71.886688,150.89999,14,33.1,9.3,60,614.4,5965,11.964979,1332,1417,1212,3958,OK,0.56,0.67,,
S5,2020,4,25,22,37,11,45.400635,-71.886749,150.89999,14,33.1,9.3,60,153.6,5323,3.653429,114,112,94,299,UE,0.52,0.64,,
S6,2020,4,25,22,37,12,45.400658,-71.886795,150.7,14,33.1,9.2,60,614.4,6711,0.913357,87,104,90,267,UE,0.61,0.7,,
S1,2020,4,25,22,37,14,45.400703,-71.886856,150.7,14,33.1,9.2,60,614.4,9405,14.835531,1297,1769,1685,4628,OK,0.69,0.74,,
S2,2020,4,25,22,37,17,45.40078,-71.886948,150.8,14,33.1,9.2,60,153.6,5966,77.557068,2515,2473,2187,7275,OK,0.54,0.64,,
S3,2020,4,25,22,37,19,45.400845,-71.886978,150.60001,14,33.1,9.2,60,50.4,5759,6.998677,78,75,66,204,UE,0.53,0.64,,
S4,2020,4,25,22,37,20,45.400875,-71.887001,150.60001,14,33.2,9.2,60,614.4,4206,1.40918,260,204,176,594,OK,0.43,0.56,,
S5,2020,4,25,22,37,22,45.40094,-71.887032,150,14,33.2,9.2,60,614.4,5284,0.182671,28,25,22,64,UE,0.5,0.61,,
S2,2020,4,25,22,37,29,45.401176,-71.887177,148.8,14,33.2,9.1,60,153.6,3619,1.774523,76,59,47,171,UE,0.41,0.56,,
S3,2020,4,25,22,37,31,45.401215,-71.887276,148.7,14,33.2,9.1,60,100.8,6053,5.805721,108,115,99,312,UE,0.56,0.67,,
S4,2020,4,25,22,37,32,45.401218,-71.887329,149.2,14,33.2,9.1,60,614.4,2833,2.583496,815,509,465,1688,OK,0.33,0.46,,
S5,2020,4,25,22,37,34,45.401211,-71.887444,149.39999,14,33.2,9.1,60,614.4,1681,0.665446,268,140,112,471,OK,0.24,0.4,,
S6,2020,4,25,22,37,37,45.401184,-71.887604,150.10001,14,33.2,9.1,60,614.4,5870,1.839762,226,228,198,606,OK,0.54,0.65,,
S1,2020,4,25,22,37,39,45.401169,-71.887657,150.60001,14,33.3,9.1,60,614.4,8630,11.403916,1221,1444,1377,3614,OK,0.63,0.7,,
S2,2020,4,25,22,37,42,45.401154,-71.887711,150.60001,14,33.2,9,60,614.4,3544,0.717638,159,113,98,313,UE,0.39,0.53,,
S3,2020,4,25,22,37,44,45.401154,-71.887718,150.8,14,33.2,9,60,153.6,5408,87.473518,3086,2851,2489,8118,OK,0.51,0.62,,
S4,2020,4,25,22,37,46,45.401154,-71.887726,151.2,14,33.2,9,60,614.4,1958,1.905002,587,335,262,1111,OK,0.27,0.44,,
S5,2020,4,25,22,37,48,45.401134,-71.887794,151.10001,14,33.2,9,60,614.4,44879,854.8501,1666,536,445,2460,OK,0.08,0.15,,
S6,2020,4,25,22,37,50,45.401089,-71.887871,151.2,14,33.3,9,60,614.4,2914,1.552707,366,245,203,751,OK,0.35,0.5,,
S1,2020,4,25,22,37,53,45.400974,-71.887955,151.10001,14,33.3,9,60,614.4,5735,4.632026,11635,4084,3160,17605,OK,0.11,0.22,,
S2,2020,4,25,22,37,55,45.400871,-71.887939,151.39999,14,33.3,9,60,614.4,5784,1.448323,6180,2096,1626,9746,OK,0.1,0.2,,
S3,2020,4,25,22,37,58,45.400703,-71.887878,151.7,14,33.2,8.9,60,153.6,5210,18.73687,680,615,534,1714,OK,0.5,0.62,,
S4,2020,4,25,22,38,0,45.4006,-71.887825,151.7,14,33.2,8.9,60,614.4,4674,2.883599,660,490,461,1478,OK,0.42,0.53,,
S5,2020,4,25,22,38,1,45.400551,-71.887802,150.8,14,33.2,8.9,60,614.4,1655,0.482775,173,89,64,292,UE,0.22,0.39,,
S6,2020,4,25,22,38,4,45.400394,-71.887726,150.60001,14,33.3,8.9,60,614.4,1859,0.587158,200,111,88,358,UE,0.26,0.43,,
S1,2020,4,25,22,38,6,45.400291,-71.88768,150.2,14,33.3,8.9,60,614.4,2029,1.474419,490,281,233,874,OK,0.28,0.44,,
S2,2020,4,25,22,38,9,45.400135,-71.887589,149.8,14,33.3,8.9,60,614.4,1658,1.800618,782,404,335,1459,OK,0.23,0.39,,
S3,2020,4,25,22,38,11,45.40004,-71.887543,150.39999,14,33.3,8.8,60,153.6,1658,23.381943,2724,1282,944,4649,OK,0.19,0.36,,
S4,2020,4,25,22,38,13,45.399937,-71.887489,151.10001,14,33.3,8.8,60,614.4,1635,2.439968,1010,479,329,1744,OK,0.19,0.36,,
S5,2020,4,25,22,38,15,45.399837,-71.887444,150.7,14,33.3,8.8,60,614.4,1757,0.848117,262,142,101,457,OK,0.24,0.42,,
S6,2020,4,25,22,38,18,45.399696,-71.887367,150.60001,14,33.3,8.8,60,614.4,1842,3.444661,888,501,325,1607,OK,0.24,0.42,,
S1,2020,4,25,22,38,20,45.399601,-71.887321,151.2,13,33.3,8.8,60,614.4,2563,2.257297,489,323,242,936,OK,0.33,0.49,,
S2,2020,4,25,22,38,22,45.399506,-71.88726,151.60001,14,33.3,8.8,60,614.4,1811,3.823052,1842,803,513,3082,OK,0.16,0.33,,
S3,2020,4,25,22,38,25,45.399357,-71.887192,151.5,14,33.4,8.7,60,153.6,2075,53.183483,2764,1702,1052,5190,OK,0.26,0.44,,
S4,2020,4,25,22,38,27,45.399265,-71.887146,151.60001,14,33.4,8.7,60,614.4,2047,2.870551,1577,653,408,2599,OK,0.15,0.31,,
S5,2020,4,25,22,38,29,45.399174,-71.887093,151.7,14,33.4,8.7,60,614.4,1841,0.76983,220,123,87,394,UE,0.25,0.43,,
S6,2020,4,25,22,38,31,45.399082,-71.887047,151.8,14,33.4,8.7,60,614.4,1869,1.761474,440,251,161,802,OK,0.24,0.42,,
S1,2020,4,25,22,38,34,45.398949,-71.886978,151.8,14,33.4,8.7,60,614.4,2495,1.317844,276,182,132,514,OK,0.32,0.49,,
S2,2020,4,25,22,38,36,45.398857,-71.886925,151.7,14,33.4,8.7,60,614.4,1683,1.604899,696,318,208,1193,OK,0.17,0.34,,
S3,2020,4,25,22,38,39,45.398754,-71.886879,151.7,14,33.4,8.7,60,153.6,2562,73.642685,3129,2195,1417,6265,OK,0.31,0.49,,
S4,2020,4,25,22,38,40,45.398663,-71.886833,151.2,14,33.4,8.7,60,614.4,4027,0.078288,1170,377,285,1747,OK,0.11,0.19,,
S5,2020,4,25,22,38,42,45.398571,-71.886795,151,14,33.4,8.7,60,614.4,1625,0.63935,248,124,90,426,UE,0.21,0.38,,
S6,2020,4,25,22,38,45,45.398434,-71.886719,151.89999,14,33.4,8.7,60,614.4,2019,0.939453,607,265,203,992,OK,0.17,0.32,,
S1,2020,4,25,22,38,47,45.398342,-71.886673,152.10001,14,33.4,8.6,60,614.4,1821,1.082981,447,243,212,762,OK,0.26,0.41,,
S2,2020,4,25,22,38,50,45.39822,-71.886597,153,14,33.4,8.6,60,614.4,5893,0.63935,2252,755,561,3459,OK,0.11,0.21,,
