Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,,
S3,2020,6,18,22,30,7,0,0,0,0,47.1,24.7,60,50.4,1683,4.453704,152,69,43,123,UE,,
S5,2020,6,18,22,30,9,0,0,0,0,47.1,24.7,60,50.4,2132,1.749669,91,38,26,148,UE,,Les lignes où R ou G ou B était < ou = 20 ont été effacées
S3,2020,6,18,22,30,14,0,0,0,0,47.2,24.7,60,100.8,1671,4.612764,309,141,87,259,UE,,
S5,2020,6,18,22,30,16,0,0,0,0,47.1,24.7,60,100.8,2124,1.90873,192,80,54,311,UE,,
S3,2020,6,18,22,30,22,0,0,0,0,47.1,24.7,60,153.6,1672,4.488498,464,212,133,778,OK,,
S5,2020,6,18,22,30,24,0,0,0,0,47.1,24.7,60,153.6,2118,2.609592,396,165,111,640,OK,,
S6,2020,6,18,22,30,26,0,0,0,0,47.1,24.7,60,153.6,1874,0.730686,53,30,21,95,UE,,
S1,2020,6,18,22,30,27,0,0,0,0,47.1,24.7,60,614.4,2252,0.169623,46,28,22,81,UE,,
S2,2020,6,18,22,30,29,0,0,0,0,47.1,24.7,60,614.4,1750,0.443631,135,73,51,232,UE,,
S3,2020,6,18,22,30,31,45.415119,-71.859116,281.60001,4,47.1,24.6,60,153.6,1676,18.058376,1852,843,523,3119,OK,,
S5,2020,6,18,22,30,35,45.415119,-71.859123,281.89999,4,47.1,24.6,60,153.6,2120,15.396591,2307,960,643,3728,OK,,
S6,2020,6,18,22,30,37,45.415131,-71.859138,281.89999,4,47.1,24.6,60,614.4,1874,0.182671,53,30,21,96,UE,,
S1,2020,6,18,22,30,39,45.415134,-71.859138,280.89999,5,47.2,24.6,60,614.4,2346,0.691542,183,113,90,325,UE,,
S2,2020,6,18,22,30,41,45.415146,-71.859146,279.60001,5,47.1,24.6,60,614.4,1768,0.443631,134,73,51,232,UE,,
S3,2020,6,18,22,30,44,45.415154,-71.859154,278.60001,10,47.1,24.6,60,153.6,1677,18.006184,1846,840,521,3110,OK,,
S4,2020,6,18,22,30,46,45.415165,-71.859169,277.10001,10,47.1,24.6,60,614.4,1891,0.274007,99,55,46,148,UE,,
S5,2020,6,18,22,30,48,45.415176,-71.859177,275.29999,10,47.1,24.6,60,153.6,2125,15.396591,2315,963,646,3741,OK,,
S6,2020,6,18,22,30,50,45.415184,-71.859184,273.79999,10,47.1,24.6,60,614.4,1785,0.169623,53,29,21,94,UE,,
S1,2020,6,18,22,30,52,45.415192,-71.859192,272.29999,10,47.2,24.6,60,614.4,2344,0.665446,182,112,90,323,UE,,
S2,2020,6,18,22,30,54,45.415199,-71.8592,271.20001,10,47.2,24.6,60,614.4,1768,0.443631,134,73,51,231,UE,,
S3,2020,6,18,22,30,56,45.415203,-71.859207,269.89999,10,47.2,24.6,60,153.6,1678,17.849607,1836,835,518,3092,OK,,
S4,2020,6,18,22,30,58,45.415207,-71.859207,269.39999,10,47.2,24.6,60,614.4,1891,0.274007,99,55,46,147,UE,,
S5,2020,6,18,22,31,0,45.415199,-71.859192,270.10001,11,47.2,24.6,60,153.6,2132,15.344399,2315,962,645,3741,OK,,
S6,2020,6,18,22,31,2,45.415195,-71.859184,270.10001,11,47.2,24.6,60,614.4,1785,0.169623,53,29,21,95,UE,,
S1,2020,6,18,22,31,4,45.415192,-71.859177,270.70001,11,47.2,24.6,60,614.4,2374,0.691542,182,113,90,323,UE,,
S2,2020,6,18,22,31,7,45.415184,-71.859169,271.39999,11,47.2,24.5,60,614.4,1768,0.443631,134,73,51,231,UE,,
S3,2020,6,18,22,31,9,45.415184,-71.859161,271.79999,11,47.2,24.5,60,153.6,1675,17.9018,1841,839,523,3095,OK,,
S4,2020,6,18,22,31,11,45.415176,-71.859154,272,11,47.2,24.5,60,614.4,1957,0.287055,99,56,46,148,UE,,
S5,2020,6,18,22,31,13,45.415176,-71.859154,272.10001,11,47.2,24.5,60,153.6,2007,16.44043,2320,981,655,3741,OK,,
S6,2020,6,18,22,31,15,45.415176,-71.859154,271.79999,11,47.2,24.5,60,614.4,1813,0.182671,56,31,22,100,UE,,
S1,2020,6,18,22,31,17,45.415173,-71.859177,270.5,11,47.2,24.5,60,614.4,2424,0.730686,178,113,87,323,UE,,
S2,2020,6,18,22,31,19,45.415161,-71.8592,269.29999,11,47.2,24.5,60,614.4,1938,0.730686,264,148,125,392,OK,,
S3,2020,6,18,22,31,21,45.415134,-71.859207,268.29999,11,47.2,24.5,60,153.6,2597,1.931098,123,79,64,193,UE,,
S4,2020,6,18,22,31,23,45.415127,-71.8592,268.10001,11,47.2,24.5,60,614.4,1916,2.883599,1496,637,407,2418,OK,,
S5,2020,6,18,22,31,25,45.415127,-71.8592,267.79999,11,47.2,24.5,60,153.6,1642,37.369354,2963,1503,948,5049,OK,,
S6,2020,6,18,22,31,27,45.415131,-71.8592,267.79999,11,47.2,24.5,60,614.4,1872,0.274007,76,43,30,136,UE,,
S1,2020,6,18,22,31,29,45.415131,-71.8592,267.79999,11,47.2,24.5,60,614.4,2273,0.952501,265,161,129,498,OK,,
S2,2020,6,18,22,31,32,45.415154,-71.859215,267.5,11,47.2,24.5,60,614.4,1626,4.449355,1701,811,528,2990,OK,,
S3,2020,6,18,22,31,34,45.415195,-71.85923,267.29999,11,47.2,24.5,60,614.4,2481,0.626302,128,85,60,234,UE,,
S4,2020,6,18,22,31,36,45.415279,-71.859268,267.5,11,47.2,24.5,60,614.4,2160,1.252604,344,206,160,582,OK,,
S5,2020,6,18,22,31,39,45.415356,-71.859261,268,11,47.2,24.5,60,153.6,2515,16.17947,809,541,383,1545,OK,,
S2,2020,6,18,22,31,45,45.415562,-71.859192,266,11,47.2,24.5,60,614.4,2200,0.339247,124,72,64,167,UE,,
S3,2020,6,18,22,31,48,45.415565,-71.859192,266.10001,11,47.2,24.4,60,614.4,1691,1.40918,541,284,224,855,OK,,
S4,2020,6,18,22,31,50,45.415569,-71.859192,265.89999,11,47.2,24.4,60,614.4,2432,0.926405,304,183,162,464,OK,,
S5,2020,6,18,22,31,52,45.415596,-71.859177,266,11,47.2,24.4,60,153.6,1627,2.922743,299,143,98,472,UE,,
S2,2020,6,18,22,31,59,45.415668,-71.859093,265,11,47.3,24.4,60,614.4,2233,0.952501,583,236,150,954,OK,,
S3,2020,6,18,22,32,1,45.415737,-71.859047,265,11,47.3,24.4,60,614.4,1797,0.822021,251,138,99,442,UE,,
S4,2020,6,18,22,32,4,45.415806,-71.859016,262.70001,11,47.3,24.4,60,614.4,4103,0.652398,876,341,278,1369,OK,,
S5,2020,6,18,22,32,6,45.415878,-71.859009,264.70001,11,47.3,24.4,60,614.4,1947,0.104384,43,24,21,63,UE,,
S6,2020,6,18,22,32,9,45.416004,-71.859001,268,11,47.3,24.4,60,614.4,1624,0.404487,200,98,80,328,UE,,
S1,2020,6,18,22,32,11,45.416088,-71.858986,268.79999,11,47.3,24.3,60,614.4,1971,0.665446,290,161,148,498,OK,,
S2,2020,6,18,22,32,13,45.416233,-71.858978,268.60001,11,47.4,24.4,60,614.4,5460,0.391439,824,292,223,1302,OK,,
S3,2020,6,18,22,32,16,45.416325,-71.858994,270.20001,11,47.3,24.3,60,614.4,1997,0.534966,177,101,83,312,UE,,
S4,2020,6,18,22,32,18,45.416416,-71.859039,273.60001,11,47.3,24.3,60,614.4,1676,4.449355,1955,1019,864,3373,OK,,
S5,2020,6,18,22,32,21,45.416435,-71.859116,275.20001,11,47.3,24.3,60,614.4,3789,0.691542,138,103,88,305,UE,,
S6,2020,6,18,22,32,23,45.416466,-71.859306,274.29999,11,47.4,24.3,60,614.4,1957,0.430583,168,94,82,273,UE,,
S2,2020,6,18,22,32,28,45.416454,-71.859627,276.10001,11,47.4,24.3,60,614.4,4755,0.234863,447,193,193,585,OK,,
S3,2020,6,18,22,32,31,45.416466,-71.859772,276.79999,11,47.5,24.3,60,614.4,1692,7.698296,1540,817,272,2896,OK,,
S4,2020,6,18,22,32,33,45.416466,-71.859901,276.5,11,47.5,24.3,60,614.4,2092,0.613254,392,167,121,642,OK,,
S5,2020,6,18,22,32,35,45.416473,-71.8601,277.70001,11,47.5,24.3,60,614.4,2310,1.356988,279,180,122,557,OK,,
S6,2020,6,18,22,32,38,45.416492,-71.860207,278.5,11,47.5,24.3,60,614.4,1686,0.221815,84,44,34,140,UE,,
S1,2020,6,18,22,32,40,45.416534,-71.860352,280.10001,11,47.5,24.3,60,614.4,1991,0.156576,66,37,33,106,UE,,
S2,2020,6,18,22,32,43,45.41655,-71.860443,280.20001,11,47.6,24.3,60,614.4,1623,0.247911,115,56,43,194,UE,,
S3,2020,6,18,22,32,45,45.416527,-71.860527,279.60001,11,47.6,24.2,60,614.4,3118,3.953532,3619,1406,1012,5581,OK,,
S4,2020,6,18,22,32,48,45.416466,-71.860535,278.39999,11,47.7,24.3,60,614.4,1621,0.182671,101,50,43,155,UE,,
S2,2020,6,18,22,32,58,45.416454,-71.860062,275.39999,11,47.8,24.2,60,614.4,2770,0.365343,331,136,107,507,OK,,
S3,2020,6,18,22,33,0,45.416454,-71.859917,274.29999,11,47.8,24.2,60,614.4,2300,0.482775,95,62,40,184,UE,,
S4,2020,6,18,22,33,2,45.416489,-71.859711,274.89999,11,47.9,24.2,60,614.4,1639,0.391439,184,94,79,320,UE,,
