# Les lignes C, R, G ou B etait < ou = 20 ont ete effacees
Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,
S5,2020,6,10,22,35,45,45.425816,-71.871918,257.39999,11,54.2,20.3,60,100.8,5015,3.81746,29,51,31,107,UE,,,
S5,2020,6,10,22,35,52,45.4258,-71.87191,257.70001,11,54.2,20.3,60,153.6,5131,4.488498,58,95,61,198,UE,,,
S2,2020,6,10,22,35,57,45.42577,-71.871895,256,11,54.3,20.4,60,614.4,2498,0.561062,116,77,55,222,UE,,,
S3,2020,6,10,22,36,0,45.425777,-71.871918,253.89999,11,54.3,20.3,60,614.4,1736,0.63935,203,109,78,371,UE,,,
S4,2020,6,10,22,36,2,45.425781,-71.871979,252.8,11,54.3,20.3,60,614.4,1724,0.782878,247,132,93,448,UE,,,
S5,2020,6,10,22,36,4,45.425732,-71.872017,252.10001,11,54.3,20.3,60,614.4,2275,0.626302,141,89,63,282,UE,,,
S2,2020,6,10,22,36,12,45.425598,-71.872055,250.10001,11,54.3,20.3,60,614.4,4060,0.652398,67,67,46,167,UE,,,
S3,2020,6,10,22,36,14,45.425591,-71.872108,250,11,54.3,20.3,60,614.4,2272,0.978597,213,135,94,437,UE,,,
S4,2020,6,10,22,36,17,45.425663,-71.872208,249.39999,11,54.4,20.3,60,614.4,2635,0.300103,70,46,36,120,UE,,,
S5,2020,6,10,22,36,19,45.425758,-71.872246,248.7,11,54.4,20.3,60,614.4,4900,0.874213,77,89,65,198,UE,,,
S6,2020,6,10,22,36,22,45.425919,-71.872292,248,11,54.4,20.2,60,614.4,2208,0.195719,47,29,21,82,UE,,,
S1,2020,6,10,22,36,24,45.425995,-71.872307,247.60001,11,54.4,20.2,60,614.4,2195,4.123155,914,570,391,1643,OK,,,
S2,2020,6,10,22,36,27,45.426071,-71.872353,247.10001,11,54.4,20.2,60,614.4,2541,0.835069,161,109,76,316,UE,,,
S3,2020,6,10,22,36,29,45.426105,-71.872429,246.60001,11,54.4,20.2,60,614.4,2240,5.480143,1299,806,588,2420,OK,,,
S4,2020,6,10,22,36,31,45.426125,-71.872589,246.10001,11,54.5,20.2,60,614.4,1974,0.208767,76,43,36,112,UE,,,
