Sensor,date,,,time,,,latitude,longitude,altitude,Satellite,Humidity,T (_C),colorTem,lux,???,???,R,G,B,clear,tail,MSI,SLI,,,,
S1,2020,4,18,22,15,42,45.412903,-71.86705,273.29999,10,36.9,11.5,60,2.4,40943,0,1,0,0,0,UE,,,LAN3 est placé de cette façon :,,,(voir ligne 1754 pour le changement de position du LAN3)
S2,2020,4,18,22,15,43,45.412903,-71.867043,274,11,36.9,11.5,60,2.4,5953,6.680556,0,2,1,0,UE,0.69,0.75,,S1,haut,
S3,2020,4,18,22,15,44,45.412903,-71.867035,274.70001,10,38.6,10.3,60,2.4,0,0,0,0,0,0,UE,,,,S2,vers l'arrière de l'auto,
S4,2020,4,18,22,15,45,45.412899,-71.867027,275.10001,10,38.6,10.3,60,2.4,16168,0,0,1,1,0,UE,1.11,1.03,,S3,vers le côté gauche de l'auto en la regardant de derrière,
S5,2020,4,18,22,15,46,45.412899,-71.86702,275.89999,10,38.6,10.2,60,2.4,0,0,0,0,0,0,UE,,,,S4,vers l'avant de l'auto,
S6,2020,4,18,22,15,47,45.412903,-71.867004,276.39999,10,38.6,10.2,60,2.4,0,0,0,0,0,0,UE,,,,S5,vers le côté droit de l'auto en la regardant de derrière,
S1,2020,4,18,22,15,48,45.412899,-71.866997,277.20001,11,38.6,10.2,60,24,2410,0.334028,1,1,0,2,UE,,,,S6,vers le toît de l'auto (le bas),
S2,2020,4,18,22,15,49,45.412899,-71.866989,277.70001,11,38.6,10.2,60,24,1635,0.334028,4,2,1,7,UE,0.15,0.33,,,,
S3,2020,4,18,22,15,50,45.412895,-71.866982,278.29999,11,38.6,10.2,60,24,2184,0.334028,3,2,1,0,UE,0.22,0.41,,,,
S4,2020,4,18,22,15,51,45.412895,-71.866974,278.79999,11,38.6,10.2,60,24,1679,21889.844,2,1,6,4,UE,,,,,,
S5,2020,4,18,22,15,52,45.412895,-71.866974,279.10001,11,38.6,10.2,60,24,1672,21890.512,0,0,2,1,UE,,,,,Les lignes où R ou G ou B était < ou = 20 ont été effacées,
S6,2020,4,18,22,15,53,45.412895,-71.866966,279.5,11,38.6,10.2,60,24,5953,0.668056,0,2,1,0,UE,0.69,0.75,,,,
S1,2020,4,18,22,15,54,45.412895,-71.866959,279.89999,11,38.6,10.1,60,50.4,1866,0.636243,10,6,2,20,UE,0.09,0.27,,,,
S2,2020,4,18,22,15,56,45.412895,-71.866959,280.29999,11,38.6,10.1,60,50.4,1744,1.431548,43,18,7,73,UE,0.09,0.24,,,,
S3,2020,4,18,22,15,57,45.412895,-71.866959,280.29999,11,38.6,10.1,60,50.4,1824,0.318122,7,4,2,14,UE,0.18,0.37,,,,
S4,2020,4,18,22,15,58,45.412895,-71.866951,280.60001,11,38.6,10.1,60,50.4,1623,0.636243,21,10,6,37,UE,0.17,0.35,,,,
S5,2020,4,18,22,15,59,45.412895,-71.866951,280.60001,11,38.6,10.1,60,50.4,2668,0.477183,5,4,2,11,UE,0.27,0.46,,,,
S6,2020,4,18,22,16,0,45.412895,-71.866951,280.70001,11,38.6,10.1,60,50.4,3875,0.477183,3,4,2,6,UE,0.41,0.56,,,,
S1,2020,4,18,22,16,1,45.412895,-71.866951,280.70001,11,38.6,10.1,60,100.8,1789,0.715774,21,12,4,42,UE,0.08,0.26,,,,
S2,2020,4,18,22,16,3,45.412895,-71.866951,280.79999,11,38.6,10.1,60,100.8,1761,1.511078,101,43,21,166,UE,0.12,0.29,,,,
S3,2020,4,18,22,16,4,45.412895,-71.866943,280.79999,11,38.6,10,60,100.8,2365,0.556713,20,13,9,36,UE,0.3,0.48,,,,
S4,2020,4,18,22,16,5,45.412895,-71.866943,280.79999,11,38.6,10,60,100.8,1631,0.795304,44,22,13,78,UE,0.18,0.37,,,,
S5,2020,4,18,22,16,6,45.412891,-71.866943,280.79999,11,38.6,10.1,60,100.8,4633,0.795304,19,17,14,48,UE,0.48,0.61,,,,
S6,2020,4,18,22,16,8,45.412891,-71.866943,280.89999,11,38.6,10.1,60,100.8,2361,0,6,3,4,12,UE,0.07,0.05,,,,
