R,G,B,R/G,B/G,MSI
2307.25,1401.25,942.75,1.646565566,0.67279215,0.078
1964,985.5,284,1.992897007,0.28817859,0.046
3057.75,1645.75,1491.75,1.857967492,0.906425642,0.086
2286.8,2516,1645.8,0.908903021,0.654133545,0.305
4845.5,3184.5,2591.4,1.521588946,0.813754122,0.099
1649,862.8,248.4,1.911219286,0.287899861,0.047
3612.25,1738,1102,2.078394707,0.63406214,0.084
2360.9,1293.4,860.7,1.825344054,0.665455389,0.091
10438.6,5244.2,3806.8,1.990503795,0.725906716,0.253
9487.5,4879.5,3481,1.944359053,0.713392766,0.269
1804.33,1101.33,1042.33,1.638319123,0.946428409,0.257
2869.6,2103.6,1743.6,1.364137669,0.828864803,0.482
4183.25,2498.5,2343,1.674304583,0.937762658,0.304
2824,2434,2210.8,1.160230074,0.908299096,0.583
1629.33,1328,1018.83,1.22690512,0.767191265,0.499
3145.6,1121.6,713,2.804564907,0.635699001,0.095
5528.43,3028.17,2274.67,1.825666987,0.751169848,0.324
7733.18,2789.36,2119.64,2.772385063,0.759901913,0.134
2759.89,2173.89,2298.67,1.269562857,1.057399408,0.7
2000.85,1687.46,1590.77,1.185716995,0.942700864,0.655
9774,4253.14,2700.71,2.29806684,0.634992029,0.13
5752.5,5066.25,3832.92,1.135455218,0.756559585,0.357
4601,2382.6,1766.2,1.93108369,0.741291027,0.357
16065,4568.33,2689.11,3.516602347,0.588641801,0.055
1588.86,1330.43,1090.86,1.19424547,0.819930398,0.468
168,152,43,1.105263158,0.282894737,0.232
2336.5,2017.5,1378.5,1.158116481,0.683271375,0.504
7372.55,4816.91,3035.09,1.530555896,0.63009066,0.303
9273.29,7268.86,2682.43,1.275755758,0.369030357,0.176
262.14,362,243,0.724143646,0.671270718,0.614
10568.14,9777.43,6732.43,1.080870945,0.688568468,0.433
8619.17,8783.5,5649.17,0.981291057,0.643157056,0.451
2255.4,2301.6,1655.4,0.979927007,0.71923879,0.438
14663.73,6461.87,4278.93,2.269270351,0.662181381,0.138
14231.13,13696.75,11191.5,1.039015095,0.817091646,0.561
11192.73,7878.64,6098.82,1.420642395,0.774095529,0.409
1426.33,2041.67,1883.89,0.698609472,0.922720126,0.658
139.5,269.5,230,0.517625232,0.853432282,0.577
1095.71,2125.57,1858.57,0.515489963,0.874386635,0.669
1569.5,440.67,331.83,3.561622075,0.753012458,0.241
13016.83,4820.83,3614.5,2.700122178,0.749767156,0.111
8569.43,3028.14,2399.29,2.829931905,0.792331266,0.157
10227.2,3225.8,1740.6,3.170438341,0.539587079,0.061
6635,2094.4,1130,3.167971734,0.539533995,0.05
430.8,242.6,194.4,1.775762572,0.801319044,0.107
275.75,233,142,1.183476395,0.60944206,0.609
13103.43,9172.57,7106.43,1.428545108,0.774747971,0.415
2615.17,3612,2904,0.724022702,0.803986711,0.546
4750.38,6890.25,5355.63,0.689435071,0.777276586,0.467
12234.57,9293.71,8628.86,1.316435525,0.928462369,0.584
5979.9,1885.5,1489.7,3.171519491,0.790082206,0.188
6705,2421.83,1683,2.768567571,0.694929041,0.163
5769.56,1895.22,930.33,3.044269267,0.490882325,0.043
947,547.5,358.63,1.729680365,0.655031963,0.091
461.33,452.5,346.42,1.019513812,0.765569061,0.515
5334.25,2305.25,1548.88,2.313957271,0.671892419,0.113
10849.25,9205.75,8047.25,1.178529723,0.87415474,0.503
1343.33,762.17,692.17,1.762507052,0.908156973,0.294
707.29,392,363.71,1.804311224,0.927831633,0.274
14374.13,7741.63,6853.88,1.856731722,0.885327767,0.169
5235.09,2542.09,2782.82,2.059364539,1.09469767,0.012
20775.88,11940.63,10876.25,1.739931645,0.91086065,0.274
2879.5,1478.88,1480.63,1.947081575,1.001183328,0.05
4689.67,1877.83,744.83,2.497387942,0.396643999,0.063
9655.2,4639.5,3408,2.081086324,0.734561914,0.385
1647.8,1067.2,1122.2,1.54404048,1.051536732,0.024
5761.38,2747.5,1751.38,2.096953594,0.63744495,0.244
11311.14,6600.43,6211.43,1.713697441,0.941064446,0.24
2526.33,1384.17,1352,1.825158759,0.976758635,0.089
18081.06,9896.75,9124.94,1.82696946,0.922013792,0.109
3258.27,3230.45,2879.64,1.008611803,0.891405222,0.305
16375.38,9434.81,8365.69,1.735634316,0.886683463,0.29
4710,2359.88,1590.88,1.995864196,0.674135973,0.261
12660,7163.46,6834.77,1.767302393,0.954115749,0.31
6196.4,3067.3,2695.1,2.020148013,0.878655495,0.062
