R,G,B,C,R/G,B/G,R/C,B/C,G/C,MSI,SLI,IPI,fname
47497891971.29689,33306861745.278183,20133000831.35015,107277157900.26674,1.4260692686854692,0.604470063415817,0.442758672032071,0.3104748708596741,0.1876727648775648,0.28036122209152947,0.4922806775538279,0.6754737513236717,LSPDD/lampdump/LED_BR30Flood-SlimStyle_domestic-use_softwhite-color_Philips-brand_9.5W_120V_68Lm_2700K
323895356544.011,428785006935.5874,308852251140.2094,1122858958429.7915,0.7553793889828497,0.7202962933510536,0.28845595799221924,0.38186898159961363,0.2750588119919434,0.5487549418424391,0.6967997378052838,0.6229525995094476,LSPDD/lampdump/LED_Ceiling-light_domestic-use_coolwhite-color_RAB-design-brand_14W_5000K_88Lum_120V
352495867459.96155,244361922825.62854,122317176152.70734,767368895666.78,1.442515525266574,0.50055743029977,0.45935647046740385,0.3184412662612527,0.1593981419411375,0.22839251299788327,0.4324700657172524,0.639113612287883,LSPDD/lampdump/LED_MR16_domestic-use_warm_softwhite-color_Philips-brand_10W_120V_40.5Lm_2700K
155695271060.558,95093397787.88669,55525447428.41039,325243951974.3393,1.637287915695773,0.5839043374206091,0.47870304771368005,0.2923756067119405,0.1707193849150842,0.24920295687280117,0.44231095586560665,0.6727146206374555,LSPDD/lampdump/LED_PAR20_domestic-use_softwhite-color_TCP-brand_10W_120V_60Lm_2400K
187277046899.024,135573988703.67409,68579288131.238304,419549347498.166,1.381364144329765,0.5058439954963115,0.4463766849258242,0.32314193672835284,0.1634594083870863,0.24703201979578573,0.43965965959588765,0.6608178087780825,LSPDD/lampdump/LED_Encaster7inchCalculite_domestic-use_softwhite-color_Philips-brand_22W_1500lm_3000K
3780324994.446865,1791489512.3814373,881399923.7202263,7295442537.609682,2.1101574797508347,0.4919927901495646,0.5181762415313974,0.2455628295536422,0.12081514166911839,0.12207290068808414,0.2437911298302743,0.5050264054525887,LSPDD/lampdump/HPS_Helios_streetlight-use_warmwhite-color_Philipps-brand_100W_2010K
114820106132.06172,87826180800.34613,48707640578.668816,267194394889.5371,1.3073562471432119,0.5545913545915782,0.42972498049418434,0.32869769156892314,0.18229289801833387,0.284331339130681,0.4943955781923312,0.6432745224450411,LSPDD/lampdump/LED_A19_dim_domestic-use_softwhite-color_EnergySmart-brand_13W_61.5Lum_3000K_25000H
321683788038.43994,281929571371.93616,194158561667.61816,845872738535.4059,1.1410076157426492,0.6886775329129065,0.3802980914072515,0.33330022180415186,0.22953637447140782,0.4158384258111768,0.5798167861009008,0.6932123200347072,LSPDD/lampdump/LED_PAR30_dim_domestic-use_softwhite-color_Standard-brand_9W_57.8Lum_120V_3000K
382775726768.6989,290852557095.635,166803683123.10144,894585008161.251,1.3160473148009446,0.5734991116762121,0.42788077519370044,0.32512567776365886,0.18645928738058473,0.2907426787213936,0.48672057604663294,0.6474284258065677,LSPDD/lampdump/LED_PAR20_BlackBulbBody_dim_domestic-use_softwhite-color_EnergySmart-band_7W_47.1Lum_3000K_50000H
675257804376.0875,329695075002.78754,204983477206.375,1587107895217.0,2.0481282723752496,0.6217365461241479,0.42546433447346804,0.20773324611160693,0.12915535095258807,0.2844495634448572,0.507013417366238,0.9264974939601456,LSPDD/lampdump/Halo_PAR38_domestic-use_softwhite-color_Sylvania-brand_65W_120V_11Lum_3000K
107870426415.07346,115818944724.293,92433308191.94754,340846224617.5458,0.9313711731000399,0.7980845310927762,0.31647827854368027,0.3397982326318863,0.27118771315617307,0.5562379480284932,0.6997083599081598,0.6554261440166946,LSPDD/lampdump/MH_industrial-use_coolwhite-color_Philips-brand_400W_4000K_100Lum-plafond-bleu
92265162643.68878,62718310373.477196,33916993437.94011,201492586105.22882,1.4711040857807705,0.5407829585326838,0.45790847408898516,0.31126857610891334,0.168328741486434,0.24913517965796822,0.440990383135327,0.6552523708206227,LSPDD/lampdump/LED_BR30_dim_domestic-use_softwhite-color_Philips-brand_13W_120V_56.2Lum_2700K_bernard
1143837193353.516,1487354480160.5251,1024050515167.4745,3884565217486.263,0.7690414145456876,0.6885046764756121,0.2944569415914462,0.38288827626454564,0.26362036877582573,0.5520073231249091,0.6492862178623158,0.6214819368594681,LSPDD/lampdump/LED_VEK2_domestic-use_coolwhite-color_RAB-design-brand_52W_72Lum_5000K_120V
306704565989.2083,236873325398.53943,129959242782.58598,717956273901.571,1.2948041552301333,0.5486444814498616,0.42719114957028187,0.3299272309597699,0.18101275454611165,0.2861776542202388,0.4984073450309305,0.6837311258259747,LSPDD/lampdump/LED_PAR20_dim_domestic-use_softwhite-color_LightingScience-brand_8W_43.8Lum_120V_3000K_50000H
178927605089.30548,139314893226.40976,81657109813.99326,426853131927.2484,1.2843393907535678,0.5861333840401897,0.41917838175731453,0.3263766452817176,0.19130024757065775,0.32350371056935273,0.5168596154227808,0.7061805911350244,LSPDD/lampdump/LED_G25Bombilla_domestic-use_softwhite-color_Sylvania-brand_8W_120V_56.3Lum_3046K
44042098801.392044,29837083848.173553,15916427589.69381,95681590087.31421,1.4760859012060603,0.5334444770368575,0.4602985669573576,0.3118372491609486,0.16634785829927448,0.23128119255835441,0.4422732327740407,0.6474497936990895,LSPDD/lampdump/LED_A21_dim_domestic-use_softwhite-color_Philips-brand_19W_120V_88.4Lum_2700K_bernard
