lat,lon,MSI,SLI,IPI
0.000000000000000000e+00,0.000000000000000000e+00,6.293000000000000815e-01,8.249999999999999556e-01,9.915999999999987047e-01
0.000000000000000000e+00,0.000000000000000000e+00,9.819999999999995399e-02,2.144999999999994689e-01,1.559200000000001030e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.067111111111113564e-01,6.377296296296297573e-01,1.219851851851850189e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.110624999999999085e-01,5.335874999999992152e-01,1.316850000000002741e+00
4.540914500000000231e+01,-7.188881700000000308e+01,2.869682193839216966e-01,5.045274229902318996e-01,1.341635762584524105e+00
4.540912999999999755e+01,-7.188880899999999485e+01,2.869682193839216966e-01,5.045274229902318996e-01,1.341635762584524105e+00
4.540911099999999578e+01,-7.188880899999999485e+01,2.713987812004340361e-01,4.850564960903802625e-01,1.357795564460025250e+00
4.540910699999999878e+01,-7.188878599999999608e+01,4.181014531250001331e-01,6.191485124999998035e-01,8.827659031249983634e-01
4.540926400000000029e+01,-7.188906099999999810e+01,5.361158469681911454e-01,7.111314459833908419e-01,8.230429540481645212e-01
4.540956099999999651e+01,-7.189007600000000764e+01,1.810499398242434443e-01,3.383550646603137313e-01,7.610599424980741823e-01
4.540953100000000120e+01,-7.189009099999999819e+01,1.937154915114395193e-01,3.585445176581916193e-01,7.539739770486355575e-01
4.540953799999999774e+01,-7.189012099999999350e+01,2.056651877461052047e-01,3.764697501992133599e-01,7.381121681916273936e-01
4.540916400000000408e+01,-7.189160900000000254e+01,1.701937094084621238e-01,1.422282663313818585e-01,8.387355131613998260e-01
4.540829500000000252e+01,-7.189379900000000134e+01,2.259574776261285001e-01,4.061748622219116811e-01,6.408067630814930915e-01
4.540735200000000304e+01,-7.189553800000000194e+01,2.145439632693736387e-01,3.891644663414624006e-01,7.445677334250198065e-01
4.540697500000000275e+01,-7.189713299999999663e+01,1.251780044182971841e-01,1.443297773975655840e-01,8.177661982999127055e-01
4.540648699999999849e+01,-7.189843799999999874e+01,1.264338513264174901e-01,2.556766452089052066e-01,1.305220475419246018e+00
4.540576200000000284e+01,-7.189977299999999616e+01,1.898558122684009808e-01,3.532533298582862802e-01,8.578996776624170373e-01
4.540554799999999602e+01,-7.190118400000000065e+01,1.506196577240247469e-01,2.833910636521153048e-01,6.963706814946930557e-01
4.540614300000000014e+01,-7.190154300000000376e+01,2.318868451601602265e-01,4.165499400526215812e-01,9.453815077440652637e-01
4.540664699999999954e+01,-7.190185499999999763e+01,1.502595657573809751e-01,3.250112816968387941e-01,5.725611982381089149e-01
4.540663899999999842e+01,-7.190191699999999742e+01,1.226984118075803432e-01,2.772379714285709840e-01,5.654599623177847256e-01
4.540663499999999431e+01,-7.190193199999998797e+01,1.196584823253195040e-01,2.743155084335082705e-01,5.644996855066684027e-01
4.540665399999999607e+01,-7.190191699999999742e+01,1.199102347960869785e-01,2.743680809201216597e-01,5.646072500406273953e-01
4.540665100000000365e+01,-7.190193199999998797e+01,1.194057310916507575e-01,2.742627459390404310e-01,5.643868163700682672e-01
4.540666599999999420e+01,-7.190249599999999930e+01,2.269957168328925468e-01,4.061877103195605798e-01,7.410489131691453402e-01
4.540665399999999607e+01,-7.190331999999999368e+01,1.799326085477944703e-01,3.371620542311408730e-01,6.977286132893341097e-01
4.540667299999999784e+01,-7.190418999999999983e+01,2.018724384629241309e-01,3.711823972434336039e-01,7.007328748678678387e-01
4.540669600000000372e+01,-7.190499100000000965e+01,1.310935676995900190e-01,2.626824034018391263e-01,5.561712892009631481e-01
4.540668900000000008e+01,-7.190579200000000526e+01,1.397165772801213235e-01,2.634073093871063254e-01,6.158459226899162253e-01
4.540668099999999896e+01,-7.190654800000000080e+01,1.588082123031760995e-01,3.023779613591812687e-01,6.381326628010506319e-01
4.540671199999999885e+01,-7.190755500000000211e+01,1.382159342862508966e-01,2.647127185929056825e-01,5.861403741950561574e-01
4.540670800000000185e+01,-7.190842399999999657e+01,1.684675594787364838e-01,3.232680525881066469e-01,6.081403465884220871e-01
4.540671500000000549e+01,-7.190934799999999427e+01,2.590425643229222752e-01,4.578421595012471812e-01,1.100973037519504150e+00
4.540674200000000127e+01,-7.191033199999999681e+01,2.190175556851311489e-01,3.971187918367349301e-01,8.786111720116589474e-01
