wavelength,relativeIntensity
380.0,0.000589
380.5,0.0006411
381.0,0.0006932
381.5,0.0007453
382.0,0.0007974
382.5,0.0008495
383.0,0.0009016
383.5,0.0009537
384.0,0.0010058
384.5,0.0010579
385.0,0.00111
385.5,0.00122
386.0,0.00133
386.5,0.00144
387.0,0.00155
387.5,0.00166
388.0,0.00177
388.5,0.00188
389.0,0.00199
389.5,0.0021
390.0,0.00221
390.5,0.002442
391.0,0.002674
391.5,0.002906
392.0,0.003138
392.5,0.00337
393.0,0.003602
393.5,0.003834
394.0,0.004066
394.5,0.004298
395.0,0.00453
395.5,0.005006
396.0,0.005482
396.5,0.005958
397.0,0.006434
397.5,0.00691
398.0,0.007386
398.5,0.007862
399.0,0.008338
399.5,0.008814
400.0,0.00929
400.5,0.010213
401.0,0.011136
401.5,0.012059
402.0,0.012982
402.5,0.013905
403.0,0.014828
403.5,0.015751
404.0,0.016674
404.5,0.017597
405.0,0.018519999
405.5,0.020151999
406.0,0.021783999
406.5,0.023415999
407.0,0.025047999
407.5,0.026679999
408.0,0.028311999
408.5,0.029943999
409.0,0.031575999
409.5,0.033207999
410.0,0.034839999
410.5,0.037395999
411.0,0.039951999
411.5,0.042508
412.0,0.045064
412.5,0.04762
413.0,0.050176001
413.5,0.052732001
414.0,0.055288001
414.5,0.057844001
415.0,0.060400002
415.5,0.064020002
416.0,0.067640002
416.5,0.071260002
417.0,0.074880002
417.5,0.078500003
418.0,0.082120003
418.5,0.085740003
419.0,0.089360003
419.5,0.092980003
420.0,0.096600004
420.5,0.101300003
421.0,0.106000003
421.5,0.110700003
422.0,0.115400003
422.5,0.120100003
423.0,0.124800003
423.5,0.129500002
424.0,0.134200002
424.5,0.138900002
425.0,0.143600002
425.5,0.149220002
426.0,0.154840001
426.5,0.160460001
427.0,0.166080001
427.5,0.171700001
428.0,0.177320001
428.5,0.18294
429.0,0.18856
429.5,0.19418
430.0,0.1998
430.5,0.206069998
431.0,0.212339997
431.5,0.218609996
432.0,0.224879995
432.5,0.231149994
433.0,0.237419993
433.5,0.243689992
434.0,0.24995999
434.5,0.256229989
435.0,0.262499988
435.5,0.269059989
436.0,0.27561999
436.5,0.28217999
437.0,0.288739991
437.5,0.295299992
438.0,0.301859993
438.5,0.308419994
439.0,0.314979994
439.5,0.321539995
440.0,0.328099996
440.5,0.334599996
441.0,0.341099995
441.5,0.347599995
442.0,0.354099995
442.5,0.360599995
443.0,0.367099994
443.5,0.373599994
444.0,0.380099994
444.5,0.386599994
445.0,0.393099993
445.5,0.399289995
446.0,0.405479997
446.5,0.411669999
447.0,0.417860001
447.5,0.424050003
448.0,0.430240005
448.5,0.436430007
449.0,0.442620009
449.5,0.448810011
450.0,0.455000013
450.5,0.460800013
451.0,0.466600013
451.5,0.472400013
452.0,0.478200012
452.5,0.484000012
453.0,0.489800012
453.5,0.495600012
454.0,0.501400012
454.5,0.507200012
455.0,0.513000011
