wavelength,relativeIntensity
380.0,0.590358853
380.5,0.594306296
381.0,0.598253739
381.5,0.602201182
382.0,0.606148624
382.5,0.610096067
383.0,0.61404351
383.5,0.617990953
384.0,0.621938396
384.5,0.625885838
385.0,0.629833281
385.5,0.633897084
386.0,0.637960887
386.5,0.64202469
387.0,0.646088493
387.5,0.650152296
388.0,0.654216099
388.5,0.658279902
389.0,0.662343705
389.5,0.666407508
390.0,0.670471311
390.5,0.674619585
391.0,0.67876786
391.5,0.682916135
392.0,0.687064409
392.5,0.691212684
393.0,0.695360959
393.5,0.699509233
394.0,0.703657508
394.5,0.707805783
395.0,0.711954057
395.5,0.71614542
396.0,0.720336783
396.5,0.724528146
397.0,0.728719509
397.5,0.732910872
398.0,0.737102234
398.5,0.741293597
399.0,0.74548496
399.5,0.749676323
400.0,0.753867686
400.5,0.758049762
401.0,0.762231839
401.5,0.766413915
402.0,0.770595992
402.5,0.774778068
403.0,0.778960145
403.5,0.783142221
404.0,0.787324297
404.5,0.791506374
405.0,0.79568845
405.5,0.799796295
406.0,0.80390414
406.5,0.808011985
407.0,0.81211983
407.5,0.816227674
408.0,0.820335519
408.5,0.824443364
409.0,0.828551209
409.5,0.832659054
410.0,0.836766899
410.5,0.840721458
411.0,0.844676018
411.5,0.848630577
412.0,0.852585137
412.5,0.856539696
413.0,0.860494256
413.5,0.864448816
414.0,0.868403375
414.5,0.872357935
415.0,0.876312494
415.5,0.880019242
416.0,0.883725989
416.5,0.887432736
417.0,0.891139483
417.5,0.894846231
418.0,0.898552978
418.5,0.902259725
419.0,0.905966473
419.5,0.90967322
420.0,0.913379967
420.5,0.916727859
421.0,0.92007575
421.5,0.923423642
422.0,0.926771533
422.5,0.930119425
423.0,0.933467317
423.5,0.936815208
424.0,0.9401631
424.5,0.943510991
425.0,0.946858883
425.5,0.9497199
426.0,0.952580917
426.5,0.955441934
427.0,0.958302951
427.5,0.961163968
428.0,0.964024985
428.5,0.966886002
429.0,0.969747019
429.5,0.972608036
430.0,0.975469053
430.5,0.977698696
431.0,0.979928339
431.5,0.982157981
432.0,0.984387624
432.5,0.986617267
433.0,0.98884691
433.5,0.991076553
434.0,0.993306196
434.5,0.995535839
435.0,0.997765481
435.5,0.999204618
436.0,1.000643754
436.5,1.00208289
437.0,1.003522027
437.5,1.004961163
438.0,1.006400299
438.5,1.007839435
439.0,1.009278572
439.5,1.010717708
440.0,1.012156844
440.5,1.012635589
441.0,1.013114333
441.5,1.013593078
442.0,1.014071822
442.5,1.014550567
443.0,1.015029311
443.5,1.015508056
444.0,1.0159868
444.5,1.016465545
445.0,1.016944289
445.5,1.016288435
446.0,1.015632582
446.5,1.014976728
447.0,1.014320874
447.5,1.01366502
448.0,1.013009167
448.5,1.012353313
449.0,1.011697459
449.5,1.011041605
450.0,1.010385752
450.5,1.008426708
451.0,1.006467664
451.5,1.004508621
452.0,1.002549577
452.5,1.000590533
453.0,0.998631489
453.5,0.996672446
