wavelength,relativeIntensity
380.0,0
380.5,0.01242236
381.0,0.024844721
381.5,0.037267081
382.0,0.049689442
382.5,0.062111802
383.0,0.074534163
383.5,0.086956523
384.0,0.099378884
384.5,0.111801244
385.0,0.124223605
385.5,0.136645965
386.0,0.149068326
386.5,0.161490686
387.0,0.173913047
387.5,0.186335407
388.0,0.198757768
388.5,0.211180128
389.0,0.223602489
389.5,0.236024849
390.0,0.24844721
390.5,0.260869569
391.0,0.273291928
391.5,0.285714287
392.0,0.298136646
392.5,0.310559005
393.0,0.322981364
393.5,0.335403723
394.0,0.347826082
394.5,0.360248441
395.0,0.372670799
395.5,0.385093161
396.0,0.397515523
396.5,0.409937885
397.0,0.422360247
397.5,0.434782609
398.0,0.447204971
398.5,0.459627333
399.0,0.472049695
399.5,0.484472057
400.0,0.496894419
400.5,0.508385104
401.0,0.519875789
401.5,0.531366473
402.0,0.542857158
402.5,0.554347843
403.0,0.565838528
403.5,0.577329212
404.0,0.588819897
404.5,0.600310582
405.0,0.611801267
405.5,0.623291945
406.0,0.634782624
406.5,0.646273303
407.0,0.657763982
407.5,0.669254661
408.0,0.680745339
408.5,0.692236018
409.0,0.703726697
409.5,0.715217376
410.0,0.726708055
410.5,0.735403711
411.0,0.744099367
411.5,0.752795023
412.0,0.761490679
412.5,0.770186335
413.0,0.778881991
413.5,0.787577647
414.0,0.796273303
414.5,0.804968959
415.0,0.813664615
415.5,0.822360265
416.0,0.831055915
416.5,0.839751565
417.0,0.848447216
417.5,0.857142866
418.0,0.865838516
418.5,0.874534166
419.0,0.883229816
419.5,0.891925466
420.0,0.900621116
420.5,0.906832296
421.0,0.913043475
421.5,0.919254655
422.0,0.925465834
422.5,0.931677014
423.0,0.937888193
423.5,0.944099373
424.0,0.950310552
424.5,0.956521732
425.0,0.962732911
425.5,0.96645962
426.0,0.970186329
426.5,0.973913038
427.0,0.977639747
427.5,0.981366456
428.0,0.985093164
428.5,0.988819873
429.0,0.992546582
429.5,0.996273291
430.0,1
430.5,0.999378884
431.0,0.998757768
431.5,0.998136652
432.0,0.997515535
432.5,0.996894419
433.0,0.996273303
433.5,0.995652187
434.0,0.995031071
434.5,0.994409955
435.0,0.993788838
435.5,0.993167716
436.0,0.992546594
436.5,0.991925472
437.0,0.99130435
437.5,0.990683228
438.0,0.990062106
438.5,0.989440984
439.0,0.988819861
439.5,0.988198739
440.0,0.987577617
440.5,0.986335385
441.0,0.985093153
441.5,0.98385092
442.0,0.982608688
442.5,0.981366456
443.0,0.980124223
443.5,0.978881991
444.0,0.977639759
444.5,0.976397526
445.0,0.975155294
445.5,0.973913056
446.0,0.972670817
446.5,0.971428579
447.0,0.970186341
447.5,0.968944103
448.0,0.967701864
448.5,0.966459626
449.0,0.965217388
449.5,0.963975149
450.0,0.962732911
450.5,0.959627324
451.0,0.956521738
451.5,0.953416151
452.0,0.950310564
452.5,0.947204977
453.0,0.944099391
453.5,0.940993804
454.0,0.937888217
454.5,0.93478263
455.0,0.931677043
455.5,0.931677043
456.0,0.931677043
456.5,0.931677043
457.0,0.931677043
457.5,0.931677043
458.0,0.931677043
458.5,0.931677043
459.0,0.931677043
459.5,0.931677043
460.0,0.931677043
460.5,0.931055921
461.0,0.930434799
461.5,0.929813677
462.0,0.929192555
462.5,0.928571433
463.0,0.927950311
463.5,0.927329189
464.0,0.926708066
464.5,0.926086944
465.0,0.925465822
465.5,0.924844706
466.0,0.92422359
466.5,0.923602474
467.0,0.922981358
467.5,0.922360241
468.0,0.921739125
468.5,0.921118009
469.0,0.920496893
469.5,0.919875777
470.0,0.919254661
470.5,0.917701864
471.0,0.916149068
