wavelength,relativeIntensity
380.0,0.0002
380.5,0.0002196
381.0,0.0002392
381.5,0.0002588
382.0,0.0002784
382.5,0.000298
383.0,0.0003176
383.5,0.0003372
384.0,0.0003568
384.5,0.0003764
385.0,0.000396
385.5,0.0004364
386.0,0.0004768
386.5,0.0005172
387.0,0.0005576
387.5,0.000598
388.0,0.0006384
388.5,0.0006788
389.0,0.0007192
389.5,0.0007596
390.0,0.0008
390.5,0.000875
391.0,0.00095
391.5,0.001025
392.0,0.0011
392.5,0.001175
393.0,0.00125
393.5,0.001325
394.0,0.0014
394.5,0.001475
395.0,0.00155
395.5,0.001675
396.0,0.0018
396.5,0.001925
397.0,0.00205
397.5,0.002175
398.0,0.0023
398.5,0.002425
399.0,0.00255
399.5,0.002675
400.0,0.0028
400.5,0.00298562
401.0,0.00317124
401.5,0.00335686
402.0,0.00354248
402.5,0.0037281
403.0,0.00391372
403.5,0.00409934
404.0,0.00428496
404.5,0.00447058
405.0,0.0046562
405.5,0.00493058
406.0,0.00520496
406.5,0.00547934
407.0,0.00575372
407.5,0.0060281
408.0,0.00630248
408.5,0.00657686
409.0,0.00685124
409.5,0.00712562
410.0,0.0074
410.5,0.0078379
411.0,0.0082758
411.5,0.0087137
412.0,0.0091516
412.5,0.0095895
413.0,0.0100274
413.5,0.0104653
414.0,0.0109032
414.5,0.0113411
415.0,0.011779
415.5,0.0123511
416.0,0.0129232
416.5,0.0134953
417.0,0.0140674
417.5,0.0146395
418.0,0.0152116
418.5,0.0157837
419.0,0.0163558
419.5,0.0169279
420.0,0.0175
420.5,0.0180178
421.0,0.0185356
421.5,0.0190534
422.0,0.0195712
422.5,0.020089
423.0,0.020606801
423.5,0.021124601
424.0,0.021642401
424.5,0.022160201
425.0,0.022678001
425.5,0.023140201
426.0,0.023602401
426.5,0.024064601
427.0,0.024526801
427.5,0.024989001
428.0,0.0254512
428.5,0.0259134
429.0,0.0263756
429.5,0.0268378
430.0,0.0273
430.5,0.0278284
431.0,0.0283568
431.5,0.0288852
432.0,0.0294136
432.5,0.029942
433.0,0.0304704
433.5,0.0309988
434.0,0.0315272
434.5,0.0320556
435.0,0.032584
435.5,0.0331156
436.0,0.0336472
436.5,0.034178801
437.0,0.034710401
437.5,0.035242001
438.0,0.035773601
438.5,0.036305201
439.0,0.036836801
439.5,0.037368401
440.0,0.037900001
440.5,0.038349101
441.0,0.0387982
441.5,0.0392473
442.0,0.0396964
442.5,0.0401455
443.0,0.040594599
443.5,0.041043699
444.0,0.041492799
444.5,0.041941899
445.0,0.042390998
445.5,0.042831898
446.0,0.043272799
446.5,0.043713699
447.0,0.044154599
447.5,0.044595499
448.0,0.045036399
448.5,0.045477299
449.0,0.045918199
449.5,0.046359099
450.0,0.046799999
450.5,0.047332199
451.0,0.047864399
451.5,0.048396599
452.0,0.048928799
452.5,0.049461
453.0,0.0499932
453.5,0.0505254
454.0,0.0510576
454.5,0.0515898
455.0,0.052122001
455.5,0.0529098
456.0,0.0536976
456.5,0.0544854
457.0,0.0552732
457.5,0.056061
458.0,0.056848799
458.5,0.057636599
459.0,0.058424399
459.5,0.059212199
460.0,0.059999999
460.5,0.061294199
461.0,0.0625884
461.5,0.0638826
462.0,0.065176801
462.5,0.066471001
463.0,0.067765202
463.5,0.069059402
464.0,0.070353603
464.5,0.071647803
465.0,0.072942004
465.5,0.074745803
466.0,0.076549603
466.5,0.078353403
467.0,0.080157202
467.5,0.081961002
468.0,0.083764802
468.5,0.085568602
469.0,0.087372401
469.5,0.089176201
470.0,0.090980001
470.5,0.093166
471.0,0.095352
471.5,0.097538
472.0,0.099723999
472.5,0.101909999
473.0,0.104095998
473.5,0.106281998
474.0,0.108467998
474.5,0.110653997
475.0,0.112839997
475.5,0.115457997
476.0,0.118075997
476.5,0.120693997
477.0,0.123311996
477.5,0.125929996
478.0,0.128547996
478.5,0.131165996
479.0,0.133783996
479.5,0.136401996
480.0,0.139019996
480.5,0.142104997
481.0,0.145189998
481.5,0.148274998
482.0,0.151359999
482.5,0.154445
483.0,0.157530001
483.5,0.160615002
484.0,0.163700002
484.5,0.166785003
485.0,0.169870004
485.5,0.173685004
486.0,0.177500004
486.5,0.181315003
487.0,0.185130003
487.5,0.188945003
488.0,0.192760003
488.5,0.196575002
489.0,0.200390002
489.5,0.204205002
490.0,0.208020002
490.5,0.213026002
491.0,0.218032002
491.5,0.223038003
492.0,0.228044003
492.5,0.233050004
493.0,0.238056004
493.5,0.243062004
494.0,0.248068005
494.5,0.253074005
495.0,0.258080006
495.5,0.264572006
496.0,0.271064007
496.5,0.277556008
497.0,0.284048009
497.5,0.29054001
498.0,0.297032011
498.5,0.303524011
499.0,0.310016012
499.5,0.316508013
500.0,0.323000014
500.5,0.331240013
501.0,0.339480013
501.5,0.347720012
502.0,0.355960011
502.5,0.364200011
503.0,0.37244001
503.5,0.38068001
504.0,0.388920009
504.5,0.397160009
505.0,0.405400008
505.5,0.415160009
506.0,0.424920011
506.5,0.434680012
507.0,0.444440013
507.5,0.454200014
508.0,0.463960016
508.5,0.473720017
509.0,0.483480018
509.5,0.49324002
510.0,0.503000021
510.5,0.51351102
511.0,0.524022019
511.5,0.534533018
512.0,0.545044017
512.5,0.555555016
513.0,0.566066015
513.5,0.576577014
514.0,0.587088013
514.5,0.597599012
515.0,0.608110011
515.5,0.618299007
516.0,0.628488004
