Lieu,Rue,MSI,SLI,IPI,,R,G,B,Technologie,R/G,B/G,,,,,,
ext,Forest,0.078,0.199,0.493,,2307.25,1401.25,942.75,,1.646565566,0.673,0.078,,,1.646565566,0.67279215,0.078
ext,Maurice Duplessis,0.046,0.166,0.579,,1964,986,284,,1.992897007,0.288,0.046,,,1.992897007,0.28817859,0.046
ext,Tetreault,0.086,0.183,0.549,,3057.75,1645.75,1491.75,,1.857967492,0.906,0.086,,,1.857967492,0.906425642,0.086
ext,Triolet Aréna,0.305,0.476,0.565,,2286.8,2516,1645.800,,0.908903021,0.654,0.305,,,0.908903021,0.654133545,0.305
ext,Triolet ,0.099,0.235,0.667,,4845.5,3184.5,2591.4,,1.521588946,0.814,0.099,,,1.521588946,0.813754122,0.099
ext,Triolet Toaster,0.047,0.171,0.566,,1649,862.8,248.4,,1.911219286,0.288,0.047,,,1.911219286,0.287899861,0.047
ext,UDeS Parking inconnu,0.084,0.202,0.475,,3612.25,1738,1102,,2.078394707,0.634,0.084,,,2.078394707,0.63406214,0.084
ext,UDeS Parking D2,0.091,0.221,0.530,,2360.9,1293.4,860.7,,1.825344054,0.665,0.091,,,1.825344054,0.665455389,0.091
int,DEL 2700K,0.253,0.456,0.670,,10438.6,5244.2,3806.8,,1.990503795,0.726,0.253,,,1.990503795,0.725906716,0.253
int,DEL 3000K,0.269,0.458,0.658,,9487.5,4879.5,3481,,1.944359053,0.713,0.269,,,1.944359053,0.713392766,0.269
int,INC 2800K,0.257,0.462,1.034,,1804.333333,1101.333333,1042.333,,1.638317191,0.946,0.257,,,1.638317191,0.946428571,0.257
int,FC 3000K,0.482,0.628,0.646,,2869.6,2103.6,1743.6,,1.364137669,0.829,0.482,,,1.364137669,0.828864803,0.482
int,Halo 3000K,0.304,0.510,0.968,,4183.25,2498.5,2343,,1.674304583,0.938,0.304,,,1.674304583,0.937762658,0.304
int,CF 5000K,0.583,0.718,0.680,,2824,2434,2210.8,,1.160230074,0.908,0.583,,,1.160230074,0.908299096,0.583
ext,FaceWGym1,0.499,0.620,0.617,,1629.333333,1328,1018.833333,,1.226907631,0.767,0.499,,,1.226907631,0.767193775,0.499
ext,FaceWGym2,0.095,0.182,0.455,,3145.6,1121.6,713,,2.804564907,0.636,0.095,,,2.804564907,0.635699001,0.095
ext,FaceWGym3,0.324,0.456,0.646,,5538.666667,3028.166667,2274.667,,1.82904948,0.751,0.324,,,1.825668525,0.751169575,0.324
ext,MichealsPark,0.134,0.237,0.528,,7733.181818,2789.363636,2119.636,,2.772382101,0.760,0.134,,,2.772382101,0.759899619,0.134
ext,Lunette,1.101,1.116,0.924,,425.2,658.4,942.8,,0.645808019,1.432,1.101,,,0.645808019,1.431956258,1.101
ext,LeonPark,0.700,0.713,0.720,,2759.888889,2173.888889,2298.667,,1.269562995,1.057,0.700,,,1.269562995,1.057398416,0.7
ext,LeonPark2,0.655,0.662,0.720,,2000.846154,1687.461538,1590.769,,1.185713634,0.943,0.655,,,1.185713634,0.942699549,0.655
ext,IGABrompton,0.034,0.041,1.296,,3074.8,178.2,398.4,,17.25476992,2.236,0.034,,,17.25476992,2.235690236,0.034
ext,IGABromptonPark,0.130,0.249,0.499,,9774,4253.142857,2700.714,,2.298065296,0.635,0.130,,,2.298065296,0.634992611,0.13
ext,LeonBuilding,0.357,0.530,0.728,,5752.5,5066.25,3832.917,,1.135455218,0.757,0.357,,,1.135455218,0.756558928,0.357
ext,ESB,0.357,0.542,0.660,,4601,2382.6,1766.2,,1.93108369,0.741,0.357,,,1.93108369,0.741291027,0.357
ext,CostcoPark,0.055,0.193,0.669,,16065,4568.333333,2689.111,,3.516599781,0.589,0.055,,,3.516599781,0.588641615,0.055
ext,CostcoBuilding,0.468,0.611,0.698,,1588.857143,1330.428571,1090.857,,1.194244604,0.820,0.468,,,1.194244604,0.819929131,0.468
ext,CDFSigne,0.232,0.470,0.461,,168,152,43,,1.105263158,0.283,0.232,,,1.105263158,0.282894737,0.232
ext,CDFFoires,0.504,0.567,0.704,,2336.5,2017.5,1378.5,,1.158116481,0.683,0.504,,,1.158116481,0.683271375,0.504
ext,CDFBuilding,0.303,0.506,0.641,,7372.545455,4816.909091,3035.091,,1.530555241,0.630,0.303,,,1.530555241,0.630090967,0.303
ext,Carr4SuperC,0.176,0.441,0.493,,9273.285714,7268.857143,2682.429,,1.27575567,0.369,0.176,,,1.27575567,0.369030305,0.176
ext,Carr4Park,0.418,0.256,3.502,,10047.875,3830,2853.286,,2.623466057,0.745,0.418,,,2.623466057,0.744983215,0.418
ext,AvantAdam,0.614,0.458,0.601,,262.1428571,362,243,,0.724151539,0.671,0.614,,,0.724151539,0.671270718,0.614
ext,CanTirePark,0.433,0.579,0.616,,10568.14286,9777.428571,6732.429,,1.080871395,0.689,0.433,,,1.080871395,0.688568423,0.433
ext,CanTirePark2,0.451,0.589,0.625,,8619.166667,8783.5,5649.167,,0.981290678,0.643,0.451,,,0.981290678,0.643156676,0.451
ext,Carr4Marshalls,0.438,0.634,0.673,,2255.4,2301.6,1655.4,,0.979927007,0.719,0.438,,,0.979927007,0.71923879,0.438
ext,BrickEnseigne,0.097,0.068,1.420,,534.8333333,27,60,,19.80864198,2.222,0.097,,,19.80864198,2.222222222,0.097
ext,WalmartPark,0.624,0.703,0.679,,13268.77778,14805.66667,40136.286,,0.896195901,2.711,0.624,,,0.896195901,2.71087325,0.624
ext,HomeDepotPark,0.138,0.263,0.545,,14663.73333,6461.866667,4278.933,,2.269272037,0.662,0.138,,,2.269272037,0.662182238,0.138
ext,4 Saisons,0.561,0.576,0.637,,14231.125,13696.75,11191.5,,1.03901473,0.817,0.561,,,1.03901473,0.817091646,0.561
ext,AvantEugeneLalode,0.409,0.588,0.689,,11192.73,7878.64,6098.82,,1.420642395,0.774,0.409,,,1.420642395,0.774095529,0.409
ext,derriere eugene lalonde 1,0.658,0.618,0.641,,1426.333,2041.667,1883.889,,0.698611968,0.923,0.658,,,0.698611968,0.922720992,0.658
ext,derriere eugene lalonde 2,0.577,0.772,0.687,,139.5,269.5,230,,0.517625232,0.853,0.577,,,0.517625232,0.853432282,0.577
ext,Enseigne ardene,0.417,0.278,1.156,,2329,199.2,535.2,,11.69176707,2.687,0.417,,,11.69176707,2.686746988,0.417
ext,Enseigne Walmart,0.669,0.793,0.711,,1095.71,2125.57,1858.57,,0.515489963,0.874,0.669,,,0.515489963,0.874386635,0.669
ext,Enseigne Hart,0.241,0.222,1.121,,1569.5,440.667,331.833,,3.561646323,0.753,0.241,,,3.561646323,0.753024393,0.241
ext,Eugene Lalonde,0.111,0.218,0.501,,13016.83,4820.83,3614.5,,2.700122178,0.750,0.111,,,2.700122178,0.749767156,0.111
ext,EugeneLalondeHPS,0.157,0.242,0.57,,8569.43,3028.14,2399.29,,2.829931905,0.792,0.157,,,2.829931905,0.792331266,0.157
