Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,2.5159E-005
312.00,8.6594E-005
312.50,1.1445E-004
313.00,1.1512E-004
313.50,2.7426E-005
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,2.9996E-007
319.50,5.8980E-006
320.00,4.4903E-006
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,0.0000E+000
325.00,0.0000E+000
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,3.9347E-006
332.00,6.5009E-006
332.50,1.4749E-005
333.00,4.6419E-007
333.50,0.0000E+000
334.00,0.0000E+000
334.50,0.0000E+000
335.00,0.0000E+000
335.50,9.6631E-006
336.00,1.8606E-005
336.50,1.8357E-005
337.00,2.5232E-005
337.50,1.9196E-005
338.00,2.1833E-005
338.50,4.3328E-005
339.00,5.8873E-005
339.50,7.3797E-005
340.00,6.8264E-005
340.50,6.0850E-005
341.00,3.6008E-005
341.50,2.7775E-005
342.00,3.6040E-005
342.50,4.6995E-005
343.00,6.4253E-005
343.50,5.6391E-005
344.00,3.4935E-005
344.50,7.3890E-006
345.00,3.0012E-008
345.50,0.0000E+000
346.00,7.8284E-006
346.50,2.7769E-005
347.00,3.7256E-005
347.50,4.3528E-005
348.00,4.8286E-005
348.50,4.4717E-005
349.00,2.6079E-005
349.50,9.3626E-007
350.00,0.0000E+000
350.50,1.9626E-005
351.00,6.1298E-005
351.50,7.6510E-005
352.00,8.1072E-005
352.50,8.5463E-005
353.00,1.0034E-004
353.50,1.2082E-004
354.00,1.4016E-004
354.50,1.3954E-004
355.00,1.4957E-004
355.50,1.6215E-004
356.00,1.6629E-004
356.50,1.6280E-004
357.00,1.5296E-004
357.50,1.4105E-004
358.00,1.2577E-004
