Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,6.2205E-006
300.50,1.6740E-005
301.00,1.1605E-005
301.50,5.9915E-006
302.00,1.8544E-005
302.50,3.4884E-005
303.00,4.4116E-005
303.50,4.0965E-005
304.00,1.1389E-005
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,5.7953E-007
308.00,1.3954E-005
308.50,3.0104E-005
309.00,2.6528E-005
309.50,1.1026E-005
310.00,0.0000E+000
310.50,0.0000E+000
311.00,3.8589E-006
311.50,7.3200E-005
312.00,1.3763E-004
312.50,1.4994E-004
313.00,1.4073E-004
313.50,6.1954E-005
314.00,1.4327E-005
314.50,7.2735E-006
315.00,4.7208E-006
315.50,6.5309E-006
316.00,1.2740E-005
316.50,1.1167E-005
317.00,1.6553E-006
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,2.2423E-006
319.50,3.7435E-005
320.00,5.7005E-005
320.50,5.1645E-005
321.00,3.1447E-005
321.50,1.7658E-005
322.00,2.2263E-005
322.50,3.3209E-005
323.00,3.7506E-005
323.50,3.1700E-005
324.00,1.8281E-005
324.50,8.8515E-006
325.00,1.2625E-005
325.50,5.3807E-006
326.00,3.4903E-006
326.50,1.8839E-006
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,0.0000E+000
332.00,6.1067E-006
332.50,2.6729E-005
333.00,4.9947E-005
333.50,4.7542E-005
334.00,3.3846E-005
334.50,2.2043E-005
335.00,2.1505E-005
335.50,2.2582E-005
336.00,4.2240E-005
336.50,3.5332E-005
337.00,3.3453E-005
337.50,5.6528E-006
338.00,0.0000E+000
338.50,0.0000E+000
339.00,0.0000E+000
339.50,1.5904E-006
340.00,1.0858E-005
340.50,5.1609E-006
341.00,0.0000E+000
341.50,3.8883E-007
342.00,4.4091E-006
342.50,9.7013E-006
343.00,1.9316E-005
343.50,1.2675E-005
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,2.9466E-006
347.50,1.2785E-005
348.00,1.4123E-005
348.50,3.2680E-006
349.00,0.0000E+000
349.50,0.0000E+000
350.00,0.0000E+000
350.50,8.6732E-006
351.00,2.9786E-005
351.50,3.8062E-005
352.00,5.2360E-005
352.50,3.3161E-005
353.00,8.9123E-006
353.50,0.0000E+000
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,5.7616E-007
356.00,6.1342E-006
356.50,7.2290E-007
357.00,4.2220E-006
357.50,1.3316E-005
358.00,2.7293E-005
