Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,6.4564E-006
302.50,1.5806E-005
303.00,7.3690E-006
303.50,4.1390E-006
304.00,2.6110E-007
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,1.7986E-006
308.50,7.2417E-006
309.00,2.2601E-006
309.50,3.7476E-006
310.00,0.0000E+000
310.50,4.7133E-006
311.00,4.1369E-005
311.50,1.7276E-004
312.00,2.9982E-004
312.50,3.6059E-004
313.00,3.2318E-004
313.50,1.6636E-004
314.00,5.1666E-005
314.50,8.9850E-006
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,2.0556E-006
317.00,3.5754E-006
317.50,0.0000E+000
318.00,4.1887E-006
318.50,1.3779E-005
319.00,1.5931E-005
319.50,2.6761E-005
320.00,2.8663E-005
320.50,1.9697E-005
321.00,7.4945E-007
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,1.8709E-006
323.50,1.5428E-005
324.00,2.0486E-005
324.50,2.7865E-005
325.00,2.0823E-005
325.50,4.9847E-006
326.00,1.9400E-007
326.50,1.8502E-006
327.00,1.1533E-005
327.50,1.4147E-005
328.00,8.3724E-006
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,5.2705E-007
332.00,1.4243E-005
332.50,3.7612E-005
333.00,7.8560E-005
333.50,1.0234E-004
334.00,1.0591E-004
334.50,9.0159E-005
335.00,4.5880E-005
335.50,1.3390E-005
336.00,3.5035E-006
336.50,3.7240E-006
337.00,1.2130E-005
337.50,9.9745E-006
338.00,1.2305E-005
338.50,1.2783E-005
339.00,2.3464E-005
339.50,1.4265E-005
340.00,1.5853E-005
340.50,1.4636E-005
341.00,1.0339E-005
341.50,3.2289E-005
342.00,4.8571E-005
342.50,5.8184E-005
343.00,5.6617E-005
343.50,3.3940E-005
344.00,5.1664E-006
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,1.4366E-005
347.50,1.5682E-005
348.00,4.2841E-006
348.50,0.0000E+000
349.00,0.0000E+000
349.50,9.8854E-006
350.00,2.7792E-005
350.50,4.6309E-005
351.00,7.1613E-005
351.50,9.3061E-005
352.00,1.0143E-004
352.50,8.3126E-005
353.00,4.9461E-005
353.50,1.4357E-005
354.00,5.0019E-008
354.50,4.1529E-006
355.00,2.3190E-005
355.50,4.2559E-005
356.00,4.3211E-005
356.50,3.4528E-005
357.00,3.7592E-005
357.50,4.9205E-005
358.00,5.6694E-005
