Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,1.4579E-007
300.50,1.3112E-007
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,1.0053E-006
303.00,6.8223E-006
303.50,1.5388E-005
304.00,2.3916E-005
304.50,3.1226E-005
305.00,4.0331E-005
305.50,4.3589E-005
306.00,5.3177E-005
306.50,6.3244E-005
307.00,5.4509E-005
307.50,4.6169E-005
308.00,3.2861E-005
308.50,2.6633E-005
309.00,2.1108E-005
309.50,1.5846E-005
310.00,1.9118E-005
310.50,1.9291E-005
311.00,2.0195E-005
311.50,2.2405E-005
312.00,3.0150E-005
312.50,4.8418E-005
313.00,7.8416E-005
313.50,7.8103E-005
314.00,5.9639E-005
314.50,2.9977E-005
315.00,1.2978E-005
315.50,8.8931E-006
316.00,2.0299E-005
316.50,3.0121E-005
317.00,4.4111E-005
317.50,5.0694E-005
318.00,3.8521E-005
318.50,3.1560E-005
319.00,2.8930E-005
319.50,3.5695E-005
320.00,6.0227E-005
320.50,8.3960E-005
321.00,9.0303E-005
321.50,9.9923E-005
322.00,8.4011E-005
322.50,6.8419E-005
323.00,5.5242E-005
323.50,4.9963E-005
324.00,6.3266E-005
324.50,6.4315E-005
325.00,6.0953E-005
325.50,6.1653E-005
326.00,6.4322E-005
326.50,8.8857E-005
327.00,1.0017E-004
327.50,1.0858E-004
328.00,1.1732E-004
328.50,1.1769E-004
329.00,1.4876E-004
329.50,1.8290E-004
330.00,2.3097E-004
330.50,3.3024E-004
331.00,4.8054E-004
331.50,7.1631E-004
332.00,1.0237E-003
332.50,1.4006E-003
333.00,1.8293E-003
333.50,2.1580E-003
334.00,2.3655E-003
334.50,2.4302E-003
335.00,2.2995E-003
335.50,2.1099E-003
336.00,1.8198E-003
336.50,1.4867E-003
337.00,1.1813E-003
337.50,9.0419E-004
338.00,6.9260E-004
338.50,5.2008E-004
339.00,4.0176E-004
339.50,3.0671E-004
340.00,2.4425E-004
340.50,2.0574E-004
341.00,1.8984E-004
341.50,1.8869E-004
342.00,1.7388E-004
342.50,1.5621E-004
343.00,1.3491E-004
343.50,1.1102E-004
344.00,9.6799E-005
344.50,8.0291E-005
345.00,7.6002E-005
345.50,8.2699E-005
346.00,8.4492E-005
346.50,8.4283E-005
347.00,8.5328E-005
347.50,8.7716E-005
348.00,9.5272E-005
348.50,1.0264E-004
349.00,8.7080E-005
349.50,5.9568E-005
350.00,3.9931E-005
350.50,3.6880E-005
351.00,3.8684E-005
351.50,6.1352E-005
352.00,6.1225E-005
352.50,4.7673E-005
353.00,3.5970E-005
353.50,2.3103E-005
354.00,1.4905E-005
354.50,1.8170E-005
355.00,7.6493E-006
355.50,1.0477E-005
356.00,1.4030E-005
356.50,1.8585E-005
357.00,2.8496E-005
357.50,2.6414E-005
358.00,2.5924E-005
