Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,3.5785E-006
300.50,1.0644E-005
301.00,5.0859E-006
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,0.0000E+000
303.50,1.4450E-006
304.00,9.3578E-006
304.50,3.0130E-005
305.00,3.4220E-005
305.50,2.7344E-005
306.00,1.0108E-005
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,1.3584E-006
308.50,7.7608E-006
309.00,1.4205E-006
309.50,1.0465E-006
310.00,3.5575E-006
310.50,0.0000E+000
311.00,4.0729E-006
311.50,0.0000E+000
312.00,0.0000E+000
312.50,7.9199E-007
313.00,9.7276E-006
313.50,2.5171E-005
314.00,2.9696E-005
314.50,1.1608E-005
315.00,1.0805E-006
315.50,0.0000E+000
316.00,6.8660E-007
316.50,7.2750E-006
317.00,9.1845E-006
317.50,1.1593E-005
318.00,1.4073E-005
318.50,2.8094E-006
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,1.5542E-005
323.00,3.5773E-005
323.50,4.8075E-005
324.00,5.1367E-005
324.50,4.1587E-005
325.00,3.3475E-005
325.50,2.8007E-005
326.00,2.8997E-005
326.50,3.9718E-005
327.00,3.3912E-005
327.50,1.7963E-005
328.00,8.2166E-006
328.50,2.9145E-007
329.00,7.8553E-006
329.50,2.1930E-005
330.00,1.8233E-005
330.50,6.2679E-006
331.00,1.9246E-007
331.50,0.0000E+000
332.00,0.0000E+000
332.50,1.3362E-006
333.00,4.3451E-006
333.50,1.9828E-005
334.00,3.2650E-005
334.50,3.9035E-005
335.00,5.7412E-005
335.50,5.9634E-005
336.00,4.8820E-005
336.50,3.4662E-005
337.00,2.7791E-005
337.50,3.0744E-005
338.00,3.6658E-005
338.50,4.1238E-005
339.00,3.4681E-005
339.50,2.4546E-005
340.00,1.6818E-005
340.50,5.0302E-007
341.00,0.0000E+000
341.50,2.1812E-006
342.00,7.2448E-006
342.50,1.1527E-005
343.00,2.3671E-005
343.50,2.8282E-005
344.00,4.0543E-005
344.50,4.9409E-005
345.00,4.1425E-005
345.50,2.2964E-005
346.00,1.4829E-005
346.50,1.8867E-005
347.00,3.5506E-005
347.50,5.5631E-005
348.00,5.1821E-005
348.50,4.5548E-005
349.00,3.8016E-005
349.50,2.7806E-005
350.00,2.5809E-005
350.50,2.9123E-005
351.00,3.0443E-005
351.50,1.6560E-005
352.00,6.1583E-006
352.50,0.0000E+000
353.00,3.2759E-006
353.50,1.8170E-005
354.00,2.5214E-005
354.50,1.2274E-005
355.00,2.8804E-006
355.50,1.4347E-007
356.00,1.6979E-006
356.50,3.2583E-006
357.00,3.9441E-006
357.50,4.4989E-006
358.00,1.0728E-005
