Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,3.0565E-007
301.00,1.1467E-006
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,3.8011E-008
303.50,2.8983E-006
304.00,6.9595E-006
304.50,4.0405E-006
305.00,8.2212E-006
305.50,9.0860E-006
306.00,1.2944E-006
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,1.5356E-006
309.00,7.6372E-006
309.50,5.2336E-006
310.00,8.8755E-007
310.50,0.0000E+000
311.00,6.6813E-006
311.50,1.1738E-004
312.00,2.0660E-004
312.50,2.4804E-004
313.00,2.4087E-004
313.50,9.7292E-005
314.00,3.1677E-005
314.50,1.7681E-005
315.00,1.6227E-005
315.50,2.5282E-005
316.00,3.9366E-005
316.50,4.0205E-005
317.00,3.5940E-005
317.50,1.9113E-005
318.00,2.9032E-006
318.50,2.2423E-006
319.00,1.9964E-006
319.50,6.7073E-006
320.00,1.3371E-006
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,2.6748E-005
323.00,3.3863E-005
323.50,3.2083E-005
324.00,2.4285E-005
324.50,1.3195E-005
325.00,6.4260E-006
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,3.0281E-007
328.00,2.3209E-006
328.50,1.4389E-006
329.00,4.5010E-006
329.50,4.0247E-006
330.00,7.0474E-006
330.50,9.6431E-006
331.00,3.5111E-006
331.50,0.0000E+000
332.00,0.0000E+000
332.50,0.0000E+000
333.00,2.5897E-006
333.50,2.4384E-005
334.00,3.1062E-005
334.50,2.2482E-005
335.00,1.3255E-005
335.50,3.8549E-006
336.00,9.3911E-006
336.50,1.8350E-005
337.00,2.4246E-005
337.50,2.7527E-005
338.00,1.5422E-005
338.50,1.0387E-005
339.00,7.3252E-006
339.50,2.2708E-006
340.00,1.1330E-005
340.50,1.6474E-005
341.00,9.0493E-006
341.50,4.4743E-006
342.00,4.6846E-006
342.50,3.7758E-006
343.00,8.6661E-006
343.50,1.8426E-005
344.00,1.0618E-005
344.50,1.1840E-005
345.00,1.7282E-005
345.50,6.7273E-006
346.00,7.2951E-006
346.50,1.2159E-005
347.00,5.8354E-007
347.50,7.0755E-006
348.00,1.1949E-005
348.50,2.2334E-005
349.00,3.6578E-005
349.50,3.9281E-005
350.00,2.9431E-005
350.50,2.4502E-005
351.00,2.3138E-005
351.50,2.5503E-005
352.00,3.4983E-005
352.50,3.3722E-005
353.00,2.4819E-005
353.50,1.3312E-005
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,4.7586E-006
357.50,1.2872E-005
358.00,1.7067E-005
