Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,1.1604E-005
302.00,1.9225E-005
302.50,2.5283E-005
303.00,1.6173E-005
303.50,4.2954E-006
304.00,1.8667E-008
304.50,0.0000E+000
305.00,0.0000E+000
305.50,1.0071E-005
306.00,3.3816E-005
306.50,3.9005E-005
307.00,2.7779E-005
307.50,1.0335E-005
308.00,1.2451E-006
308.50,9.5273E-006
309.00,1.6221E-005
309.50,6.4136E-006
310.00,0.0000E+000
310.50,0.0000E+000
311.00,1.2265E-006
311.50,4.1802E-005
312.00,1.0899E-004
312.50,1.4530E-004
313.00,1.4390E-004
313.50,3.6510E-005
314.00,5.6137E-007
314.50,0.0000E+000
315.00,5.6832E-006
315.50,1.2400E-005
316.00,1.5271E-005
316.50,1.8358E-005
317.00,1.7827E-006
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,2.1746E-007
319.50,4.9385E-006
320.00,1.3785E-005
320.50,2.0711E-005
321.00,1.7727E-005
321.50,3.2512E-006
322.00,1.9426E-008
322.50,0.0000E+000
323.00,0.0000E+000
323.50,3.2515E-006
324.00,2.0695E-005
324.50,3.4215E-005
325.00,4.8030E-005
325.50,3.9146E-005
326.00,3.1370E-005
326.50,2.0674E-005
327.00,1.8247E-005
327.50,2.6453E-005
328.00,3.1814E-005
328.50,2.8759E-005
329.00,1.9830E-005
329.50,1.6212E-005
330.00,1.1917E-005
330.50,2.7567E-005
331.00,3.3304E-005
331.50,3.7378E-005
332.00,5.3770E-005
332.50,6.2289E-005
333.00,7.8665E-005
333.50,6.5070E-005
334.00,3.2849E-005
334.50,3.7941E-006
335.00,0.0000E+000
335.50,0.0000E+000
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,1.0050E-005
338.00,3.2165E-005
338.50,4.3846E-005
339.00,5.3809E-005
339.50,4.7218E-005
340.00,3.6999E-005
340.50,2.2964E-005
341.00,6.0042E-006
341.50,0.0000E+000
342.00,0.0000E+000
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,2.8914E-005
346.00,4.1037E-005
346.50,3.0111E-005
347.00,1.8933E-005
347.50,4.7081E-006
348.00,6.6991E-006
348.50,1.5614E-005
349.00,1.2363E-005
349.50,7.1375E-006
350.00,1.2247E-005
350.50,9.6851E-006
351.00,0.0000E+000
351.50,0.0000E+000
352.00,0.0000E+000
352.50,0.0000E+000
353.00,0.0000E+000
353.50,0.0000E+000
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,9.0998E-007
357.50,1.4338E-005
358.00,3.4602E-005
