Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,4.1988E-006
300.50,6.3558E-006
301.00,5.2114E-006
301.50,1.9483E-005
302.00,3.2645E-005
302.50,6.7489E-005
303.00,6.7671E-005
303.50,6.7552E-005
304.00,6.9921E-005
304.50,6.9541E-005
305.00,8.4828E-005
305.50,8.2605E-005
306.00,5.5647E-005
306.50,1.7014E-005
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,4.7996E-006
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,3.0618E-006
313.50,3.5553E-005
314.00,5.8679E-005
314.50,5.7810E-005
315.00,1.5183E-005
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,3.6879E-005
318.00,4.4536E-005
318.50,2.6356E-005
319.00,1.9867E-006
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,2.3764E-005
323.00,6.8755E-005
323.50,1.1087E-004
324.00,1.3013E-004
324.50,1.1463E-004
325.00,8.2314E-005
325.50,3.5353E-005
326.00,6.9186E-006
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,2.6080E-006
329.50,3.1777E-005
330.00,5.7390E-005
330.50,6.4474E-005
331.00,4.9662E-005
331.50,2.3046E-005
332.00,1.8363E-005
332.50,3.2381E-005
333.00,5.1399E-005
333.50,5.2019E-005
334.00,4.1725E-005
334.50,8.3279E-006
335.00,0.0000E+000
335.50,0.0000E+000
336.00,1.4009E-008
336.50,2.3085E-005
337.00,6.9970E-005
337.50,8.5914E-005
338.00,7.6040E-005
338.50,5.3092E-005
339.00,1.1562E-005
339.50,1.1353E-006
340.00,7.2489E-006
340.50,3.2348E-007
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,4.7006E-007
343.00,2.5532E-005
343.50,5.9180E-005
344.00,5.9022E-005
344.50,4.4268E-005
345.00,6.2581E-005
345.50,7.6508E-005
346.00,5.3218E-005
346.50,4.0343E-005
347.00,1.6794E-005
347.50,3.2757E-005
348.00,8.6959E-005
348.50,9.1759E-005
349.00,6.4435E-005
349.50,3.9719E-005
350.00,1.9335E-005
350.50,1.2735E-006
351.00,2.1997E-005
351.50,2.5035E-005
352.00,4.6233E-005
352.50,6.3090E-005
353.00,6.3521E-005
353.50,8.7432E-005
354.00,7.5613E-005
354.50,3.6951E-005
355.00,9.5051E-006
355.50,0.0000E+000
356.00,8.1055E-006
356.50,3.6960E-005
357.00,5.6998E-005
357.50,5.2778E-005
358.00,3.2544E-005
