Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,6.0747E-006
300.50,1.6959E-005
301.00,1.4925E-005
301.50,1.5124E-005
302.00,2.3432E-005
302.50,3.2109E-005
303.00,3.4357E-005
303.50,4.0536E-005
304.00,3.1614E-005
304.50,2.5327E-005
305.00,1.6212E-005
305.50,3.8365E-006
306.00,0.0000E+000
306.50,5.6962E-006
307.00,2.9458E-005
307.50,5.9008E-005
308.00,5.3588E-005
308.50,3.3115E-005
309.00,7.9018E-006
309.50,0.0000E+000
310.00,3.4146E-006
310.50,1.6698E-005
311.00,3.2338E-005
311.50,2.0132E-005
312.00,3.8384E-006
312.50,0.0000E+000
313.00,9.4102E-007
313.50,1.8015E-005
314.00,4.6628E-005
314.50,6.0862E-005
315.00,7.8242E-005
315.50,7.6353E-005
316.00,6.5779E-005
316.50,5.8028E-005
317.00,4.8822E-005
317.50,3.3673E-005
318.00,1.5202E-005
318.50,1.9010E-006
319.00,0.0000E+000
319.50,7.6678E-008
320.00,6.2153E-006
320.50,2.3052E-005
321.00,4.0180E-005
321.50,5.1174E-005
322.00,6.0913E-005
322.50,6.1831E-005
323.00,3.3970E-005
323.50,5.8044E-006
324.00,0.0000E+000
324.50,0.0000E+000
325.00,0.0000E+000
325.50,3.1864E-005
326.00,5.3370E-005
326.50,7.1343E-005
327.00,6.1044E-005
327.50,5.7831E-005
328.00,4.4128E-005
328.50,3.4926E-005
329.00,3.5202E-005
329.50,3.9453E-005
330.00,5.8012E-005
330.50,7.0126E-005
331.00,5.9681E-005
331.50,5.0746E-005
332.00,3.7902E-005
332.50,4.5094E-005
333.00,5.9649E-005
333.50,5.9865E-005
334.00,7.5689E-005
334.50,7.4189E-005
335.00,7.3210E-005
335.50,8.0729E-005
336.00,7.6404E-005
336.50,7.9225E-005
337.00,8.3477E-005
337.50,7.3259E-005
338.00,5.6503E-005
338.50,4.3443E-005
339.00,3.8858E-005
339.50,3.8622E-005
340.00,4.2161E-005
340.50,3.4682E-005
341.00,3.7660E-005
341.50,2.8392E-005
342.00,1.5686E-005
342.50,1.6755E-005
343.00,2.1843E-005
343.50,4.2276E-005
344.00,4.5184E-005
344.50,3.2580E-005
345.00,1.7488E-005
345.50,2.6432E-005
346.00,3.5732E-005
346.50,6.4113E-005
347.00,6.2068E-005
347.50,6.3734E-005
348.00,8.1909E-005
348.50,7.1230E-005
349.00,7.6359E-005
349.50,6.7224E-005
350.00,5.6383E-005
350.50,5.3742E-005
351.00,4.2942E-005
351.50,3.3043E-005
352.00,3.1832E-005
352.50,3.8680E-005
353.00,6.0613E-005
353.50,7.4735E-005
354.00,7.3900E-005
354.50,4.7134E-005
355.00,2.6640E-005
355.50,1.3901E-005
356.00,3.4222E-005
356.50,6.6011E-005
357.00,7.7663E-005
357.50,7.0065E-005
358.00,4.2035E-005
