Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,3.0749E-006
300.50,4.5372E-006
301.00,7.6486E-008
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,3.0480E-006
303.50,2.3439E-006
304.00,0.0000E+000
304.50,0.0000E+000
305.00,2.5299E-006
305.50,1.5974E-005
306.00,2.2669E-005
306.50,1.8924E-005
307.00,5.5197E-006
307.50,1.4329E-007
308.00,0.0000E+000
308.50,0.0000E+000
309.00,9.2433E-006
309.50,6.0731E-006
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,0.0000E+000
325.00,0.0000E+000
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,1.3997E-007
331.00,1.1458E-005
331.50,1.9773E-005
332.00,1.0455E-005
332.50,1.9364E-006
333.00,0.0000E+000
333.50,0.0000E+000
334.00,0.0000E+000
334.50,3.3600E-006
335.00,1.3682E-005
335.50,2.5687E-006
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,1.3397E-006
339.00,1.1892E-005
339.50,1.9526E-005
340.00,8.1246E-006
340.50,9.0279E-008
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,2.0938E-006
343.00,4.5505E-006
343.50,1.2458E-007
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,0.0000E+000
347.50,0.0000E+000
348.00,2.2339E-006
348.50,1.6632E-006
349.00,1.0022E-005
349.50,8.8768E-006
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,0.0000E+000
352.00,0.0000E+000
352.50,0.0000E+000
353.00,0.0000E+000
353.50,0.0000E+000
354.00,2.2510E-007
354.50,4.4705E-006
355.00,2.8616E-006
355.50,1.7689E-005
356.00,3.4849E-005
356.50,4.3168E-005
357.00,4.0906E-005
357.50,3.1058E-005
358.00,2.3298E-005
