"Lambda","Intensity"
273,0.00E+00
273.5,0.00E+00
274,0.00E+00
274.5,0.00E+00
275,0.00E+00
275.5,0.00E+00
276,0.00E+00
276.5,0.00E+00
277,0.00E+00
277.5,0.00E+00
278,0.00E+00
278.5,0.00E+00
279,0.00E+00
279.5,0.00E+00
280,0.00E+00
280.5,0.00E+00
281,0.00E+00
281.5,0.00E+00
282,0.00E+00
282.5,0.00E+00
283,0.00E+00
283.5,0.00E+00
284,0.00E+00
284.5,0.00E+00
285,0.00E+00
285.5,0.00E+00
286,0.00E+00
286.5,0.00E+00
287,0.00E+00
287.5,0.00E+00
288,0.00E+00
288.5,0.00E+00
289,0.00E+00
289.5,0.00E+00
290,0.00E+00
290.5,0.00E+00
291,0.00E+00
291.5,0.00E+00
292,0.00E+00
292.5,0.00E+00
293,0.00E+00
293.5,0.00E+00
294,0.00E+00
294.5,0.00E+00
295,0.00E+00
295.5,0.00E+00
296,0.00E+00
296.5,0.00E+00
297,0.00E+00
297.5,0.00E+00
298,0.00E+00
298.5,0.00E+00
299,0.00E+00
299.5,0.00E+00
300,3.91E-06
300.5,1.36E-05
301,1.57E-05
301.5,9.68E-06
302,5.92E-06
302.5,1.06E-06
303,4.03E-07
303.5,3.97E-06
304,1.31E-05
304.5,1.57E-05
305,7.13E-06
305.5,1.79E-06
306,0.00E+00
306.5,0.00E+00
307,0.00E+00
307.5,3.73E-06
308,3.80E-06
308.5,0.00E+00
309,0.00E+00
309.5,0.00E+00
310,0.00E+00
310.5,7.68E-07
311,1.22E-05
311.5,4.88E-06
312,0.00E+00
312.5,4.73E-06
313,2.03E-05
313.5,3.17E-05
314,3.04E-05
314.5,1.31E-05
315,0.00E+00
315.5,0.00E+00
316,0.00E+00
316.5,0.00E+00
317,0.00E+00
317.5,1.11E-06
318,6.68E-06
318.5,2.05E-06
319,0.00E+00
319.5,0.00E+00
320,0.00E+00
320.5,0.00E+00
321,0.00E+00
321.5,0.00E+00
322,0.00E+00
322.5,0.00E+00
323,0.00E+00
323.5,0.00E+00
324,2.92E-06
324.5,1.84E-05
325,3.26E-05
325.5,2.21E-05
326,5.23E-06
326.5,0.00E+00
327,0.00E+00
327.5,6.98E-06
328,2.61E-05
328.5,3.46E-05
329,2.97E-05
329.5,1.84E-05
330,5.50E-06
330.5,0.00E+00
331,0.00E+00
331.5,0.00E+00
332,0.00E+00
332.5,5.18E-07
333,7.26E-06
333.5,7.56E-06
334,3.44E-06
334.5,0.00E+00
335,2.76E-06
335.5,6.84E-06
336,7.03E-06
336.5,9.01E-06
337,3.60E-06
337.5,2.50E-08
338,1.62E-06
338.5,1.83E-06
339,0.00E+00
339.5,7.79E-06
340,1.18E-05
340.5,2.61E-05
341,3.60E-05
341.5,2.87E-05
342,2.42E-05
342.5,1.47E-05
343,7.11E-06
343.5,2.09E-05
344,2.58E-05
344.5,2.64E-05
345,1.27E-05
345.5,0.00E+00
346,0.00E+00
346.5,0.00E+00
347,0.00E+00
347.5,3.97E-06
348,8.73E-06
348.5,2.97E-06
349,6.80E-07
349.5,1.49E-08
350,0.00E+00
350.5,0.00E+00
351,0.00E+00
351.5,0.00E+00
352,0.00E+00
352.5,0.00E+00
353,0.00E+00
353.5,0.00E+00
354,0.00E+00
354.5,0.00E+00
355,0.00E+00
355.5,8.55E-06
356,1.08E-05
356.5,1.44E-05
357,1.26E-05
357.5,8.76E-06
358,9.78E-06
358.5,3.74E-05
359,4.04E-05
359.5,3.74E-05
360,3.44E-05
360.5,1.21E-05
361,1.16E-05
361.5,1.49E-05
362,1.61E-05
362.5,1.36E-05
363,3.82E-06
363.5,0.00E+00
364,0.00E+00
364.5,0.00E+00
365,0.00E+00
365.5,0.00E+00
366,0.00E+00
366.5,0.00E+00
367,6.71E-08
367.5,4.81E-06
368,2.13E-05
368.5,3.16E-05
369,1.99E-05
369.5,2.43E-06
370,0.00E+00
370.5,0.00E+00
371,5.06E-06
371.5,1.09E-05
372,1.42E-06
372.5,0.00E+00
373,2.16E-07
373.5,8.39E-06
374,2.61E-05
374.5,1.47E-05
375,1.82E-06
375.5,0.00E+00
376,3.16E-07
376.5,9.07E-06
377,1.07E-05
377.5,5.27E-06
