Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,1.2584E-007
302.50,4.8210E-006
303.00,1.3903E-005
303.50,2.4136E-005
304.00,2.0761E-005
304.50,1.5990E-005
305.00,1.4822E-005
305.50,4.7268E-006
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,1.4920E-006
309.00,4.7494E-006
309.50,8.6110E-006
310.00,5.9980E-006
310.50,1.1332E-006
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,0.0000E+000
318.00,0.0000E+000
318.50,6.0793E-006
319.00,8.7692E-006
319.50,1.3061E-005
320.00,7.0978E-006
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,6.3924E-006
323.50,6.9134E-006
324.00,0.0000E+000
324.50,0.0000E+000
325.00,0.0000E+000
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,1.9998E-007
327.50,2.8497E-006
328.00,7.2047E-006
328.50,1.0991E-006
329.00,9.4430E-007
329.50,0.0000E+000
330.00,8.4948E-007
330.50,1.2483E-005
331.00,1.7884E-005
331.50,1.4612E-005
332.00,9.6363E-006
332.50,1.1231E-006
333.00,0.0000E+000
333.50,0.0000E+000
334.00,5.0701E-007
334.50,9.3807E-006
335.00,3.0345E-006
335.50,0.0000E+000
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,0.0000E+000
338.00,8.2703E-007
338.50,0.0000E+000
339.00,0.0000E+000
339.50,0.0000E+000
340.00,2.3812E-007
340.50,1.3096E-008
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,2.5973E-006
344.50,8.0256E-007
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,9.2665E-006
347.00,2.5426E-005
347.50,2.4167E-005
348.00,1.9739E-005
348.50,1.2159E-005
349.00,1.0991E-005
349.50,7.1621E-007
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,0.0000E+000
352.00,0.0000E+000
352.50,0.0000E+000
353.00,2.7722E-006
353.50,5.9213E-006
354.00,2.4710E-006
354.50,9.6737E-006
355.00,6.5123E-006
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,1.9265E-008
357.50,1.0917E-007
358.00,1.6337E-006
