Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,3.9140E-006
300.50,1.3639E-005
301.00,1.5657E-005
301.50,9.6763E-006
302.00,5.9151E-006
302.50,1.0559E-006
303.00,4.0326E-007
303.50,3.9690E-006
304.00,1.3108E-005
304.50,1.5661E-005
305.00,7.1254E-006
305.50,1.7934E-006
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,3.7253E-006
308.00,3.8048E-006
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,7.6795E-007
311.00,1.2249E-005
311.50,4.8763E-006
312.00,0.0000E+000
312.50,4.7321E-006
313.00,2.0300E-005
313.50,3.1695E-005
314.00,3.0404E-005
314.50,1.3115E-005
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,1.1079E-006
318.00,6.6767E-006
318.50,2.0518E-006
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,2.9199E-006
324.50,1.8446E-005
325.00,3.2572E-005
325.50,2.2108E-005
326.00,5.2293E-006
326.50,0.0000E+000
327.00,0.0000E+000
327.50,6.9849E-006
328.00,2.6116E-005
328.50,3.4550E-005
329.00,2.9743E-005
329.50,1.8390E-005
330.00,5.4952E-006
330.50,0.0000E+000
331.00,0.0000E+000
331.50,0.0000E+000
332.00,0.0000E+000
332.50,5.1832E-007
333.00,7.2606E-006
333.50,7.5591E-006
334.00,3.4390E-006
334.50,0.0000E+000
335.00,2.7642E-006
335.50,6.8379E-006
336.00,7.0347E-006
336.50,9.0070E-006
337.00,3.5950E-006
337.50,2.5008E-008
338.00,1.6205E-006
338.50,1.8339E-006
339.00,0.0000E+000
339.50,7.7920E-006
340.00,1.1822E-005
340.50,2.6064E-005
341.00,3.6046E-005
341.50,2.8653E-005
342.00,2.4235E-005
342.50,1.4720E-005
343.00,7.1060E-006
343.50,2.0881E-005
344.00,2.5760E-005
344.50,2.6388E-005
345.00,1.2717E-005
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,0.0000E+000
347.50,3.9685E-006
348.00,8.7331E-006
348.50,2.9723E-006
349.00,6.7998E-007
349.50,1.4889E-008
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,0.0000E+000
352.00,0.0000E+000
352.50,0.0000E+000
353.00,0.0000E+000
353.50,0.0000E+000
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,8.5469E-006
356.00,1.0842E-005
356.50,1.4442E-005
357.00,1.2576E-005
357.50,8.7616E-006
358.00,9.7818E-006
