Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,4.8258E-006
300.50,1.5661E-005
301.00,1.7111E-005
301.50,9.2281E-006
302.00,3.3432E-006
302.50,0.0000E+000
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,9.1903E-006
308.50,1.0631E-005
309.00,6.9409E-006
309.50,1.2050E-005
310.00,3.9252E-006
310.50,3.7719E-006
311.00,4.5566E-006
311.50,8.4925E-005
312.00,1.5207E-004
312.50,1.8058E-004
313.00,1.7731E-004
313.50,8.3725E-005
314.00,3.9301E-005
314.50,2.3081E-005
315.00,1.2470E-005
315.50,6.2573E-006
316.00,7.4586E-006
316.50,1.7450E-005
317.00,1.9003E-005
317.50,3.7026E-005
318.00,4.4424E-005
318.50,5.5201E-005
319.00,5.8659E-005
319.50,5.8659E-005
320.00,4.6025E-005
320.50,3.3527E-005
321.00,1.3856E-005
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,1.8465E-006
323.50,4.2557E-006
324.00,1.5446E-005
324.50,2.8060E-005
325.00,4.4928E-005
325.50,4.4176E-005
326.00,2.6178E-005
326.50,1.7963E-005
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,1.9458E-006
332.00,4.2250E-007
332.50,5.2657E-006
333.00,1.0777E-005
333.50,8.9691E-006
334.00,1.7986E-005
334.50,9.0793E-006
335.00,6.1769E-006
335.50,3.1722E-006
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,1.7469E-006
339.00,2.4218E-005
339.50,3.1437E-005
340.00,8.5887E-006
340.50,4.2570E-008
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,0.0000E+000
343.00,0.0000E+000
343.50,1.2393E-005
344.00,1.9913E-005
344.50,2.7956E-005
345.00,2.0784E-005
345.50,5.8977E-006
346.00,6.9509E-006
346.50,1.3976E-005
347.00,1.8453E-005
347.50,1.1430E-005
348.00,1.4101E-007
348.50,0.0000E+000
349.00,0.0000E+000
349.50,0.0000E+000
350.00,1.1928E-005
350.50,3.4787E-005
351.00,5.1720E-005
351.50,5.3187E-005
352.00,4.9253E-005
352.50,4.3776E-005
353.00,3.3855E-005
353.50,1.4819E-005
354.00,1.0132E-006
354.50,0.0000E+000
355.00,0.0000E+000
355.50,3.3794E-007
356.00,2.8860E-006
356.50,0.0000E+000
357.00,0.0000E+000
357.50,0.0000E+000
358.00,0.0000E+000
