Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,1.8661E-006
300.50,9.5311E-006
301.00,1.5356E-005
301.50,1.6488E-005
302.00,1.9089E-005
302.50,1.3433E-005
303.00,5.2814E-006
303.50,6.0412E-007
304.00,0.0000E+000
304.50,0.0000E+000
305.00,4.7892E-006
305.50,1.2442E-005
306.00,1.3492E-005
306.50,1.3867E-005
307.00,3.7847E-006
307.50,2.3931E-007
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,4.1662E-006
310.00,7.2384E-006
310.50,1.0678E-005
311.00,3.7439E-006
311.50,1.8317E-005
312.00,1.6101E-005
312.50,6.9273E-006
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,6.4216E-006
316.50,2.8105E-005
317.00,3.0083E-005
317.50,1.3195E-005
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,1.0658E-005
322.50,4.7907E-005
323.00,4.8112E-005
323.50,3.4419E-005
324.00,2.2722E-005
324.50,1.2890E-005
325.00,1.1262E-005
325.50,5.3565E-006
326.00,0.0000E+000
326.50,0.0000E+000
327.00,2.3260E-006
327.50,1.5384E-005
328.00,1.0736E-005
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,9.8045E-006
330.50,1.6975E-005
331.00,2.9159E-006
331.50,2.9867E-007
332.00,8.3213E-006
332.50,2.0233E-005
333.00,3.5438E-005
333.50,4.1544E-005
334.00,3.9592E-005
334.50,4.1954E-005
335.00,4.2842E-005
335.50,4.9354E-005
336.00,4.6832E-005
336.50,3.4074E-005
337.00,7.7125E-006
337.50,8.4289E-009
338.00,2.7008E-006
338.50,2.3309E-005
339.00,4.3434E-005
339.50,3.8191E-005
340.00,4.0403E-005
340.50,4.2087E-005
341.00,4.5875E-005
341.50,4.0640E-005
342.00,1.6785E-005
342.50,1.1607E-005
343.00,1.4189E-005
343.50,1.4912E-005
344.00,1.3106E-005
344.50,1.5176E-006
345.00,0.0000E+000
345.50,5.3194E-006
346.00,1.1130E-005
346.50,1.1510E-005
347.00,4.7359E-006
347.50,0.0000E+000
348.00,0.0000E+000
348.50,0.0000E+000
349.00,0.0000E+000
349.50,0.0000E+000
350.00,4.3824E-006
350.50,1.3342E-005
351.00,1.6214E-005
351.50,0.0000E+000
352.00,0.0000E+000
352.50,0.0000E+000
353.00,0.0000E+000
353.50,1.0491E-005
354.00,3.0987E-005
354.50,5.9278E-005
355.00,6.6918E-005
355.50,7.7368E-005
356.00,8.4360E-005
356.50,7.9333E-005
357.00,7.3978E-005
357.50,5.7739E-005
358.00,2.5644E-005
