Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,6.3186E-008
302.00,2.7913E-007
302.50,7.9863E-008
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,2.9142E-009
305.00,2.0208E-007
305.50,1.3626E-007
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,1.2148E-006
309.50,1.2584E-006
310.00,1.2513E-006
310.50,2.3395E-006
311.00,1.9468E-006
311.50,2.5033E-005
312.00,3.6732E-005
312.50,3.8357E-005
313.00,3.4312E-005
313.50,1.0832E-005
314.00,2.2250E-007
314.50,0.0000E+000
315.00,0.0000E+000
315.50,2.4955E-006
316.00,4.7276E-006
316.50,8.2564E-006
317.00,1.1751E-005
317.50,1.2770E-005
318.00,1.1790E-005
318.50,7.1989E-006
319.00,2.0102E-006
319.50,6.3521E-007
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,2.4339E-007
324.50,0.0000E+000
325.00,1.0672E-006
325.50,2.0311E-006
326.00,1.5374E-006
326.50,2.1266E-006
327.00,1.3884E-006
327.50,3.4762E-007
328.00,2.4422E-006
328.50,4.6585E-006
329.00,7.1953E-006
329.50,6.9159E-006
330.00,7.1850E-006
330.50,6.6691E-006
331.00,6.7104E-006
331.50,7.1770E-006
332.00,4.0864E-006
332.50,3.5346E-006
333.00,3.4852E-006
333.50,3.6391E-006
334.00,5.1874E-006
334.50,5.3635E-006
335.00,2.8136E-006
335.50,1.8692E-006
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,0.0000E+000
339.00,0.0000E+000
339.50,0.0000E+000
340.00,0.0000E+000
340.50,0.0000E+000
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,2.0260E-006
344.50,3.7688E-006
345.00,5.3275E-006
345.50,2.0720E-006
346.00,0.0000E+000
346.50,0.0000E+000
347.00,7.5582E-007
347.50,3.7455E-006
348.00,3.6640E-006
348.50,1.6151E-006
349.00,2.3571E-007
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,4.3402E-006
351.50,8.4710E-006
352.00,5.9740E-006
352.50,3.6145E-006
353.00,1.7392E-006
353.50,2.5451E-008
354.00,2.7645E-006
354.50,5.9855E-006
355.00,8.4606E-006
355.50,1.1542E-005
356.00,1.0727E-005
356.50,1.0309E-005
357.00,9.9079E-006
357.50,6.8827E-006
358.00,6.1261E-006
