Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,6.5607E-006
300.50,2.1463E-005
301.00,2.6880E-005
301.50,3.5799E-005
302.00,4.0804E-005
302.50,1.9087E-005
303.00,7.1964E-006
303.50,1.7725E-006
304.00,0.0000E+000
304.50,1.0073E-005
305.00,1.5379E-005
305.50,1.6021E-005
306.00,5.2944E-007
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,1.3974E-005
308.50,2.7182E-005
309.00,4.1702E-005
309.50,5.2143E-005
310.00,5.1529E-005
310.50,6.0497E-005
311.00,7.5867E-005
311.50,9.2742E-005
312.00,1.0244E-004
312.50,1.0294E-004
313.00,8.3395E-005
313.50,4.7994E-005
314.00,2.9174E-005
314.50,1.1972E-005
315.00,1.2914E-005
315.50,2.7254E-005
316.00,4.2705E-005
316.50,5.2427E-005
317.00,3.6842E-005
317.50,1.9139E-005
318.00,3.6209E-006
318.50,0.0000E+000
319.00,1.2976E-006
319.50,1.6092E-005
320.00,3.2568E-005
320.50,6.2600E-005
321.00,7.0086E-005
321.50,7.2518E-005
322.00,6.5078E-005
322.50,3.5675E-005
323.00,8.3647E-006
323.50,6.0514E-007
324.00,9.1411E-006
324.50,1.7178E-005
325.00,2.8233E-005
325.50,2.4213E-005
326.00,3.4071E-005
326.50,4.4807E-005
327.00,4.4556E-005
327.50,4.7161E-005
328.00,4.9180E-005
328.50,4.4660E-005
329.00,5.7712E-005
329.50,6.2755E-005
330.00,5.8814E-005
330.50,5.7568E-005
331.00,5.3826E-005
331.50,5.5623E-005
332.00,7.8593E-005
332.50,1.2491E-004
333.00,1.7458E-004
333.50,1.9977E-004
334.00,2.0604E-004
334.50,2.0620E-004
335.00,2.0590E-004
335.50,2.0182E-004
336.00,1.8530E-004
336.50,1.4478E-004
337.00,1.2028E-004
337.50,1.0507E-004
338.00,1.0594E-004
338.50,1.1395E-004
339.00,9.7691E-005
339.50,7.4501E-005
340.00,5.2117E-005
340.50,5.1972E-005
341.00,8.5463E-005
341.50,1.3243E-004
342.00,1.5608E-004
342.50,1.6405E-004
343.00,1.5546E-004
343.50,1.3987E-004
344.00,1.3809E-004
344.50,1.2025E-004
345.00,1.0964E-004
345.50,1.2542E-004
346.00,1.3612E-004
346.50,1.5354E-004
347.00,1.5109E-004
347.50,1.4879E-004
348.00,1.5492E-004
348.50,1.5357E-004
349.00,1.4524E-004
349.50,1.2466E-004
350.00,1.0160E-004
350.50,1.0090E-004
351.00,1.2055E-004
351.50,1.4947E-004
352.00,1.9210E-004
352.50,2.3336E-004
353.00,2.5512E-004
353.50,2.6304E-004
354.00,2.6817E-004
354.50,3.1579E-004
355.00,4.0826E-004
355.50,5.3888E-004
356.00,6.9753E-004
356.50,8.2975E-004
357.00,8.7611E-004
357.50,8.4657E-004
358.00,7.5085E-004
