Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,1.0588E-006
300.50,1.6775E-006
301.00,5.6703E-007
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,1.9098E-006
303.50,2.9966E-006
304.00,2.4937E-006
304.50,6.9334E-006
305.00,6.3810E-006
305.50,3.9497E-006
306.00,6.0529E-007
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,8.7795E-007
312.50,6.5481E-006
313.00,8.9792E-006
313.50,6.1451E-006
314.00,2.3598E-006
314.50,5.5943E-007
315.00,3.2994E-006
315.50,2.1205E-006
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,4.8556E-007
318.00,5.2485E-006
318.50,9.5073E-006
319.00,1.0917E-005
319.50,4.9531E-006
320.00,1.3120E-006
320.50,0.0000E+000
321.00,0.0000E+000
321.50,2.0285E-006
322.00,5.2394E-006
322.50,8.7261E-006
323.00,6.5743E-006
323.50,3.5205E-007
324.00,1.3697E-006
324.50,8.1842E-006
325.00,1.6167E-005
325.50,2.1578E-005
326.00,2.1822E-005
326.50,1.8282E-005
327.00,1.2336E-005
327.50,4.8274E-006
328.00,1.6616E-007
328.50,0.0000E+000
329.00,0.0000E+000
329.50,4.0569E-006
330.00,1.3130E-005
330.50,2.0632E-005
331.00,2.7807E-005
331.50,3.1197E-005
332.00,2.4024E-005
332.50,1.4070E-005
333.00,1.3797E-007
333.50,0.0000E+000
334.00,0.0000E+000
334.50,9.4739E-009
335.00,9.1011E-007
335.50,3.7305E-006
336.00,3.3306E-006
336.50,8.1627E-007
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,0.0000E+000
339.00,0.0000E+000
339.50,0.0000E+000
340.00,0.0000E+000
340.50,0.0000E+000
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,4.9892E-006
343.00,1.1148E-005
343.50,1.1303E-005
344.00,1.1265E-005
344.50,8.7141E-006
345.00,4.0761E-006
345.50,2.6910E-006
346.00,0.0000E+000
346.50,0.0000E+000
347.00,4.0153E-007
347.50,4.0269E-006
348.00,1.0987E-005
348.50,1.9439E-005
349.00,1.6626E-005
349.50,1.4944E-005
350.00,9.1683E-006
350.50,8.8152E-006
351.00,1.1144E-005
351.50,9.2940E-006
352.00,6.0590E-006
352.50,9.9350E-007
353.00,0.0000E+000
353.50,0.0000E+000
354.00,2.6998E-006
354.50,7.5097E-006
355.00,9.1556E-006
355.50,1.2017E-005
356.00,1.1889E-005
356.50,1.1410E-005
357.00,6.7476E-006
357.50,1.5280E-006
358.00,0.0000E+000
