Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,7.2893E-007
300.50,4.2221E-006
301.00,4.8762E-006
301.50,9.4468E-006
302.00,9.6215E-006
302.50,9.3778E-007
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,8.5688E-006
308.50,4.1714E-006
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,2.3782E-006
311.50,6.5016E-005
312.00,1.6077E-004
312.50,2.0226E-004
313.00,1.8528E-004
313.50,7.0509E-005
314.00,6.1912E-006
314.50,1.2284E-006
315.00,5.4358E-006
315.50,8.9333E-006
316.00,9.3229E-006
316.50,1.2017E-005
317.00,2.3716E-006
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,1.8142E-006
319.50,1.8410E-005
320.00,2.5219E-005
320.50,1.8790E-005
321.00,3.7469E-006
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,8.7509E-006
323.50,2.6273E-005
324.00,3.6097E-005
324.50,4.3606E-005
325.00,5.3154E-005
325.50,4.9895E-005
326.00,3.7725E-005
326.50,2.9915E-005
327.00,1.2577E-005
327.50,2.4307E-006
328.00,1.4777E-005
328.50,1.0429E-005
329.00,8.6737E-007
329.50,1.9867E-007
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,6.5131E-009
332.00,8.1152E-006
332.50,4.0589E-005
333.00,7.8243E-005
333.50,8.5335E-005
334.00,8.7062E-005
334.50,8.8980E-005
335.00,7.8005E-005
335.50,6.7943E-005
336.00,6.0214E-005
336.50,5.3687E-005
337.00,6.0379E-005
337.50,5.9130E-005
338.00,4.8577E-005
338.50,3.6606E-005
339.00,2.9073E-005
339.50,3.4324E-005
340.00,4.7039E-005
340.50,4.9498E-005
341.00,5.0994E-005
341.50,6.4200E-005
342.00,6.7218E-005
342.50,7.0451E-005
343.00,7.6910E-005
343.50,7.0482E-005
344.00,6.4941E-005
344.50,6.8615E-005
345.00,6.5819E-005
345.50,7.1895E-005
346.00,7.6060E-005
346.50,9.9361E-005
347.00,1.0487E-004
347.50,1.0288E-004
348.00,9.7364E-005
348.50,7.8931E-005
349.00,7.1063E-005
349.50,7.8387E-005
350.00,8.0839E-005
350.50,1.0446E-004
351.00,1.3374E-004
351.50,1.5099E-004
352.00,1.6652E-004
352.50,1.5176E-004
353.00,1.3545E-004
353.50,1.1631E-004
354.00,9.2293E-005
354.50,8.8753E-005
355.00,9.9729E-005
355.50,1.1859E-004
356.00,1.3851E-004
356.50,1.4856E-004
357.00,1.3824E-004
357.50,1.3829E-004
358.00,1.4186E-004
