Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,1.9396E-006
303.50,1.1398E-005
304.00,4.5516E-006
304.50,3.9699E-007
305.00,3.8791E-006
305.50,5.5127E-006
306.00,6.7152E-006
306.50,3.6692E-006
307.00,1.3994E-007
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,5.7188E-007
311.50,2.8845E-006
312.00,1.1107E-005
312.50,1.3484E-005
313.00,2.2517E-005
313.50,2.4165E-005
314.00,3.0642E-006
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,1.5561E-006
316.50,1.2599E-005
317.00,1.3133E-005
317.50,7.9643E-006
318.00,2.3061E-006
318.50,0.0000E+000
319.00,0.0000E+000
319.50,9.9588E-007
320.00,9.0495E-006
320.50,1.2279E-005
321.00,2.7276E-007
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,0.0000E+000
325.00,0.0000E+000
325.50,3.8064E-007
326.00,4.3368E-006
326.50,1.0307E-006
327.00,2.8115E-006
327.50,3.1360E-006
328.00,5.8458E-007
328.50,8.7351E-006
329.00,2.9909E-006
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,0.0000E+000
332.00,0.0000E+000
332.50,0.0000E+000
333.00,0.0000E+000
333.50,0.0000E+000
334.00,0.0000E+000
334.50,0.0000E+000
335.00,0.0000E+000
335.50,0.0000E+000
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,0.0000E+000
339.00,0.0000E+000
339.50,0.0000E+000
340.00,0.0000E+000
340.50,0.0000E+000
341.00,0.0000E+000
341.50,6.7759E-006
342.00,1.1983E-005
342.50,9.5960E-006
343.00,2.8127E-006
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,0.0000E+000
347.50,0.0000E+000
348.00,9.0991E-007
348.50,7.0261E-006
349.00,2.0063E-006
349.50,0.0000E+000
350.00,0.0000E+000
350.50,3.8617E-006
351.00,1.5937E-005
351.50,8.5980E-006
352.00,0.0000E+000
352.50,0.0000E+000
353.00,0.0000E+000
353.50,0.0000E+000
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,8.7454E-006
357.00,3.8589E-006
357.50,0.0000E+000
358.00,0.0000E+000
