Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,8.6309E-006
300.50,3.0518E-005
301.00,5.4910E-005
301.50,9.0017E-005
302.00,1.0213E-004
302.50,7.1119E-005
303.00,1.6516E-005
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,6.4345E-006
307.00,8.0390E-006
307.50,3.5022E-008
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,2.2126E-005
310.50,1.0917E-004
311.00,2.0884E-004
311.50,3.6033E-004
312.00,5.2814E-004
312.50,6.2325E-004
313.00,6.0737E-004
313.50,4.1666E-004
314.00,2.2711E-004
314.50,9.1542E-005
315.00,9.0914E-006
315.50,1.1232E-005
316.00,5.6817E-005
316.50,9.6736E-005
317.00,9.8904E-005
317.50,7.0131E-005
318.00,3.0017E-005
318.50,3.0745E-005
319.00,8.2298E-005
319.50,1.3096E-004
320.00,1.7660E-004
320.50,2.0514E-004
321.00,2.2061E-004
321.50,2.6070E-004
322.00,2.5549E-004
322.50,2.1254E-004
323.00,1.4840E-004
323.50,6.3494E-005
324.00,2.0474E-005
324.50,2.0845E-005
325.00,4.8818E-005
325.50,8.3751E-005
326.00,9.0890E-005
326.50,7.5931E-005
327.00,6.7182E-005
327.50,7.7986E-005
328.00,8.8086E-005
328.50,1.0682E-004
329.00,1.2544E-004
329.50,1.2693E-004
330.00,1.1607E-004
330.50,7.0080E-005
331.00,2.8721E-005
331.50,3.3229E-005
332.00,6.4613E-005
332.50,1.0674E-004
333.00,1.4585E-004
333.50,1.7762E-004
334.00,1.9290E-004
334.50,1.6701E-004
335.00,1.1729E-004
335.50,1.0049E-004
336.00,1.0534E-004
336.50,1.3583E-004
337.00,1.8425E-004
337.50,2.1357E-004
338.00,2.1984E-004
338.50,2.0644E-004
339.00,1.9107E-004
339.50,1.8758E-004
340.00,2.0153E-004
340.50,2.2131E-004
341.00,2.3280E-004
341.50,2.2518E-004
342.00,1.9011E-004
342.50,1.5839E-004
343.00,1.3655E-004
343.50,1.3447E-004
344.00,1.7883E-004
344.50,2.0032E-004
345.00,2.1571E-004
345.50,1.9945E-004
346.00,1.8620E-004
346.50,2.0001E-004
347.00,2.1904E-004
347.50,2.5401E-004
348.00,2.7194E-004
348.50,2.5185E-004
349.00,2.5174E-004
349.50,2.5536E-004
350.00,2.7682E-004
350.50,2.7291E-004
351.00,2.2832E-004
351.50,2.0339E-004
352.00,1.8657E-004
352.50,2.0368E-004
353.00,2.3581E-004
353.50,2.4353E-004
354.00,2.7031E-004
354.50,2.9444E-004
355.00,3.1310E-004
355.50,2.8586E-004
356.00,2.4224E-004
356.50,2.3701E-004
357.00,2.1918E-004
357.50,2.1589E-004
358.00,2.2161E-004
