Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,1.0060E-005
300.50,2.9797E-005
301.00,4.5568E-005
301.50,5.3219E-005
302.00,3.3046E-005
302.50,3.3539E-005
303.00,2.3228E-005
303.50,1.9061E-005
304.00,2.2592E-005
304.50,4.2480E-005
305.00,4.9151E-005
305.50,6.1474E-005
306.00,7.2497E-005
306.50,7.8648E-005
307.00,1.0469E-004
307.50,1.3028E-004
308.00,1.5946E-004
308.50,1.4887E-004
309.00,1.4492E-004
309.50,1.5448E-004
310.00,1.5592E-004
310.50,1.8702E-004
311.00,1.6866E-004
311.50,1.3456E-004
312.00,1.0812E-004
312.50,7.2372E-005
313.00,9.3775E-005
313.50,7.9317E-005
314.00,7.5352E-005
314.50,5.6876E-005
315.00,5.3451E-005
315.50,6.3783E-005
316.00,6.8578E-005
316.50,6.6741E-005
317.00,6.1852E-005
317.50,4.0002E-005
318.00,4.5563E-005
318.50,4.5013E-005
319.00,4.2966E-005
319.50,8.5476E-005
320.00,1.4675E-004
320.50,1.9823E-004
321.00,2.4204E-004
321.50,2.5734E-004
322.00,2.1378E-004
322.50,2.0563E-004
323.00,1.8504E-004
323.50,1.3846E-004
324.00,1.1949E-004
324.50,1.1407E-004
325.00,1.0540E-004
325.50,1.1698E-004
326.00,9.5490E-005
326.50,9.3548E-005
327.00,1.0052E-004
327.50,1.1152E-004
328.00,1.2605E-004
328.50,9.5383E-005
329.00,8.5253E-005
329.50,8.6948E-005
330.00,8.6142E-005
330.50,1.3515E-004
331.00,1.7075E-004
331.50,2.0262E-004
332.00,2.1162E-004
332.50,1.8006E-004
333.00,1.4003E-004
333.50,1.3272E-004
334.00,1.4476E-004
334.50,1.8938E-004
335.00,1.8977E-004
335.50,1.7261E-004
336.00,1.5870E-004
336.50,1.3898E-004
337.00,1.4088E-004
337.50,1.7247E-004
338.00,2.3008E-004
338.50,2.7865E-004
339.00,2.9343E-004
339.50,2.4677E-004
340.00,1.9792E-004
340.50,1.7357E-004
341.00,1.9728E-004
341.50,2.3839E-004
342.00,2.4772E-004
342.50,2.7076E-004
343.00,2.7437E-004
343.50,2.7040E-004
344.00,2.9094E-004
344.50,2.9504E-004
345.00,3.1646E-004
345.50,3.2523E-004
346.00,3.3350E-004
346.50,3.4619E-004
347.00,3.5060E-004
347.50,3.7287E-004
348.00,3.6717E-004
348.50,3.7718E-004
349.00,3.7574E-004
349.50,3.8299E-004
350.00,4.2644E-004
350.50,4.4680E-004
351.00,4.8798E-004
351.50,5.0067E-004
352.00,4.8131E-004
352.50,4.6770E-004
353.00,4.2181E-004
353.50,4.0240E-004
354.00,4.2322E-004
354.50,4.3871E-004
355.00,4.7705E-004
355.50,5.0853E-004
356.00,5.4857E-004
356.50,5.9322E-004
357.00,5.9550E-004
357.50,5.7036E-004
358.00,5.1479E-004
