Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,2.3591E-006
300.50,9.3909E-006
301.00,1.2849E-005
301.50,3.1421E-006
302.00,0.0000E+000
302.50,0.0000E+000
303.00,7.5915E-006
303.50,1.1956E-005
304.00,1.0370E-005
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,6.6988E-006
313.00,3.2472E-005
313.50,4.8248E-005
314.00,5.9098E-005
314.50,3.6144E-005
315.00,1.5383E-005
315.50,1.1280E-005
316.00,1.6239E-006
316.50,4.8257E-006
317.00,3.4106E-006
317.50,2.4938E-006
318.00,4.5763E-006
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,6.1173E-006
321.00,1.7278E-006
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,0.0000E+000
325.00,0.0000E+000
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,1.4554E-005
328.50,2.9778E-005
329.00,3.4058E-005
329.50,2.5099E-005
330.00,5.9515E-006
330.50,3.5697E-006
331.00,5.0444E-006
331.50,1.6747E-005
332.00,2.8939E-005
332.50,3.1661E-005
333.00,3.8933E-005
333.50,1.9984E-005
334.00,2.8805E-006
334.50,0.0000E+000
335.00,0.0000E+000
335.50,0.0000E+000
336.00,9.4817E-006
336.50,3.0983E-006
337.00,0.0000E+000
337.50,0.0000E+000
338.00,6.3591E-006
338.50,2.6700E-005
339.00,2.2823E-005
339.50,1.0832E-005
340.00,9.6577E-006
340.50,9.1213E-006
341.00,2.3753E-005
341.50,2.6787E-005
342.00,1.8663E-005
342.50,1.8287E-005
343.00,9.7457E-006
343.50,3.2700E-007
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,7.5812E-006
346.00,9.6466E-006
346.50,3.6767E-006
347.00,0.0000E+000
347.50,0.0000E+000
348.00,0.0000E+000
348.50,6.3311E-007
349.00,1.4458E-005
349.50,2.9459E-005
350.00,2.3282E-005
350.50,1.7509E-005
351.00,1.5858E-005
351.50,1.7370E-005
352.00,2.3166E-005
352.50,2.6415E-005
353.00,2.6897E-005
353.50,3.5001E-005
354.00,3.3982E-005
354.50,3.0787E-005
355.00,1.7149E-005
355.50,5.9624E-006
356.00,1.6462E-005
356.50,3.4352E-005
357.00,4.6497E-005
357.50,3.1165E-005
358.00,1.4695E-005
