Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,5.4343E-007
303.50,4.8113E-006
304.00,2.4178E-005
304.50,3.5360E-005
305.00,4.1198E-005
305.50,4.7950E-005
306.00,3.6249E-005
306.50,2.4961E-005
307.00,1.6949E-005
307.50,7.2800E-006
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,3.7428E-006
311.00,2.5178E-005
311.50,3.7670E-005
312.00,4.2103E-005
312.50,3.9667E-005
313.00,2.0764E-005
313.50,5.2516E-006
314.00,1.4733E-005
314.50,3.8379E-005
315.00,5.8066E-005
315.50,6.2719E-005
316.00,4.0003E-005
316.50,1.1054E-005
317.00,6.7323E-007
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,4.1280E-006
323.50,1.0383E-005
324.00,0.0000E+000
324.50,1.5756E-006
325.00,9.8755E-006
325.50,1.1583E-005
326.00,1.4409E-005
326.50,1.4066E-005
327.00,1.2311E-005
327.50,9.2839E-006
328.00,1.1246E-005
328.50,1.4307E-005
329.00,2.3311E-005
329.50,4.1123E-005
330.00,3.0508E-005
330.50,6.3912E-006
331.00,0.0000E+000
331.50,0.0000E+000
332.00,4.7345E-006
332.50,1.4383E-005
333.00,2.5111E-005
333.50,9.9857E-006
334.00,1.5315E-006
334.50,0.0000E+000
335.00,0.0000E+000
335.50,7.4306E-006
336.00,3.2852E-005
336.50,3.9884E-005
337.00,3.7913E-005
337.50,2.6842E-005
338.00,4.4799E-006
338.50,7.6971E-006
339.00,1.0040E-005
339.50,1.0022E-005
340.00,1.8055E-005
340.50,6.4979E-007
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,2.1387E-006
343.00,7.5644E-006
343.50,6.6771E-006
344.00,2.4302E-005
344.50,3.3925E-005
345.00,2.7213E-005
345.50,3.3114E-005
346.00,2.0698E-005
346.50,4.8407E-007
347.00,1.4762E-006
347.50,0.0000E+000
348.00,0.0000E+000
348.50,0.0000E+000
349.00,0.0000E+000
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,0.0000E+000
352.00,0.0000E+000
352.50,0.0000E+000
353.00,9.4732E-008
353.50,7.8327E-008
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,0.0000E+000
357.50,0.0000E+000
358.00,0.0000E+000
