Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,1.5084E-006
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,3.2182E-007
317.00,6.8733E-006
317.50,3.8895E-006
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,7.3032E-006
322.00,2.4809E-006
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,0.0000E+000
325.00,1.1737E-005
325.50,4.6871E-006
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,0.0000E+000
331.50,3.5135E-007
332.00,8.2998E-006
332.50,2.5262E-005
333.00,4.0509E-005
333.50,2.9256E-005
334.00,2.3476E-005
334.50,2.6988E-005
335.00,2.9516E-005
335.50,3.9982E-005
336.00,3.5417E-005
336.50,2.1496E-005
337.00,2.1653E-005
337.50,1.5177E-005
338.00,1.7599E-005
338.50,1.8703E-005
339.00,1.2461E-005
339.50,1.8111E-005
340.00,2.9202E-005
340.50,3.8597E-005
341.00,5.1501E-005
341.50,4.9155E-005
342.00,4.8204E-005
342.50,3.1831E-005
343.00,2.7685E-005
343.50,3.5224E-005
344.00,3.1903E-005
344.50,3.9523E-005
345.00,1.7215E-005
345.50,1.2365E-005
346.00,2.2552E-005
346.50,3.3287E-005
347.00,4.4536E-005
347.50,3.7523E-005
348.00,3.1858E-005
348.50,2.6597E-005
349.00,2.5020E-005
349.50,2.4039E-005
350.00,1.0783E-005
350.50,1.5890E-005
351.00,2.8878E-005
351.50,4.2375E-005
352.00,5.5094E-005
352.50,5.7660E-005
353.00,6.9424E-005
353.50,8.0473E-005
354.00,1.1169E-004
354.50,1.4689E-004
355.00,1.7429E-004
355.50,2.2873E-004
356.00,2.7840E-004
356.50,3.2650E-004
357.00,3.4622E-004
357.50,3.1813E-004
358.00,2.7416E-004
