Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,2.7118E-006
300.50,2.4393E-005
301.00,5.4781E-005
301.50,5.4595E-005
302.00,5.0930E-005
302.50,2.6179E-005
303.00,5.8586E-006
303.50,6.4469E-007
304.00,6.6076E-006
304.50,1.5391E-005
305.00,9.0426E-006
305.50,6.8997E-006
306.00,7.2768E-006
306.50,3.0167E-006
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,3.0568E-005
309.50,5.6165E-005
310.00,8.4266E-005
310.50,9.1748E-005
311.00,1.2456E-004
311.50,6.3904E-004
312.00,9.9107E-004
312.50,1.1103E-003
313.00,9.9935E-004
313.50,3.7601E-004
314.00,8.6180E-005
314.50,2.0156E-005
315.00,3.5275E-006
315.50,0.0000E+000
316.00,2.0418E-005
316.50,6.7951E-005
317.00,8.1967E-005
317.50,5.5529E-005
318.00,1.5985E-005
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,1.3339E-005
323.00,4.0383E-005
323.50,5.9494E-005
324.00,4.4886E-005
324.50,4.0631E-005
325.00,2.5567E-005
325.50,9.3585E-006
326.00,1.6799E-005
326.50,1.5306E-005
327.00,3.7773E-005
327.50,3.9626E-005
328.00,2.5066E-005
328.50,4.1124E-005
329.00,4.4641E-005
329.50,7.7183E-005
330.00,8.3662E-005
330.50,5.9814E-005
331.00,3.7223E-005
331.50,1.4715E-006
332.00,5.7651E-006
332.50,2.1061E-006
333.00,0.0000E+000
333.50,0.0000E+000
334.00,0.0000E+000
334.50,6.0506E-007
335.00,3.6859E-005
335.50,4.3078E-005
336.00,3.5576E-005
336.50,1.2442E-005
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,0.0000E+000
339.00,0.0000E+000
339.50,0.0000E+000
340.00,3.6118E-006
340.50,1.4672E-005
341.00,4.0911E-005
341.50,4.8580E-005
342.00,4.4217E-005
342.50,3.8661E-005
343.00,6.9316E-006
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,1.3395E-005
346.00,1.8875E-005
346.50,4.8282E-005
347.00,4.9931E-005
347.50,2.8973E-005
348.00,1.2373E-005
348.50,1.9601E-005
349.00,7.0454E-006
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,0.0000E+000
352.00,1.7462E-006
352.50,1.1156E-005
353.00,3.8059E-005
353.50,4.8332E-005
354.00,5.6836E-005
354.50,2.9666E-005
355.00,1.5124E-005
355.50,8.1984E-006
356.00,0.0000E+000
356.50,0.0000E+000
357.00,0.0000E+000
357.50,0.0000E+000
358.00,0.0000E+000
