Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,7.2020E-006
308.00,2.7821E-005
308.50,2.4798E-005
309.00,4.3622E-006
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,3.0756E-006
324.00,5.1984E-006
324.50,4.1939E-006
325.00,5.1048E-007
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,0.0000E+000
330.50,1.6193E-005
331.00,7.0332E-005
331.50,1.4143E-004
332.00,2.5041E-004
332.50,3.7131E-004
333.00,5.0321E-004
333.50,6.0259E-004
334.00,6.4624E-004
334.50,6.6826E-004
335.00,6.5800E-004
335.50,6.2722E-004
336.00,5.5558E-004
336.50,4.5521E-004
337.00,3.6439E-004
337.50,2.8745E-004
338.00,2.3688E-004
338.50,1.8158E-004
339.00,1.3832E-004
339.50,8.5843E-005
340.00,4.7629E-005
340.50,1.6720E-005
341.00,0.0000E+000
341.50,1.7774E-006
342.00,1.1328E-007
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,0.0000E+000
347.50,0.0000E+000
348.00,0.0000E+000
348.50,0.0000E+000
349.00,0.0000E+000
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,0.0000E+000
352.00,0.0000E+000
352.50,7.4437E-008
353.00,5.3212E-006
353.50,1.0124E-005
354.00,1.7159E-005
354.50,6.5820E-006
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,0.0000E+000
357.50,0.0000E+000
358.00,0.0000E+000
