Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,4.8014E-006
300.50,1.5152E-005
301.00,2.1686E-005
301.50,2.8895E-005
302.00,3.9206E-005
302.50,4.8947E-005
303.00,4.7089E-005
303.50,5.7463E-005
304.00,6.2663E-005
304.50,6.2833E-005
305.00,5.9327E-005
305.50,5.5082E-005
306.00,4.7673E-005
306.50,5.0041E-005
307.00,6.2607E-005
307.50,7.2975E-005
308.00,7.7238E-005
308.50,7.1364E-005
309.00,6.3064E-005
309.50,5.0230E-005
310.00,4.2654E-005
310.50,3.7350E-005
311.00,7.8343E-005
311.50,7.5983E-004
312.00,1.2623E-003
312.50,1.4632E-003
313.00,1.3492E-003
313.50,5.3859E-004
314.00,1.5317E-004
314.50,6.9454E-005
315.00,4.9833E-005
315.50,4.3336E-005
316.00,5.0432E-005
316.50,5.4009E-005
317.00,6.0974E-005
317.50,6.2519E-005
318.00,6.0945E-005
318.50,7.1116E-005
319.00,7.1616E-005
319.50,7.5437E-005
320.00,7.5595E-005
320.50,7.7553E-005
321.00,8.4662E-005
321.50,8.7734E-005
322.00,1.0416E-004
322.50,1.3008E-004
323.00,1.4413E-004
323.50,1.4325E-004
324.00,1.2839E-004
324.50,9.9573E-005
325.00,8.5454E-005
325.50,8.3023E-005
326.00,7.2877E-005
326.50,6.0308E-005
327.00,4.5800E-005
327.50,3.3536E-005
328.00,3.3189E-005
328.50,4.9571E-005
329.00,7.0989E-005
329.50,8.7625E-005
330.00,9.7816E-005
330.50,9.2801E-005
331.00,8.1967E-005
331.50,7.6051E-005
332.00,8.0699E-005
332.50,8.1923E-005
333.00,8.0694E-005
333.50,7.9669E-005
334.00,5.8967E-005
334.50,4.6245E-005
335.00,3.7959E-005
335.50,3.0704E-005
336.00,4.0996E-005
336.50,5.0059E-005
337.00,4.6094E-005
337.50,3.6920E-005
338.00,3.7032E-005
338.50,3.9419E-005
339.00,5.4016E-005
339.50,5.6107E-005
340.00,5.8908E-005
340.50,6.6239E-005
341.00,7.2036E-005
341.50,8.1546E-005
342.00,8.1553E-005
342.50,6.3619E-005
343.00,5.1293E-005
343.50,4.2312E-005
344.00,4.0725E-005
344.50,5.2321E-005
345.00,5.9076E-005
345.50,6.3769E-005
346.00,7.2906E-005
346.50,8.0010E-005
347.00,7.6673E-005
347.50,6.8414E-005
348.00,6.1578E-005
348.50,5.4242E-005
349.00,5.1334E-005
349.50,4.2393E-005
350.00,2.5537E-005
350.50,1.1124E-005
351.00,1.0099E-005
351.50,2.6107E-005
352.00,3.9790E-005
352.50,6.1965E-005
353.00,6.1334E-005
353.50,5.7724E-005
354.00,5.1862E-005
354.50,4.9869E-005
355.00,6.3368E-005
355.50,7.2727E-005
356.00,8.1383E-005
356.50,7.4024E-005
357.00,6.5746E-005
357.50,5.6560E-005
358.00,4.8351E-005
