Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,5.6727E-006
300.50,1.5107E-005
301.00,1.3869E-005
301.50,8.8046E-006
302.00,1.3186E-005
302.50,1.8730E-005
303.00,2.5461E-005
303.50,6.3725E-006
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,5.8548E-006
306.00,2.4569E-005
306.50,2.8310E-005
307.00,2.6504E-005
307.50,2.8731E-005
308.00,2.6885E-005
308.50,2.0649E-005
309.00,1.4970E-005
309.50,4.2456E-006
310.00,0.0000E+000
310.50,8.9601E-006
311.00,2.3890E-005
311.50,3.2577E-005
312.00,4.3465E-005
312.50,5.9552E-005
313.00,7.0969E-005
313.50,7.5623E-005
314.00,6.6309E-005
314.50,4.2348E-005
315.00,3.2364E-005
315.50,3.0106E-005
316.00,3.2620E-005
316.50,4.8468E-005
317.00,6.5483E-005
317.50,6.8582E-005
318.00,4.9904E-005
318.50,1.9733E-005
319.00,2.6049E-006
319.50,4.3040E-006
320.00,2.2808E-005
320.50,4.8981E-005
321.00,3.6309E-005
321.50,2.6652E-005
322.00,2.0805E-005
322.50,2.5453E-005
323.00,3.9216E-005
323.50,5.3513E-005
324.00,6.0994E-005
324.50,5.9044E-005
325.00,4.6273E-005
325.50,1.8319E-005
326.00,2.8525E-006
326.50,0.0000E+000
327.00,1.8907E-006
327.50,1.4034E-005
328.00,1.3123E-005
328.50,2.3491E-005
329.00,3.1618E-005
329.50,3.8854E-005
330.00,5.5619E-005
330.50,4.5395E-005
331.00,2.2120E-005
331.50,0.0000E+000
332.00,3.6720E-006
332.50,1.8018E-005
333.00,3.4975E-005
333.50,5.5199E-005
334.00,4.3227E-005
334.50,3.8492E-005
335.00,4.0980E-005
335.50,3.5598E-005
336.00,3.7067E-005
336.50,4.3138E-005
337.00,5.1941E-005
337.50,5.5471E-005
338.00,6.8404E-005
338.50,6.2527E-005
339.00,4.9725E-005
339.50,4.0302E-005
340.00,2.2942E-005
340.50,2.8432E-005
341.00,3.5133E-005
341.50,5.0665E-005
342.00,6.3647E-005
342.50,6.1250E-005
343.00,6.0522E-005
343.50,6.7752E-005
344.00,6.6843E-005
344.50,6.9763E-005
345.00,6.8197E-005
345.50,6.1809E-005
346.00,5.9806E-005
346.50,6.5039E-005
347.00,6.1573E-005
347.50,5.4243E-005
348.00,3.8844E-005
348.50,1.3593E-005
349.00,1.7037E-005
349.50,2.8138E-005
350.00,4.5135E-005
350.50,6.9699E-005
351.00,6.8321E-005
351.50,5.8847E-005
352.00,5.2846E-005
352.50,5.3572E-005
353.00,6.2976E-005
353.50,6.4853E-005
354.00,4.6712E-005
354.50,2.1891E-005
355.00,3.4176E-006
355.50,4.7866E-006
356.00,1.3616E-005
356.50,2.3057E-005
357.00,3.1734E-005
357.50,3.8420E-005
358.00,5.3624E-005
