Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,1.3261E-005
302.00,4.3060E-005
302.50,5.4002E-005
303.00,3.5191E-005
303.50,2.0563E-005
304.00,7.5169E-006
304.50,0.0000E+000
305.00,0.0000E+000
305.50,8.8253E-006
306.00,5.6331E-005
306.50,8.3592E-005
307.00,9.4930E-005
307.50,7.7783E-005
308.00,4.4982E-005
308.50,2.6479E-005
309.00,1.0564E-005
309.50,8.7896E-006
310.00,8.7502E-006
310.50,7.5937E-006
311.00,1.3716E-005
311.50,3.3806E-005
312.00,7.4799E-005
312.50,1.1574E-004
313.00,1.1141E-004
313.50,9.4559E-005
314.00,9.5404E-005
314.50,1.0535E-004
315.00,1.0784E-004
315.50,9.5564E-005
316.00,4.8050E-005
316.50,4.1331E-005
317.00,4.6163E-005
317.50,5.7556E-005
318.00,8.3246E-005
318.50,9.8055E-005
319.00,1.0906E-004
319.50,1.0611E-004
320.00,7.6625E-005
320.50,6.2421E-005
321.00,5.7846E-005
321.50,6.3370E-005
322.00,7.9852E-005
322.50,8.4731E-005
323.00,8.9866E-005
323.50,8.8692E-005
324.00,9.5521E-005
324.50,7.1080E-005
325.00,1.4655E-005
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,7.6200E-006
330.50,0.0000E+000
331.00,0.0000E+000
331.50,0.0000E+000
332.00,0.0000E+000
332.50,0.0000E+000
333.00,1.1150E-005
333.50,5.2089E-005
334.00,1.1359E-004
334.50,1.4077E-004
335.00,1.0950E-004
335.50,6.1893E-005
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,2.2486E-005
338.00,4.2692E-005
338.50,7.4169E-005
339.00,1.0264E-004
339.50,9.8454E-005
340.00,8.8031E-005
340.50,5.4570E-005
341.00,3.9116E-005
341.50,2.5914E-005
342.00,1.8472E-005
342.50,1.9265E-005
343.00,1.1210E-005
343.50,2.1706E-005
344.00,5.7497E-005
344.50,9.6688E-005
345.00,8.4665E-005
345.50,4.1053E-005
346.00,2.9662E-006
346.50,0.0000E+000
347.00,5.0463E-006
347.50,3.3998E-005
348.00,3.4735E-005
348.50,8.8280E-006
349.00,4.3813E-006
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,7.5634E-006
352.00,3.9346E-005
352.50,3.8099E-005
353.00,3.4218E-005
353.50,3.7329E-005
354.00,9.6263E-006
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,1.0241E-005
357.50,3.2459E-005
358.00,5.6377E-005
