Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,2.3618E-006
300.50,1.0808E-005
301.00,1.6855E-005
301.50,3.0780E-005
302.00,4.3789E-005
302.50,5.4611E-005
303.00,5.5196E-005
303.50,4.9175E-005
304.00,3.7723E-005
304.50,3.3423E-005
305.00,3.4050E-005
305.50,2.4190E-005
306.00,2.3751E-005
306.50,2.8690E-005
307.00,2.0113E-005
307.50,8.5904E-006
308.00,3.3779E-006
308.50,0.0000E+000
309.00,1.1008E-006
309.50,1.4762E-005
310.00,1.9077E-005
310.50,1.2968E-005
311.00,2.0105E-006
311.50,2.0732E-006
312.00,7.2924E-006
312.50,1.6872E-005
313.00,3.4600E-005
313.50,3.4887E-005
314.00,3.5020E-005
314.50,4.9446E-005
315.00,5.2037E-005
315.50,4.9728E-005
316.00,4.0196E-005
316.50,1.8613E-005
317.00,2.0055E-006
317.50,0.0000E+000
318.00,0.0000E+000
318.50,5.2890E-006
319.00,1.1297E-005
319.50,1.7203E-005
320.00,1.8381E-005
320.50,2.9232E-005
321.00,3.6966E-005
321.50,2.6810E-005
322.00,2.4158E-005
322.50,1.4840E-005
323.00,3.9409E-006
323.50,0.0000E+000
324.00,0.0000E+000
324.50,1.8072E-006
325.00,1.3204E-005
325.50,1.5106E-005
326.00,2.4537E-006
326.50,0.0000E+000
327.00,6.0733E-006
327.50,1.8478E-005
328.00,4.2114E-005
328.50,5.3581E-005
329.00,6.0665E-005
329.50,6.2481E-005
330.00,5.7065E-005
330.50,5.8396E-005
331.00,4.8337E-005
331.50,3.9042E-005
332.00,3.0571E-005
332.50,3.0890E-005
333.00,2.2657E-005
333.50,2.6546E-005
334.00,2.6026E-005
334.50,2.6105E-005
335.00,3.9148E-005
335.50,3.4304E-005
336.00,2.5159E-005
336.50,2.2418E-005
337.00,1.7965E-005
337.50,2.0809E-005
338.00,1.9706E-005
338.50,2.5787E-005
339.00,3.1144E-005
339.50,3.8660E-005
340.00,4.5011E-005
340.50,2.8866E-005
341.00,2.8888E-005
341.50,3.3052E-005
342.00,4.6038E-005
342.50,5.5398E-005
343.00,5.3675E-005
343.50,5.0529E-005
344.00,3.5656E-005
344.50,2.7017E-005
345.00,1.3466E-005
345.50,8.9195E-006
346.00,1.1730E-005
346.50,1.2182E-005
347.00,2.3329E-005
347.50,2.5233E-005
348.00,1.2513E-005
348.50,1.4418E-006
349.00,0.0000E+000
349.50,6.2110E-006
350.00,1.3751E-005
350.50,2.9115E-005
351.00,2.5946E-005
351.50,2.8366E-005
352.00,2.5104E-005
352.50,2.0302E-005
353.00,1.4288E-005
353.50,1.5391E-005
354.00,2.5394E-005
354.50,2.3093E-005
355.00,2.1562E-005
355.50,8.3160E-006
356.00,1.8065E-005
356.50,2.5525E-005
357.00,2.9232E-005
357.50,3.3085E-005
358.00,3.3962E-005
