Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,7.5671E-007
305.00,1.2712E-005
305.50,1.8371E-005
306.00,9.6276E-006
306.50,2.9188E-006
307.00,9.1122E-006
307.50,3.7473E-006
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,0.0000E+000
316.00,0.0000E+000
316.50,0.0000E+000
317.00,0.0000E+000
317.50,0.0000E+000
318.00,1.0761E-006
318.50,1.0435E-005
319.00,2.2537E-005
319.50,4.4982E-005
320.00,5.7889E-005
320.50,3.8764E-005
321.00,1.2330E-005
321.50,6.9312E-008
322.00,0.0000E+000
322.50,2.3168E-006
323.00,1.4040E-005
323.50,1.7044E-005
324.00,2.3922E-005
324.50,1.7779E-005
325.00,1.6698E-006
325.50,0.0000E+000
326.00,0.0000E+000
326.50,0.0000E+000
327.00,0.0000E+000
327.50,0.0000E+000
328.00,0.0000E+000
328.50,1.7677E-005
329.00,4.0535E-005
329.50,3.7817E-005
330.00,2.3007E-005
330.50,4.7149E-006
331.00,0.0000E+000
331.50,0.0000E+000
332.00,0.0000E+000
332.50,0.0000E+000
333.00,0.0000E+000
333.50,0.0000E+000
334.00,0.0000E+000
334.50,1.8499E-005
335.00,5.2204E-005
335.50,6.6728E-005
336.00,5.5617E-005
336.50,3.0227E-005
337.00,7.2638E-006
337.50,0.0000E+000
338.00,0.0000E+000
338.50,9.7033E-007
339.00,9.8374E-006
339.50,0.0000E+000
340.00,2.8657E-007
340.50,1.5760E-008
341.00,1.6773E-006
341.50,2.1612E-006
342.00,3.5434E-009
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,2.3155E-006
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,0.0000E+000
347.50,5.4304E-006
348.00,1.1237E-005
348.50,1.9911E-005
349.00,2.5127E-005
349.50,1.7327E-005
350.00,1.9096E-005
350.50,1.7458E-005
351.00,2.6356E-005
351.50,3.6524E-005
352.00,3.2412E-005
352.50,2.3954E-005
353.00,1.5146E-005
353.50,2.4104E-006
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,0.0000E+000
357.50,4.0962E-008
358.00,1.9752E-008
