Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,0.0000E+000
302.50,0.0000E+000
303.00,1.9857E-006
303.50,1.5777E-005
304.00,2.3604E-005
304.50,1.6461E-005
305.00,6.2353E-006
305.50,1.4795E-007
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,0.0000E+000
310.50,0.0000E+000
311.00,0.0000E+000
311.50,0.0000E+000
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,0.0000E+000
315.00,0.0000E+000
315.50,8.3815E-006
316.00,1.2676E-005
316.50,1.4784E-005
317.00,6.4789E-006
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,0.0000E+000
320.50,0.0000E+000
321.00,0.0000E+000
321.50,0.0000E+000
322.00,0.0000E+000
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,2.3881E-006
325.00,5.6524E-006
325.50,2.8327E-006
326.00,0.0000E+000
326.50,0.0000E+000
327.00,6.9956E-006
327.50,1.7358E-005
328.00,1.9253E-005
328.50,8.4564E-006
329.00,2.1068E-006
329.50,0.0000E+000
330.00,0.0000E+000
330.50,0.0000E+000
331.00,2.9847E-006
331.50,1.2041E-005
332.00,1.8679E-005
332.50,1.1188E-005
333.00,3.3451E-006
333.50,5.7424E-006
334.00,1.8285E-005
334.50,2.6947E-005
335.00,9.8521E-006
335.50,0.0000E+000
336.00,0.0000E+000
336.50,0.0000E+000
337.00,5.6004E-006
337.50,1.7549E-005
338.00,1.9864E-005
338.50,2.1836E-005
339.00,1.2782E-005
339.50,3.3297E-006
340.00,7.6231E-006
340.50,1.6223E-005
341.00,2.2142E-005
341.50,2.5762E-005
342.00,1.4163E-005
342.50,1.1103E-005
343.00,3.9577E-006
343.50,2.8983E-008
344.00,1.6048E-006
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,0.0000E+000
346.50,0.0000E+000
347.00,1.5845E-006
347.50,4.3334E-006
348.00,2.8723E-006
348.50,8.7203E-006
349.00,1.1840E-006
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,7.0801E-010
351.50,1.1756E-006
352.00,7.7700E-007
352.50,0.0000E+000
353.00,0.0000E+000
353.50,0.0000E+000
354.00,0.0000E+000
354.50,0.0000E+000
355.00,0.0000E+000
355.50,0.0000E+000
356.00,0.0000E+000
356.50,0.0000E+000
357.00,6.8786E-007
357.50,7.1761E-006
358.00,3.2639E-006
