Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,0.0000E+000
302.00,8.5942E-007
302.50,1.8087E-007
303.00,0.0000E+000
303.50,0.0000E+000
304.00,0.0000E+000
304.50,0.0000E+000
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,2.2429E-006
310.00,1.5867E-005
310.50,1.3543E-005
311.00,8.5494E-006
311.50,3.4399E-006
312.00,0.0000E+000
312.50,0.0000E+000
313.00,0.0000E+000
313.50,0.0000E+000
314.00,0.0000E+000
314.50,5.3078E-006
315.00,1.7983E-005
315.50,8.9683E-006
316.00,1.7061E-006
316.50,4.0230E-008
317.00,0.0000E+000
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,2.1997E-006
319.50,2.3698E-005
320.00,4.2329E-005
320.50,4.6529E-005
321.00,3.1332E-005
321.50,1.0037E-005
322.00,1.5983E-007
322.50,0.0000E+000
323.00,0.0000E+000
323.50,0.0000E+000
324.00,0.0000E+000
324.50,7.2751E-006
325.00,1.6739E-005
325.50,1.8242E-005
326.00,1.1928E-005
326.50,9.5438E-006
327.00,1.9306E-005
327.50,2.9135E-005
328.00,2.7865E-005
328.50,1.4126E-005
329.00,2.7861E-006
329.50,2.3489E-006
330.00,1.1784E-005
330.50,2.2583E-005
331.00,4.1092E-005
331.50,5.0049E-005
332.00,4.6756E-005
332.50,3.5720E-005
333.00,1.5650E-005
333.50,1.7377E-005
334.00,2.2626E-005
334.50,3.4789E-005
335.00,3.0318E-005
335.50,2.6832E-005
336.00,2.5716E-005
336.50,1.9061E-005
337.00,2.4188E-005
337.50,1.6502E-005
338.00,6.0931E-006
338.50,7.1990E-006
339.00,1.8581E-005
339.50,2.0688E-005
340.00,2.4050E-005
340.50,1.0895E-005
341.00,0.0000E+000
341.50,5.0036E-008
342.00,3.1891E-009
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,0.0000E+000
345.50,0.0000E+000
346.00,3.6592E-006
346.50,2.4126E-005
347.00,3.0203E-005
347.50,1.7714E-005
348.00,1.9256E-006
348.50,0.0000E+000
349.00,0.0000E+000
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,6.6718E-009
351.50,4.4107E-006
352.00,3.2767E-006
352.50,0.0000E+000
353.00,0.0000E+000
353.50,0.0000E+000
354.00,3.8642E-007
354.50,1.4057E-005
355.00,2.8148E-005
355.50,2.4182E-005
356.00,1.1581E-005
356.50,3.4017E-006
357.00,1.1533E-005
357.50,1.1627E-005
358.00,1.5251E-005
