Lambda,Intensity
273,0.00E+00
273.5,0.00E+00
274,0.00E+00
274.5,0.00E+00
275,0.00E+00
275.5,0.00E+00
276,0.00E+00
276.5,0.00E+00
277,0.00E+00
277.5,0.00E+00
278,0.00E+00
278.5,0.00E+00
279,0.00E+00
279.5,0.00E+00
280,0.00E+00
280.5,0.00E+00
281,0.00E+00
281.5,0.00E+00
282,0.00E+00
282.5,0.00E+00
283,0.00E+00
283.5,0.00E+00
284,0.00E+00
284.5,0.00E+00
285,0.00E+00
285.5,0.00E+00
286,0.00E+00
286.5,0.00E+00
287,0.00E+00
287.5,0.00E+00
288,0.00E+00
288.5,0.00E+00
289,0.00E+00
289.5,0.00E+00
290,0.00E+00
290.5,0.00E+00
291,0.00E+00
291.5,0.00E+00
292,0.00E+00
292.5,0.00E+00
293,0.00E+00
293.5,0.00E+00
294,0.00E+00
294.5,0.00E+00
295,0.00E+00
295.5,0.00E+00
296,0.00E+00
296.5,0.00E+00
297,0.00E+00
297.5,0.00E+00
298,0.00E+00
298.5,0.00E+00
299,0.00E+00
299.5,0.00E+00
300,2.15E-06
300.5,5.54E-06
301,2.51E-06
301.5,0.00E+00
302,0.00E+00
302.5,0.00E+00
303,0.00E+00
303.5,0.00E+00
304,0.00E+00
304.5,0.00E+00
305,0.00E+00
305.5,0.00E+00
306,0.00E+00
306.5,0.00E+00
307,0.00E+00
307.5,0.00E+00
308,0.00E+00
308.5,0.00E+00
309,0.00E+00
309.5,0.00E+00
310,0.00E+00
310.5,0.00E+00
311,0.00E+00
311.5,0.00E+00
312,0.00E+00
312.5,0.00E+00
313,0.00E+00
313.5,0.00E+00
314,0.00E+00
314.5,0.00E+00
315,0.00E+00
315.5,1.10E-06
316,8.67E-06
316.5,1.37E-05
317,1.04E-05
317.5,5.69E-06
318,6.20E-06
318.5,9.47E-06
319,1.02E-05
319.5,1.25E-05
320,1.30E-05
320.5,9.02E-06
321,6.49E-06
321.5,1.76E-06
322,0.00E+00
322.5,0.00E+00
323,2.88E-06
323.5,5.48E-06
324,9.18E-06
324.5,4.98E-06
325,8.15E-08
325.5,0.00E+00
326,0.00E+00
326.5,0.00E+00
327,0.00E+00
327.5,0.00E+00
328,0.00E+00
328.5,0.00E+00
329,0.00E+00
329.5,1.11E-06
330,4.46E-06
330.5,0.00E+00
331,0.00E+00
331.5,0.00E+00
332,0.00E+00
332.5,0.00E+00
333,0.00E+00
333.5,8.35E-08
334,4.77E-06
334.5,1.12E-05
335,8.81E-06
335.5,3.03E-06
336,0.00E+00
336.5,0.00E+00
337,0.00E+00
337.5,0.00E+00
338,4.86E-06
338.5,7.54E-06
339,1.14E-05
339.5,9.67E-06
340,1.50E-06
340.5,0.00E+00
341,0.00E+00
341.5,0.00E+00
342,0.00E+00
342.5,0.00E+00
343,0.00E+00
343.5,0.00E+00
344,0.00E+00
344.5,0.00E+00
345,2.20E-06
345.5,8.06E-06
346,6.17E-06
346.5,1.11E-06
347,0.00E+00
347.5,0.00E+00
348,0.00E+00
348.5,0.00E+00
349,0.00E+00
349.5,0.00E+00
350,0.00E+00
350.5,0.00E+00
351,0.00E+00
351.5,0.00E+00
352,0.00E+00
352.5,1.21E-08
353,3.15E-06
353.5,1.24E-05
354,1.00E-05
354.5,2.74E-06
355,0.00E+00
355.5,0.00E+00
356,1.82E-06
356.5,7.24E-06
357,9.49E-06
357.5,6.55E-06
358,6.93E-07
358.5,0.00E+00
359,0.00E+00
359.5,0.00E+00
360,4.26E-06
360.5,3.74E-07
361,3.77E-06
361.5,6.76E-06
362,7.96E-06
362.5,1.20E-05
363,1.04E-05
363.5,9.04E-06
364,1.21E-05
364.5,1.15E-05
365,1.40E-05
365.5,1.25E-05
366,1.78E-06
366.5,0.00E+00
367,0.00E+00
367.5,0.00E+00
368,0.00E+00
368.5,0.00E+00
369,0.00E+00
369.5,0.00E+00
370,0.00E+00
370.5,0.00E+00
371,0.00E+00
371.5,0.00E+00
372,0.00E+00
372.5,3.73E-07
373,0.00E+00
373.5,0.00E+00
374,3.63E-08
374.5,5.78E-06
375,1.73E-05
375.5,2.19E-05
376,1.98E-05
376.5,2.19E-05
377,2.35E-05
377.5,1.84E-05
