Lambda,Intensity
273,0.00E+00
273.5,0.00E+00
274,0.00E+00
274.5,0.00E+00
275,0.00E+00
275.5,0.00E+00
276,0.00E+00
276.5,0.00E+00
277,0.00E+00
277.5,0.00E+00
278,0.00E+00
278.5,0.00E+00
279,0.00E+00
279.5,0.00E+00
280,0.00E+00
280.5,0.00E+00
281,0.00E+00
281.5,0.00E+00
282,0.00E+00
282.5,0.00E+00
283,0.00E+00
283.5,0.00E+00
284,0.00E+00
284.5,0.00E+00
285,0.00E+00
285.5,0.00E+00
286,0.00E+00
286.5,0.00E+00
287,0.00E+00
287.5,0.00E+00
288,0.00E+00
288.5,0.00E+00
289,0.00E+00
289.5,0.00E+00
290,0.00E+00
290.5,0.00E+00
291,0.00E+00
291.5,0.00E+00
292,0.00E+00
292.5,0.00E+00
293,0.00E+00
293.5,0.00E+00
294,0.00E+00
294.5,0.00E+00
295,0.00E+00
295.5,0.00E+00
296,0.00E+00
296.5,0.00E+00
297,0.00E+00
297.5,0.00E+00
298,0.00E+00
298.5,0.00E+00
299,0.00E+00
299.5,0.00E+00
300,0.00E+00
300.5,0.00E+00
301,0.00E+00
301.5,0.00E+00
302,2.80E-07
302.5,1.24E-06
303,2.72E-06
303.5,2.69E-06
304,1.13E-06
304.5,0.00E+00
305,0.00E+00
305.5,0.00E+00
306,4.33E-09
306.5,3.21E-07
307,0.00E+00
307.5,0.00E+00
308,0.00E+00
308.5,0.00E+00
309,1.72E-07
309.5,1.99E-06
310,2.18E-06
310.5,3.20E-06
311,4.00E-06
311.5,1.57E-05
312,2.05E-05
312.5,2.01E-05
313,1.78E-05
313.5,6.37E-06
314,5.60E-07
314.5,0.00E+00
315,0.00E+00
315.5,0.00E+00
316,0.00E+00
316.5,0.00E+00
317,0.00E+00
317.5,2.09E-08
318,3.20E-07
318.5,4.25E-07
319,0.00E+00
319.5,0.00E+00
320,0.00E+00
320.5,0.00E+00
321,0.00E+00
321.5,0.00E+00
322,0.00E+00
322.5,0.00E+00
323,3.82E-07
323.5,2.65E-06
324,4.83E-06
324.5,6.16E-06
325,6.63E-06
325.5,6.39E-06
326,6.27E-06
326.5,6.68E-06
327,6.37E-06
327.5,6.12E-06
328,5.57E-06
328.5,2.64E-06
329,3.04E-07
329.5,2.72E-08
330,0.00E+00
330.5,0.00E+00
331,2.13E-07
331.5,1.71E-06
332,4.97E-06
332.5,3.82E-06
333,8.91E-07
333.5,0.00E+00
334,0.00E+00
334.5,0.00E+00
335,1.15E-06
335.5,4.31E-06
336,7.29E-06
336.5,5.89E-06
337,2.15E-06
337.5,1.69E-08
338,0.00E+00
338.5,0.00E+00
339,0.00E+00
339.5,0.00E+00
340,0.00E+00
340.5,0.00E+00
341,0.00E+00
341.5,0.00E+00
342,0.00E+00
342.5,0.00E+00
343,0.00E+00
343.5,0.00E+00
344,4.70E-07
344.5,0.00E+00
345,0.00E+00
345.5,0.00E+00
346,0.00E+00
346.5,0.00E+00
347,7.79E-07
347.5,3.74E-06
348,6.63E-06
348.5,6.97E-06
349,2.89E-06
349.5,3.97E-07
350,1.80E-06
350.5,4.66E-06
351,7.98E-06
351.5,7.06E-06
352,2.94E-06
352.5,0.00E+00
353,0.00E+00
353.5,0.00E+00
354,0.00E+00
354.5,0.00E+00
355,0.00E+00
355.5,0.00E+00
356,0.00E+00
356.5,0.00E+00
357,0.00E+00
357.5,4.89E-07
358,2.09E-06
358.5,2.58E-06
359,1.01E-06
359.5,1.13E-06
360,2.89E-06
360.5,4.54E-06
361,5.53E-06
361.5,4.79E-06
362,3.35E-06
362.5,2.70E-06
363,1.18E-06
363.5,8.82E-07
364,1.06E-06
364.5,6.34E-07
365,1.19E-06
365.5,1.11E-06
366,1.31E-07
366.5,0.00E+00
367,0.00E+00
367.5,0.00E+00
368,0.00E+00
368.5,1.76E-06
369,2.94E-06
369.5,5.35E-06
370,6.62E-06
370.5,5.18E-06
371,5.84E-06
371.5,4.69E-06
372,4.78E-06
372.5,4.49E-06
373,4.83E-06
373.5,5.33E-06
374,4.50E-06
374.5,1.30E-06
375,0.00E+00
375.5,0.00E+00
376,0.00E+00
376.5,1.12E-06
377,1.28E-06
377.5,1.38E-07
