Lambda,Intensity
273,0.00E+00
273.5,0.00E+00
274,0.00E+00
274.5,0.00E+00
275,0.00E+00
275.5,0.00E+00
276,0.00E+00
276.5,0.00E+00
277,0.00E+00
277.5,0.00E+00
278,0.00E+00
278.5,0.00E+00
279,0.00E+00
279.5,0.00E+00
280,0.00E+00
280.5,0.00E+00
281,0.00E+00
281.5,0.00E+00
282,0.00E+00
282.5,0.00E+00
283,0.00E+00
283.5,0.00E+00
284,0.00E+00
284.5,0.00E+00
285,0.00E+00
285.5,0.00E+00
286,0.00E+00
286.5,0.00E+00
287,0.00E+00
287.5,0.00E+00
288,0.00E+00
288.5,0.00E+00
289,0.00E+00
289.5,0.00E+00
290,0.00E+00
290.5,0.00E+00
291,0.00E+00
291.5,0.00E+00
292,0.00E+00
292.5,0.00E+00
293,0.00E+00
293.5,0.00E+00
294,0.00E+00
294.5,0.00E+00
295,0.00E+00
295.5,0.00E+00
296,0.00E+00
296.5,0.00E+00
297,0.00E+00
297.5,0.00E+00
298,0.00E+00
298.5,0.00E+00
299,0.00E+00
299.5,0.00E+00
300,0.00E+00
300.5,2.92E-07
301,3.52E-07
301.5,3.18E-06
302,7.48E-06
302.5,1.05E-05
303,1.25E-05
303.5,1.16E-05
304,8.76E-06
304.5,2.72E-06
305,0.00E+00
305.5,0.00E+00
306,1.71E-06
306.5,5.80E-06
307,8.01E-06
307.5,6.23E-06
308,1.39E-06
308.5,3.91E-07
309,1.60E-08
309.5,0.00E+00
310,0.00E+00
310.5,0.00E+00
311,0.00E+00
311.5,1.01E-06
312,3.93E-06
312.5,6.89E-06
313,7.47E-06
313.5,5.12E-06
314,2.54E-06
314.5,2.03E-06
315,3.83E-06
315.5,5.41E-06
316,6.73E-06
316.5,5.74E-06
317,4.14E-06
317.5,4.18E-06
318,4.12E-06
318.5,3.87E-06
319,3.90E-06
319.5,4.14E-06
320,2.50E-06
320.5,2.07E-06
321,9.13E-07
321.5,2.97E-07
322,5.31E-07
322.5,1.00E-07
323,0.00E+00
323.5,8.88E-07
324,3.21E-06
324.5,6.03E-06
325,6.43E-06
325.5,4.53E-06
326,3.45E-06
326.5,2.21E-06
327,1.62E-06
327.5,2.05E-06
328,2.97E-06
328.5,3.84E-06
329,3.59E-06
329.5,4.22E-06
330,1.58E-06
330.5,0.00E+00
331,0.00E+00
331.5,0.00E+00
332,0.00E+00
332.5,0.00E+00
333,2.88E-06
333.5,5.04E-06
334,4.63E-06
334.5,6.82E-07
335,8.50E-07
335.5,3.84E-07
336,6.46E-07
336.5,1.84E-06
337,0.00E+00
337.5,0.00E+00
338,2.45E-07
338.5,2.59E-06
339,4.53E-06
339.5,5.07E-06
340,3.79E-06
340.5,4.03E-06
341,5.03E-06
341.5,6.20E-06
342,6.94E-06
342.5,5.29E-06
343,6.11E-06
343.5,7.24E-06
344,8.25E-06
344.5,7.68E-06
345,7.40E-06
345.5,3.49E-06
346,1.54E-06
346.5,4.47E-08
347,0.00E+00
347.5,0.00E+00
348,0.00E+00
348.5,0.00E+00
349,1.61E-07
349.5,3.01E-06
350,5.25E-06
350.5,5.01E-06
351,3.26E-06
351.5,3.56E-07
352,0.00E+00
352.5,0.00E+00
353,6.62E-07
353.5,2.30E-06
354,5.63E-07
354.5,2.25E-07
355,2.20E-07
355.5,2.58E-06
356,8.43E-06
356.5,1.01E-05
357,1.20E-05
357.5,8.68E-06
358,3.73E-06
358.5,2.55E-06
359,2.16E-06
359.5,1.69E-06
360,2.06E-07
360.5,0.00E+00
361,0.00E+00
361.5,0.00E+00
362,0.00E+00
362.5,0.00E+00
363,0.00E+00
363.5,0.00E+00
364,0.00E+00
364.5,0.00E+00
365,0.00E+00
365.5,0.00E+00
366,0.00E+00
366.5,0.00E+00
367,2.68E-06
367.5,5.31E-06
368,5.39E-06
368.5,2.20E-06
369,0.00E+00
369.5,0.00E+00
370,0.00E+00
370.5,0.00E+00
371,0.00E+00
371.5,0.00E+00
372,0.00E+00
372.5,0.00E+00
373,6.64E-07
373.5,2.12E-06
374,2.74E-07
374.5,0.00E+00
375,0.00E+00
375.5,0.00E+00
376,0.00E+00
376.5,0.00E+00
377,0.00E+00
377.5,0.00E+00
