Lambda,Intensity
273.00,0.0000E+000
273.50,0.0000E+000
274.00,0.0000E+000
274.50,0.0000E+000
275.00,0.0000E+000
275.50,0.0000E+000
276.00,0.0000E+000
276.50,0.0000E+000
277.00,0.0000E+000
277.50,0.0000E+000
278.00,0.0000E+000
278.50,0.0000E+000
279.00,0.0000E+000
279.50,0.0000E+000
280.00,0.0000E+000
280.50,0.0000E+000
281.00,0.0000E+000
281.50,0.0000E+000
282.00,0.0000E+000
282.50,0.0000E+000
283.00,0.0000E+000
283.50,0.0000E+000
284.00,0.0000E+000
284.50,0.0000E+000
285.00,0.0000E+000
285.50,0.0000E+000
286.00,0.0000E+000
286.50,0.0000E+000
287.00,0.0000E+000
287.50,0.0000E+000
288.00,0.0000E+000
288.50,0.0000E+000
289.00,0.0000E+000
289.50,0.0000E+000
290.00,0.0000E+000
290.50,0.0000E+000
291.00,0.0000E+000
291.50,0.0000E+000
292.00,0.0000E+000
292.50,0.0000E+000
293.00,0.0000E+000
293.50,0.0000E+000
294.00,0.0000E+000
294.50,0.0000E+000
295.00,0.0000E+000
295.50,0.0000E+000
296.00,0.0000E+000
296.50,0.0000E+000
297.00,0.0000E+000
297.50,0.0000E+000
298.00,0.0000E+000
298.50,0.0000E+000
299.00,0.0000E+000
299.50,0.0000E+000
300.00,0.0000E+000
300.50,0.0000E+000
301.00,0.0000E+000
301.50,2.4729E-006
302.00,1.1549E-005
302.50,1.2243E-005
303.00,2.2014E-005
303.50,2.1547E-005
304.00,1.3866E-005
304.50,1.2231E-005
305.00,0.0000E+000
305.50,0.0000E+000
306.00,0.0000E+000
306.50,0.0000E+000
307.00,0.0000E+000
307.50,0.0000E+000
308.00,0.0000E+000
308.50,0.0000E+000
309.00,0.0000E+000
309.50,0.0000E+000
310.00,3.6155E-007
310.50,3.2466E-006
311.00,4.1886E-006
311.50,7.0923E-005
312.00,1.2518E-004
312.50,1.5457E-004
313.00,1.4354E-004
313.50,5.4361E-005
314.00,7.0159E-006
314.50,0.0000E+000
315.00,6.3937E-006
315.50,2.0938E-005
316.00,3.3284E-005
316.50,2.6410E-005
317.00,1.0958E-005
317.50,0.0000E+000
318.00,0.0000E+000
318.50,0.0000E+000
319.00,0.0000E+000
319.50,0.0000E+000
320.00,2.8751E-006
320.50,9.2623E-006
321.00,1.4681E-005
321.50,1.8830E-005
322.00,4.0522E-006
322.50,3.6510E-006
323.00,1.6112E-006
323.50,0.0000E+000
324.00,1.0774E-006
324.50,5.0149E-006
325.00,8.8839E-006
325.50,1.5492E-005
326.00,1.8091E-005
326.50,8.7119E-006
327.00,8.1644E-007
327.50,0.0000E+000
328.00,0.0000E+000
328.50,0.0000E+000
329.00,0.0000E+000
329.50,0.0000E+000
330.00,1.0200E-005
330.50,2.8704E-005
331.00,2.8143E-005
331.50,2.3694E-005
332.00,1.2257E-005
332.50,1.3439E-006
333.00,8.0307E-007
333.50,1.2319E-005
334.00,2.2332E-005
334.50,2.8579E-005
335.00,1.2917E-005
335.50,1.9480E-006
336.00,0.0000E+000
336.50,0.0000E+000
337.00,0.0000E+000
337.50,0.0000E+000
338.00,0.0000E+000
338.50,0.0000E+000
339.00,0.0000E+000
339.50,0.0000E+000
340.00,0.0000E+000
340.50,0.0000E+000
341.00,0.0000E+000
341.50,0.0000E+000
342.00,0.0000E+000
342.50,0.0000E+000
343.00,0.0000E+000
343.50,0.0000E+000
344.00,0.0000E+000
344.50,0.0000E+000
345.00,6.1639E-007
345.50,1.0407E-005
346.00,1.2922E-005
346.50,6.8676E-006
347.00,6.1710E-007
347.50,1.0743E-006
348.00,2.0660E-008
348.50,4.9246E-006
349.00,0.0000E+000
349.50,0.0000E+000
350.00,0.0000E+000
350.50,0.0000E+000
351.00,0.0000E+000
351.50,1.7230E-006
352.00,3.9903E-006
352.50,9.4273E-006
353.00,1.6589E-005
353.50,3.3374E-006
354.00,0.0000E+000
354.50,0.0000E+000
355.00,9.5846E-008
355.50,6.7958E-007
356.00,7.6370E-006
356.50,8.3227E-006
357.00,0.0000E+000
357.50,0.0000E+000
358.00,0.0000E+000
