lat,lon,MSI
  45.40926, -71.88906,   0.53612
  45.40956, -71.89008,   0.18105
  45.40953, -71.89009,   0.19372
  45.40954, -71.89012,   0.20567
  45.40916, -71.89161,   0.17019
  45.40830, -71.89380,   0.22596
  45.40735, -71.89554,   0.21454
  45.40698, -71.89713,   0.12518
  45.40649, -71.89844,   0.12643
  45.40576, -71.89977,   0.18986
  45.40555, -71.90118,   0.15062
  45.40614, -71.90154,   0.23189
  45.40665, -71.90185,   0.15026
  45.40664, -71.90192,   0.12270
  45.40663, -71.90193,   0.11966
  45.40665, -71.90192,   0.11991
  45.40665, -71.90193,   0.11941
  45.40667, -71.90250,   0.22700
  45.40665, -71.90332,   0.17993
  45.40667, -71.90419,   0.20187
  45.40670, -71.90499,   0.13109
  45.40669, -71.90579,   0.13972
  45.40668, -71.90655,   0.15881
  45.40671, -71.90756,   0.13822
  45.40671, -71.90842,   0.16847
  45.40672, -71.90935,   0.25904
  45.40674, -71.91033,   0.21902
  45.40672, -71.91112,   0.16086
  45.40674, -71.91206,   0.05275
  45.40676, -71.91293,   0.11564
  45.40678, -71.91369,   0.17847
  45.40678, -71.91476,   0.12044
  45.40679, -71.91565,   0.19855
  45.40713, -71.91598,   0.48380
  45.40776, -71.91595,   0.45209
  45.40842, -71.91595,   0.13190
  45.40908, -71.91591,   0.48366
  45.40932, -71.91631,   0.04246
  45.40933, -71.91737,   0.15297
  45.40929, -71.91821,   0.16689
  45.40918, -71.91873,   0.57673
  45.40897, -71.91970,   0.17534
  45.40895, -71.92058,   0.17699
  45.40899, -71.92139,   0.15828
  45.40903, -71.92237,   0.14895
  45.40902, -71.92320,   0.15744
  45.40903, -71.92419,   0.23126
  45.40906, -71.92492,   0.12796
  45.40907, -71.92570,   0.07240
  45.40908, -71.92682,   0.13732
  45.40908, -71.92788,   0.14541
  45.40907, -71.92903,   0.20334
  45.40906, -71.93014,   0.15372
  45.40907, -71.93050,   0.29230
  45.40904, -71.93072,   0.22734
  45.40904, -71.93133,   0.16373
  45.40919, -71.93227,   0.66512
  45.40951, -71.93308,   0.14085
  45.40997, -71.93379,   0.26312
  45.41043, -71.93459,   0.20879
  45.41074, -71.93546,   0.15932
  45.41082, -71.93664,   0.19322
  45.41081, -71.93756,   0.29463
  45.41080, -71.93874,   0.11670
  45.41079, -71.93990,   0.13801
  45.41078, -71.94106,   0.11904
  45.41079, -71.94205,   0.12694
  45.41082, -71.94312,   2.53094
  45.41196, -71.94321,   0.14460
  45.41322, -71.94318,   0.14651
  45.41443, -71.94354,   0.11170
  45.41523, -71.94429,   0.11153
  45.41590, -71.94530,   0.15127
  45.41617, -71.94572,   0.23926
  45.41662, -71.94643,   0.22583
  45.41719, -71.94702,   0.21582
  45.41797, -71.94742,   0.29738
  45.41886, -71.94746,   0.26273
  45.41974, -71.94746,   0.23426
  45.42059, -71.94745,   0.19911
  45.42140, -71.94743,   0.12660
  45.42206, -71.94742,   0.21118
  45.42286, -71.94742,   0.13753
  45.42378, -71.94740,   0.11975
  45.42470, -71.94737,   0.09921
  45.42509, -71.94760,   0.23458
  45.42508, -71.94857,   0.17339
  45.42505, -71.94978,   0.19648
  45.42503, -71.95081,   0.13545
  45.42501, -71.95194,   0.15318
  45.42499, -71.95297,   0.13721
  45.42497, -71.95392,   0.13039
  45.42493, -71.95506,   0.13038
  45.42487, -71.95634,   0.20395
  45.42477, -71.95747,   0.16471
  45.42468, -71.95857,   0.04346
  45.42460, -71.95967,   0.13355
  45.42458, -71.96069,   0.08205
  45.42463, -71.96193,   0.16060
  45.42473, -71.96272,   0.13105
  45.42471, -71.96312,   1.24543
  45.42398, -71.96352,   0.12558
  45.42327, -71.96410,   0.13792
  45.42251, -71.96488,   0.12906
  45.42176, -71.96565,   0.12512
  45.42119, -71.96626,   0.32475
  45.42063, -71.96654,   1.34023
  45.42011, -71.96556,   0.12543
  45.41970, -71.96476,   0.19454
  45.41936, -71.96413,   0.24230
  45.41891, -71.96326,   0.13614
  45.41847, -71.96243,   0.15314
  45.41814, -71.96182,   0.13562
  45.41776, -71.96117,   0.33010
  45.41736, -71.96067,   0.22052
  45.41697, -71.96086,   0.42115
  45.41733, -71.96066,   0.44971
  45.41795, -71.96149,   0.56563
  45.41867, -71.96260,   0.13839
  45.41947, -71.96411,   0.25431
  45.41989, -71.96491,   0.14362
  45.42051, -71.96612,   0.17170
  45.42100, -71.96639,   0.26490
  45.42190, -71.96545,   0.19839
  45.42275, -71.96455,   0.26591
  45.42363, -71.96364,   0.13332
  45.42445, -71.96317,   0.12027
  45.42473, -71.96302,   0.13129
  45.42546, -71.96262,   0.20370
  45.42619, -71.96225,   0.10108
  45.42681, -71.96184,   0.17649
  45.42717, -71.96112,   0.18135
  45.42722, -71.96030,   0.04721
  45.42721, -71.95975,   0.13091
  45.42720, -71.95882,   0.15412
  45.42718, -71.95772,   0.10700
  45.42717, -71.95676,   0.18451
  45.42734, -71.95618,   0.16400
  45.42793, -71.95618,   0.13424
  45.42828, -71.95615,   0.49627
  45.42820, -71.95619,   0.15644
  45.42762, -71.95616,   0.13253
  45.42703, -71.95617,   0.13794
  45.42657, -71.95617,   0.21038
  45.42612, -71.95620,   0.26141
  45.42547, -71.95615,   0.14135
  45.42494, -71.95604,   0.17383
  45.42447, -71.95593,   0.21408
  45.42399, -71.95589,   0.23204
  45.42330, -71.95604,   0.36796
  45.42262, -71.95617,   0.13245
  45.42207, -71.95618,   0.13766
  45.42168, -71.95608,   0.42716
  45.42165, -71.95554,   0.48989
  45.42175, -71.95473,   0.48340
  45.42174, -71.95390,   0.49941
  45.42193, -71.95352,   0.45081
  45.42182, -71.95352,   0.52913
  45.42176, -71.95402,   0.50038
  45.42174, -71.95481,   0.50427
  45.42165, -71.95555,   0.51101
  45.42168, -71.95603,   0.51311
  45.42147, -71.95625,   0.21991
  45.42097, -71.95631,   0.27344
  45.42069, -71.95634,   0.21182
  45.42024, -71.95630,   0.08349
  45.41966, -71.95622,   0.20254
  45.41906, -71.95622,   0.23024
  45.41854, -71.95621,   0.16151
  45.41805, -71.95622,   0.28366
  45.41742, -71.95623,   0.12943
  45.41713, -71.95609,   0.26852
  45.41729, -71.95621,   0.25314
  45.41777, -71.95618,   0.12095
  45.41820, -71.95612,   0.34811
  45.41902, -71.95617,   0.32456
  45.41998, -71.95624,   0.23931
  45.42090, -71.95626,   0.25742
  45.42209, -71.95616,   0.29416
  45.42307, -71.95605,   0.15396
  45.42402, -71.95587,   0.28267
  45.42479, -71.95596,   0.18712
  45.42492, -71.95429,   0.09006
  45.42498, -71.95215,   0.12162
  45.42502, -71.95017,   0.13526
  45.42505, -71.94843,   0.09366
  45.42495, -71.94745,   0.20472
  45.42440, -71.94744,   0.12173
  45.42362, -71.94747,   0.15288
  45.42281, -71.94747,   0.21927
  45.42216, -71.94747,   0.16829
  45.42205, -71.94805,   0.31501
  45.42204, -71.94912,   0.26095
  45.42207, -71.94986,   0.44491
  45.42270, -71.94991,   0.36534
  45.42291, -71.95046,   0.09415
  45.42285, -71.95128,   0.04752
  45.42281, -71.95192,   0.13733
  45.42314, -71.95221,   0.04739
  45.42361, -71.95176,   0.33235
  45.42411, -71.95126,   0.44686
  45.42435, -71.95069,   0.11988
  45.42434, -71.95055,   0.10604
  45.42435, -71.94994,   0.26182
  45.42434, -71.94907,   0.26911
  45.42416, -71.94846,   0.16601
  45.42365, -71.94846,   0.25062
  45.42366, -71.94843,   0.36498
  45.42414, -71.94842,   0.31093
  45.42436, -71.94950,   0.30800
  45.42435, -71.95055,   0.64749
  45.42419, -71.95118,   0.13135
  45.42378, -71.95160,   0.14525
  45.42332, -71.95210,   0.32947
  45.42279, -71.95231,   0.08562
  45.42273, -71.95311,   0.15573
  45.42250, -71.95366,   0.35357
  45.42229, -71.95358,   0.39237
  45.42242, -71.95361,   0.48572
  45.42270, -71.95313,   0.04834
  45.42276, -71.95227,   0.05634
  45.42283, -71.95136,   0.17447
  45.42289, -71.95031,   0.16447
  45.42233, -71.95005,   0.41077
  45.42183, -71.94993,   0.40671
  45.42113, -71.94982,   0.11199
  45.42052, -71.94966,   0.26342
  45.41995, -71.94926,   0.30197
  45.41941, -71.94884,   0.12365
  45.41870, -71.94874,   0.11096
  45.41796, -71.94898,   0.11522
  45.41750, -71.94926,   0.11308
  45.41747, -71.95013,   0.11099
  45.41744, -71.95110,   0.03660
  45.41755, -71.95194,   0.41086
  45.41743, -71.95211,   0.10330
  45.41744, -71.95141,   0.21941
  45.41748, -71.95046,   0.15088
  45.41750, -71.94947,   0.12807
  45.41727, -71.94904,   0.10618
  45.41671, -71.94898,   0.06708
  45.41662, -71.94961,   0.16975
  45.41659, -71.95037,   0.23111
  45.41658, -71.95105,   0.14991
  45.41657, -71.95176,   0.12677
  45.41655, -71.95255,   0.04361
  45.41645, -71.95325,   0.18316
  45.41586, -71.95325,   0.20545
  45.41521, -71.95325,   0.17570
  45.41468, -71.95327,   0.26810
  45.41407, -71.95330,   0.42515
  45.41347, -71.95332,   0.32457
  45.41282, -71.95332,   0.20902
  45.41246, -71.95254,   0.17773
  45.41190, -71.95229,   0.13936
  45.41160, -71.95290,   0.14395
  45.41160, -71.95372,   0.12349
  45.41169, -71.95431,   0.32577
  45.41214, -71.95432,   0.29527
  45.41248, -71.95432,   0.26469
  45.41292, -71.95431,   0.24983
  45.41346, -71.95432,   0.28288
  45.41400, -71.95427,   0.27889
  45.41460, -71.95427,   0.27909
  45.41528, -71.95426,   0.32522
  45.41569, -71.95477,   0.18902
  45.41548, -71.95528,   0.13272
  45.41541, -71.95501,   0.34928
  45.41543, -71.95526,   0.13700
  45.41487, -71.95530,   0.30392
  45.41435, -71.95531,   0.19602
  45.41392, -71.95531,   0.14801
  45.41332, -71.95533,   0.13439
  45.41271, -71.95534,   0.21332
  45.41205, -71.95534,   0.34352
  45.41158, -71.95562,   0.18721
  45.41164, -71.95634,   0.11216
  45.41215, -71.95636,   0.24915
  45.41280, -71.95635,   0.27911
  45.41346, -71.95635,   0.18008
  45.41405, -71.95635,   0.18954
  45.41478, -71.95632,   0.17361
  45.41502, -71.95688,   0.23744
  45.41504, -71.95774,   0.34167
  45.41452, -71.95794,   0.22039
  45.41389, -71.95794,   0.09839
  45.41329, -71.95809,   0.18951
  45.41329, -71.95894,   0.28299
  45.41373, -71.95904,   0.38695
  45.41418, -71.95904,   0.24944
  45.41482, -71.95902,   0.14235
  45.41542, -71.95904,   0.05616
  45.41542, -71.95968,   0.23531
  45.41500, -71.96005,   0.17904
  45.41426, -71.96007,   0.16972
  45.41354, -71.96008,   0.13585
  45.41330, -71.96046,   0.12674
  45.41357, -71.96107,   0.29308
  45.41428, -71.96114,   0.20826
  45.41458, -71.96161,   0.27738
  45.41444, -71.96156,   0.37531
  45.41428, -71.96116,   0.19843
  45.41357, -71.96109,   0.15166
  45.41348, -71.96109,   0.19668
  45.41326, -71.96098,   0.37227
  45.41280, -71.96085,   0.23429
  45.41260, -71.96025,   0.24548
  45.41258, -71.95935,   0.23986
  45.41261, -71.95877,   0.26719
  45.41256, -71.95801,   0.24428
  45.41196, -71.95797,   0.20073
  45.41192, -71.95853,   0.19866
  45.41193, -71.95947,   0.23495
  45.41193, -71.96040,   0.09727
  45.41154, -71.96068,   0.13159
  45.41099, -71.96069,   0.11698
  45.41038, -71.96063,   0.26158
  45.41018, -71.96004,   0.20681
  45.41018, -71.95922,   0.14072
  45.41018, -71.95849,   0.13917
  45.41021, -71.95794,   0.21088
  45.41021, -71.95894,   0.03710
  45.41019, -71.95996,   0.08371
  45.41059, -71.96049,   0.24896
  45.41117, -71.96047,   0.13319
  45.41116, -71.95965,   0.05111
  45.41113, -71.95879,   0.09470
  45.41112, -71.95777,   0.04809
  45.41112, -71.95672,   0.13010
  45.41095, -71.95609,   0.12918
  45.41055, -71.95529,   0.14095
  45.41018, -71.95455,   0.13600
  45.40978, -71.95374,   0.23336
  45.40939, -71.95355,   0.17183
  45.40902, -71.95432,   0.23432
  45.40870, -71.95503,   0.25832
  45.40831, -71.95576,   0.19884
  45.40824, -71.95632,   0.23556
  45.40885, -71.95634,   0.13913
  45.40917, -71.95691,   0.13027
  45.40915, -71.95779,   0.09314
  45.40885, -71.95802,   0.33981
  45.40826, -71.95800,   0.18067
  45.40818, -71.95799,   0.50480
  45.40879, -71.95802,   0.17693
  45.40912, -71.95760,   0.18821
  45.40914, -71.95668,   0.27762
  45.40934, -71.95634,   0.16542
  45.41003, -71.95634,   0.16593
  45.41079, -71.95634,   0.47737
  45.41121, -71.95634,   0.20390
  45.41138, -71.95634,   0.26108
  45.41138, -71.95635,   0.25527
  45.41138, -71.95634,   0.26465
  45.41137, -71.95634,   0.24732
  45.41946, -71.90797,   0.34081
  45.41946, -71.90798,   0.34188
  45.41946, -71.90800,   0.34910
  45.41946, -71.90801,   0.34548
  45.41948, -71.90803,   0.34589
  45.41948, -71.90805,   0.33226
  45.41959, -71.90798,   0.25826
  45.41962, -71.90792,   0.23996
  45.42007, -71.90823,   0.11649
  45.41994, -71.90910,   0.08003
  45.42033, -71.90928,   0.23043
  45.41999, -71.90926,   0.08621
  45.41972, -71.90994,   0.02940
  45.42046, -71.91099,   0.20462
  45.42059, -71.91108,   0.20487
  45.41986, -71.91077,   0.46244
  45.41925, -71.91045,   0.30839
  45.41772, -71.90974,   0.46605
  45.41709, -71.90940,   0.15139
  45.41743, -71.90954,   0.46562
  45.41809, -71.90981,   0.22574
  45.41909, -71.91029,   0.13529
  45.41947, -71.91083,   0.14175
  45.41932, -71.91177,   0.07823
  45.41993, -71.91215,   0.22351
  45.42069, -71.91254,   0.14374
  45.42146, -71.91287,   0.25818
  45.42207, -71.91300,   0.18812
  45.42283, -71.91294,   0.20585
  45.42357, -71.91297,   0.24031
  45.42493, -71.91312,   0.13970
  45.42523, -71.91447,   0.27880
  45.42598, -71.91653,   0.25263
  45.42538, -71.91631,   0.15815
