Wavelength R-IR G-IR B-IR Clear
3.50E+02 0.00E+00 0.00E+00 0.00E+00 2.98E+09
3.70E+02 0.00E+00 0.00E+00 8.25E+08 8.25E+08
3.90E+02 1.16E+09 3.87E+08 1.93E+09 3.87E+09
4.10E+02 2.49E+09 9.04E+08 8.36E+09 1.20E+10
4.30E+02 1.16E+09 1.59E+09 1.23E+10 1.59E+10
4.50E+02 3.09E+08 2.48E+09 1.48E+10 1.81E+10
4.70E+02 2.35E+08 5.87E+09 1.69E+10 2.16E+10
4.90E+02 3.70E+08 7.83E+09 1.50E+10 2.39E+10
5.10E+02 9.00E+08 1.41E+10 9.79E+09 2.51E+10
5.30E+02 2.57E+09 2.01E+10 4.50E+09 2.62E+10
5.50E+02 2.49E+09 1.84E+10 3.14E+09 2.69E+10
5.70E+02 7.68E+09 1.18E+10 1.95E+09 2.66E+10
5.90E+02 1.71E+10 4.21E+09 2.10E+09 2.40E+10
6.10E+02 1.66E+10 5.95E+08 1.21E+09 1.89E+10
6.30E+02 1.10E+10 0.00E+00 4.82E+08 1.21E+10
6.50E+02 5.39E+09 0.00E+00 3.41E+08 6.07E+09
6.70E+02 4.20E+09 0.00E+00 2.72E+08 4.89E+09
6.90E+02 3.96E+09 0.00E+00 1.59E+08 4.83E+09
7.10E+02 3.83E+09 0.00E+00 8.80E+07 4.84E+09
7.30E+02 3.97E+09 2.55E+07 0.00E+00 4.92E+09
7.50E+02 3.72E+09 3.46E+08 0.00E+00 5.00E+09
7.70E+02 3.45E+09 4.35E+08 0.00E+00 4.99E+09
7.90E+02 2.52E+09 0.00E+00 2.60E+08 5.25E+09
8.10E+02 1.41E+09 0.00E+00 7.40E+08 5.65E+09
8.30E+02 6.95E+08 0.00E+00 3.45E+08 5.73E+09
8.50E+02 4.35E+08 0.00E+00 2.15E+08 5.91E+09
8.70E+02 1.40E+08 0.00E+00 1.40E+08 6.14E+09
8.90E+02 3.30E+08 0.00E+00 0.00E+00 6.53E+09
9.10E+02 1.95E+08 0.00E+00 0.00E+00 6.34E+09
9.30E+02 0.00E+00 0.00E+00 0.00E+00 6.38E+09
9.50E+02 0.00E+00 0.00E+00 0.00E+00 6.15E+09
9.70E+02 7.70E+08 0.00E+00 0.00E+00 6.17E+09
9.90E+02 0.00E+00 0.00E+00 0.00E+00 4.82E+09
